t_s,th_deg,al_deg,pwm,mode
0.0000,10.547,-337.500,0,0
0.0006,10.547,-337.500,0,0
0.0007,10.547,-337.500,0,0
0.0020,10.547,-337.500,0,0
0.0040,10.547,-337.500,0,0
0.0060,10.547,-337.500,0,0
0.0081,10.547,-337.500,0,0
0.0100,10.547,-337.500,0,0
0.0120,10.547,-337.324,0,0
0.0140,10.547,-337.324,0,0
0.0160,10.547,-337.324,0,0
0.0180,10.547,-337.324,0,0
0.0200,10.547,-337.324,0,0
0.0221,10.547,-337.324,0,0
0.0241,10.547,-337.324,0,0
0.0260,10.547,-337.324,0,0
0.0280,10.547,-337.324,0,0
0.0300,10.547,-337.324,0,0
0.0320,10.547,-337.324,0,0
0.0340,10.547,-337.324,0,0
0.0360,10.547,-337.324,0,0
0.0380,10.547,-337.324,0,0
0.0399,10.547,-337.324,0,0
0.0421,10.547,-337.324,0,0
0.0440,10.547,-337.324,0,0
0.0460,10.547,-337.324,0,0
0.0480,10.547,-337.324,0,0
0.0500,10.547,-337.324,0,0
0.0520,10.547,-337.324,0,0
0.0541,10.547,-337.324,0,0
0.0560,10.547,-337.324,0,0
0.0730,10.547,-337.324,0,5
0.0751,10.547,-337.324,0,5
0.0771,10.547,-337.324,0,5
0.0828,10.547,-337.324,0,5
0.0831,10.547,-337.324,0,5
0.0833,10.547,-337.324,0,5
0.0851,10.547,-337.324,0,5
0.0871,10.547,-337.324,0,5
0.0891,10.547,-337.324,0,5
0.0911,10.547,-337.324,0,5
0.0930,10.547,-337.324,0,5
0.0951,10.547,-337.324,0,5
0.0971,10.547,-337.324,0,5
0.0991,10.547,-337.324,0,5
0.1011,10.547,-337.324,0,5
0.1031,10.547,-337.324,0,5
0.1051,10.547,-337.324,0,5
0.1070,10.547,-337.324,0,5
0.1091,10.547,-337.324,0,5
0.1111,10.547,-337.324,0,5
0.1131,10.547,-337.324,0,5
0.1151,10.547,-337.324,0,5
0.1171,10.547,-337.324,0,5
0.1190,10.547,-337.324,0,5
0.1211,10.547,-337.324,0,5
0.1231,10.547,-337.324,0,5
0.1251,10.547,-337.324,0,5
0.1271,10.547,-337.324,0,5
