t_s,th_deg,al_deg,pwm,mode
0.0000,13.799,5.273,0,0
0.0006,13.799,5.273,0,0
0.0007,13.799,5.273,0,0
0.0055,13.799,5.273,0,0
0.0059,13.799,5.273,0,0
0.0068,13.799,5.273,0,0
0.0087,13.799,5.273,0,0
0.0108,13.799,5.273,0,0
0.0128,13.799,5.273,0,0
0.0148,13.799,5.273,0,0
0.0167,13.799,5.273,0,0
0.0187,13.799,5.273,0,0
0.0207,13.799,5.273,0,0
0.0227,13.799,5.273,0,0
0.0247,13.799,5.273,0,0
0.0395,13.799,5.273,0,0
0.0416,13.799,5.273,0,0
0.0436,13.799,5.273,0,0
0.0456,13.799,5.273,0,0
0.0476,13.799,5.273,0,0
0.0496,13.799,5.273,0,0
0.0516,13.799,5.273,0,0
0.0536,13.799,5.273,0,0
0.0556,13.799,5.273,0,0
0.0575,13.799,5.273,0,0
0.0595,13.799,5.273,0,0
0.0617,13.799,5.273,0,0
0.0636,13.799,5.273,0,0
0.0656,13.799,5.273,0,0
0.0676,13.799,5.273,0,0
0.0696,13.799,5.273,0,0
0.0716,13.799,5.273,0,0
0.0736,13.799,5.273,0,0
0.0756,13.799,5.098,0,0
0.0776,13.799,5.098,0,0
0.0796,13.799,5.098,0,0
0.0816,13.799,5.098,0,0
0.0836,13.799,5.098,0,0
0.0856,13.799,5.098,0,0
0.0876,13.799,5.098,0,0
0.0896,13.799,5.098,0,0
0.0915,13.799,5.098,0,0
0.0937,13.799,5.098,0,0
0.0956,13.799,5.098,0,0
0.0976,13.799,5.098,0,0
0.0996,13.799,5.098,0,0
0.1051,13.799,5.098,0,0
0.1054,13.799,5.098,0,0
0.1056,13.799,5.098,0,0
0.1076,13.799,5.098,0,0
0.1096,13.799,5.098,0,0
0.1116,13.799,5.098,0,0
0.1136,13.799,5.098,0,0
0.1156,13.799,4.922,0,0
0.1176,13.799,4.922,0,0
0.1196,13.799,4.922,0,0
0.1216,13.799,4.922,0,0
0.1236,13.799,4.922,0,0
0.1256,13.799,4.922,0,0
0.1276,13.799,4.922,0,0
0.1296,13.799,4.922,0,0
0.1316,13.799,4.922,0,0
0.1336,13.799,4.922,0,0
0.1356,13.799,4.922,0,0
0.1376,13.799,4.922,0,0
0.1396,13.799,4.922,0,0
0.1416,13.799,4.922,0,0
0.1436,13.799,4.922,0,0
0.1456,13.799,4.922,0,0
0.1476,13.799,4.746,0,0
0.1496,13.799,4.746,0,0
0.1516,13.799,4.746,0,0
0.1536,13.799,4.746,0,0
0.1556,13.799,4.746,0,0
0.1575,13.799,4.746,0,0
0.1595,13.799,4.746,0,0
0.1616,13.799,4.746,0,0
0.1636,13.799,4.746,0,0
0.1656,13.799,4.746,0,0
0.1676,13.799,4.746,0,0
0.1696,13.799,4.746,0,0
0.1715,13.799,4.746,0,0
0.1735,13.799,4.746,0,0
0.1756,13.799,4.746,0,0
0.1776,13.799,4.746,0,0
0.1796,13.799,4.570,0,0
0.1816,13.799,4.570,0,0
0.1836,13.799,4.570,0,0
0.1856,13.799,4.570,0,0
0.1876,13.799,4.570,0,0
0.1896,13.799,4.570,0,0
0.1916,13.799,4.570,0,0
0.1936,13.799,4.570,0,0
0.1956,13.799,4.570,0,0
0.1976,13.799,4.570,0,0
0.1996,13.799,4.570,0,0
0.2043,13.799,4.395,0,0
0.2047,13.799,4.395,0,0
0.2056,13.799,4.395,0,0
0.2075,13.799,4.395,0,0
0.2096,13.799,4.395,0,0
0.2117,13.799,4.395,0,0
0.2136,13.799,4.395,0,0
0.2156,13.799,4.395,0,0
0.2176,13.799,4.395,0,0
0.2196,13.799,4.395,0,0
0.2216,13.799,4.395,0,0
0.2236,13.799,4.395,0,0
0.2256,13.799,4.395,0,0
0.2276,13.799,4.395,0,0
0.2296,13.799,4.395,0,0
0.2316,13.799,4.395,0,0
0.2336,13.799,4.395,0,0
0.2356,13.799,4.395,0,0
0.2376,13.799,4.395,0,0
0.2396,13.799,4.219,0,0
0.2416,13.799,4.219,0,0
0.2436,13.799,4.219,0,0
0.2456,13.799,4.219,0,0
0.2476,13.799,4.219,0,0
0.2496,13.799,4.219,0,0
0.2516,13.799,4.219,0,0
0.2536,13.799,4.219,0,0
0.2556,13.799,4.219,0,0
0.2576,13.799,4.219,0,0
0.2596,13.799,4.219,0,0
0.2616,13.799,4.219,0,0
0.2636,13.799,4.219,0,0
0.2656,13.799,4.219,0,0
0.2676,13.799,4.219,0,0
0.2696,13.799,4.219,0,0
0.2716,13.799,4.219,0,0
0.2736,13.799,4.219,0,0
0.2756,13.799,4.219,0,0
0.2776,13.799,4.219,0,0
0.2796,13.799,4.219,0,0
0.2816,13.799,4.219,0,0
0.2836,13.799,4.219,0,0
0.2856,13.799,4.219,0,0
0.2876,13.799,4.219,0,0
0.2896,13.799,4.219,0,0
0.2916,13.799,4.219,0,0
0.2936,13.799,4.219,0,0
0.2956,13.799,4.219,0,0
0.2976,13.799,4.219,0,0
0.2996,13.799,4.219,0,0
0.3047,13.799,4.219,0,0
0.3050,13.799,4.219,0,0
0.3056,13.799,4.219,0,0
0.3227,13.799,4.219,0,5
0.3247,13.799,4.219,0,5
0.3268,13.799,4.219,0,5
0.3287,13.799,4.219,0,5
0.3308,13.799,4.219,0,5
0.3328,13.799,4.219,0,5
0.3348,13.799,4.219,0,5
0.3368,13.799,4.219,0,5
0.3388,13.799,4.219,0,5
0.3407,13.799,4.219,0,5
0.3428,13.799,4.219,0,5
0.3447,13.799,4.219,0,5
0.3468,13.799,4.219,0,5
0.3488,13.799,4.219,0,5
0.3508,13.799,4.219,0,5
0.3527,13.799,4.219,0,5
0.3547,13.799,4.219,0,5
0.3568,13.799,4.219,0,5
0.3588,13.799,4.219,0,5
0.3608,13.799,4.219,0,5
0.3628,13.799,4.219,0,5
0.3648,13.799,4.219,0,5
0.3668,13.799,4.219,0,5
0.3687,13.799,4.219,0,5
0.3707,13.799,4.395,0,5
0.3728,13.799,4.395,0,5
0.3747,13.799,4.395,0,5
0.3767,13.799,4.395,0,5
0.3788,13.799,4.395,0,5
0.3808,13.799,4.395,0,5
0.3828,13.799,4.395,0,5
0.3848,13.799,4.395,0,5
0.3867,13.799,4.395,0,5
0.3888,13.799,4.395,0,5
0.3908,13.799,4.395,0,5
0.3928,13.799,4.395,0,5
0.3948,13.799,4.395,0,5
0.3968,13.799,4.395,0,5
0.3987,13.799,4.395,0,5
0.4008,13.799,4.395,0,5
0.4051,13.799,4.395,0,5
0.4054,13.799,4.395,0,5
0.4067,13.799,4.395,0,5
0.4088,13.799,4.395,0,5
0.4107,13.799,4.570,0,5
0.4128,13.799,4.570,0,5
0.4148,13.799,4.570,0,5
0.4168,13.799,4.570,0,5
0.4188,13.799,4.570,0,5
0.4208,13.799,4.570,0,5
0.4228,13.799,4.570,0,5
0.4247,13.799,4.570,0,5
0.4267,13.799,4.570,0,5
0.4288,13.799,4.570,0,5
0.4308,13.799,4.570,0,5
0.4328,13.799,4.746,0,5
0.4348,13.799,4.746,0,5
0.4367,13.799,4.746,0,5
0.4388,13.799,4.746,0,5
0.4408,13.799,4.746,0,5
0.4428,13.799,4.746,0,5
0.4447,13.799,4.746,0,5
0.4469,13.799,4.746,0,5
0.4488,13.799,4.746,0,5
0.4508,13.799,4.746,0,5
0.4528,13.799,4.746,0,5
0.4548,13.799,4.746,0,5
0.4567,13.799,4.746,0,5
0.4587,13.799,4.746,0,5
0.4608,13.799,4.746,0,5
0.4627,13.799,4.746,0,5
0.4648,13.799,4.746,0,5
0.4668,13.799,4.922,0,5
0.4688,13.799,4.922,0,5
0.4708,13.799,4.922,0,5
0.4728,13.799,4.922,0,5
0.4747,13.799,4.922,0,5
0.4767,13.799,4.922,0,5
0.4788,13.799,4.922,0,5
0.4808,13.799,4.922,0,5
0.4828,13.799,4.922,0,5
0.4848,13.799,4.922,0,5
0.4867,13.799,4.922,0,5
0.4887,13.799,4.922,0,5
0.4908,13.799,4.922,0,5
0.4928,13.799,4.922,0,5
0.4948,13.799,4.922,0,5
0.4968,13.799,4.922,0,5
0.4987,13.799,4.922,0,5
0.5007,13.799,4.922,0,5
0.5042,13.799,5.098,0,5
0.5048,13.799,5.098,0,5
0.5068,13.799,5.098,0,5
0.5087,13.799,5.098,0,5
0.5108,13.799,5.098,0,5
0.5128,13.799,5.098,0,5
0.5148,13.799,5.098,0,5
0.5168,13.799,5.098,0,5
0.5187,13.799,5.098,0,5
0.5208,13.799,5.098,0,5
0.5228,13.799,5.098,0,5
0.5247,13.799,5.098,0,5
0.5267,13.799,5.098,0,5
0.5288,13.799,5.098,0,5
0.5308,13.799,5.098,0,5
0.5328,13.799,5.098,0,5
0.5348,13.799,5.098,0,5
0.5367,13.799,5.098,0,5
0.5387,13.799,5.098,0,5
0.5408,13.799,5.098,0,5
0.5428,13.799,5.098,0,5
0.5448,13.799,5.098,0,5
0.5468,13.799,5.098,0,5
0.5487,13.799,5.098,0,5
0.5508,13.799,5.098,0,5
0.5527,13.799,5.098,0,5
0.5548,13.799,5.098,0,5
0.5567,13.799,5.098,0,5
0.5587,13.799,5.098,0,5
0.5608,13.799,5.098,0,5
0.5628,13.799,5.098,0,5
0.5648,13.799,5.098,0,5
0.5668,13.799,5.098,0,5
0.5687,13.799,5.098,0,5
0.5707,13.799,5.098,0,5
0.5728,13.799,5.098,0,5
0.5748,13.799,5.273,0,5
0.5768,13.799,5.273,0,5
0.5788,13.799,5.273,0,5
0.5807,13.799,5.273,0,5
0.5828,13.799,5.273,0,5
0.5848,13.799,5.273,0,5
0.5868,13.799,5.273,0,5
0.5888,13.799,5.273,0,5
0.5907,13.799,5.273,0,5
0.5927,13.799,5.273,0,5
0.5948,13.799,5.273,0,5
0.5968,13.799,5.273,0,5
0.5988,13.799,5.273,0,5
0.6007,13.799,5.273,0,5
0.6044,13.799,5.273,0,5
0.6048,13.799,5.273,0,5
0.6067,13.799,5.273,0,5
0.6088,13.799,5.273,0,5
0.6107,13.799,5.273,0,5
0.6127,13.799,5.273,0,5
0.6148,13.799,5.273,0,5
0.6167,13.799,5.273,0,5
0.6188,13.799,5.273,0,5
0.6208,13.799,5.098,0,5
0.6228,13.799,5.098,0,5
0.6248,13.799,5.098,0,5
0.6268,13.799,5.098,0,5
0.6287,13.799,5.098,0,5
0.6307,13.799,5.098,0,5
0.6328,13.799,5.098,0,5
0.6348,13.799,5.098,0,5
0.6368,13.799,5.098,0,5
0.6388,13.799,5.098,0,5
0.6408,13.799,5.098,0,5
0.6427,13.799,5.098,0,5
0.6447,13.799,5.098,0,5
0.6468,13.799,5.098,0,5
0.6488,13.799,5.098,0,5
0.6508,13.799,5.098,0,5
0.6528,13.799,5.098,0,5
0.6547,13.799,5.098,0,5
0.6568,13.799,5.098,0,5
0.6587,13.799,5.098,0,5
0.6608,13.799,5.098,0,5
0.6628,13.799,5.098,0,5
0.6648,13.799,5.098,0,5
0.6667,13.799,5.098,0,5
0.6688,13.799,5.098,0,5
0.6708,13.799,5.098,0,5
0.6728,13.799,5.098,0,5
0.6748,13.799,5.098,0,5
0.6767,13.799,5.098,0,5
0.6787,13.799,4.922,0,5
0.6808,13.799,4.922,0,5
0.6828,13.799,4.922,0,5
0.6847,13.799,4.922,0,5
0.6867,13.799,4.922,0,5
0.6888,13.799,4.922,0,5
0.6908,13.799,4.922,0,5
0.6928,13.799,4.922,0,5
0.6948,13.799,4.922,0,5
0.6968,13.799,4.922,0,5
0.6987,13.799,4.922,0,5
0.7008,13.799,4.922,0,5
0.7044,13.799,4.922,0,5
0.7048,13.799,4.922,0,5
0.7068,13.799,4.922,0,5
0.7088,13.799,4.922,0,5
0.7107,13.799,4.922,0,5
0.7127,13.799,4.922,0,5
0.7148,13.799,4.922,0,5
0.7168,13.799,4.922,0,5
0.7188,13.799,4.746,0,5
0.7208,13.799,4.746,0,5
0.7227,13.799,4.746,0,5
0.7247,13.799,4.746,0,5
0.7268,13.799,4.746,0,5
0.7288,13.799,4.746,0,5
0.7308,13.799,4.746,0,5
0.7328,13.799,4.746,0,5
0.7391,13.799,4.746,0,5
0.7397,13.799,4.746,0,5
0.7399,13.799,4.746,0,5
0.7407,13.799,4.746,0,5
0.7429,13.799,4.746,0,5
0.7448,13.799,4.746,0,5
0.7468,13.799,4.746,0,5
0.7488,13.799,4.746,0,5
0.7508,13.799,4.746,0,5
0.7528,13.799,4.746,0,5
0.7548,13.799,4.746,0,5
0.7568,13.799,4.570,0,5
0.7587,13.799,4.570,0,5
0.7607,13.799,4.570,0,5
0.7627,13.799,4.570,0,5
0.7648,13.799,4.570,0,5
0.7667,13.799,4.570,0,5
0.7688,13.799,4.570,0,5
0.7707,13.799,4.570,0,5
0.7727,13.799,4.570,0,5
0.7747,13.799,4.570,0,5
0.7768,13.799,4.570,0,5
0.7788,13.799,4.570,0,5
0.7808,13.799,4.570,0,5
0.7828,13.799,4.570,0,5
0.7848,13.799,4.395,0,5
0.7868,13.799,4.395,0,5
0.7888,13.799,4.395,0,5
0.7908,13.799,4.395,0,5
0.7927,13.799,4.395,0,5
0.7948,13.799,4.395,0,5
0.7968,13.799,4.395,0,5
0.7988,13.799,4.395,0,5
0.8008,13.799,4.395,0,5
0.8048,13.799,4.395,0,5
0.8051,13.799,4.395,0,5
0.8068,13.799,4.395,0,5
0.8088,13.799,4.395,0,5
0.8108,13.799,4.395,0,5
0.8128,13.799,4.395,0,5
0.8148,13.799,4.395,0,5
0.8168,13.799,4.395,0,5
0.8188,13.799,4.395,0,5
0.8207,13.799,4.395,0,5
0.8228,13.799,4.395,0,5
0.8248,13.799,4.395,0,5
0.8268,13.799,4.395,0,5
0.8288,13.799,4.395,0,5
0.8308,13.799,4.395,0,5
0.8328,13.799,4.395,0,5
0.8348,13.799,4.395,0,5
0.8368,13.799,4.395,0,5
0.8388,13.799,4.395,0,5
0.8408,13.799,4.395,0,5
0.8428,13.799,4.395,0,5
0.8447,13.799,4.395,0,5
0.8467,13.799,4.219,0,5
0.8487,13.799,4.219,0,5
0.8507,13.799,4.219,0,5
0.8527,13.799,4.219,0,5
0.8548,13.799,4.219,0,5
0.8568,13.799,4.219,0,5
0.8588,13.799,4.219,0,5
0.8608,13.799,4.219,0,5
0.8628,13.799,4.219,0,5
0.8648,13.799,4.219,0,5
0.8668,13.799,4.219,0,5
0.8688,13.799,4.219,0,5
0.8708,13.799,4.219,0,5
0.8727,13.799,4.219,0,5
0.8747,13.799,4.219,0,5
0.8767,13.799,4.219,0,5
0.8787,13.799,4.219,0,5
0.8808,13.799,4.219,0,5
0.8828,13.799,4.219,0,5
0.8848,13.799,4.219,0,5
0.8868,13.799,4.219,0,5
0.8888,13.799,4.219,0,5
0.8908,13.799,4.219,0,5
0.8928,13.799,4.219,0,5
0.8948,13.799,4.219,0,5
0.8968,13.799,4.219,0,5
0.8987,13.799,4.219,0,5
0.9007,13.799,4.219,0,5
0.9044,13.799,4.219,0,5
0.9048,13.799,4.219,0,5
0.9068,13.799,4.219,0,5
0.9088,13.799,4.219,0,5
0.9107,13.799,4.219,0,5
0.9127,13.799,4.395,0,5
0.9147,13.799,4.395,0,5
0.9167,13.799,4.395,0,5
0.9187,13.799,4.395,0,5
0.9208,13.799,4.395,0,5
0.9228,13.799,4.395,0,5
0.9248,13.799,4.395,0,5
0.9268,13.799,4.395,0,5
0.9288,13.799,4.395,0,5
0.9308,13.799,4.395,0,5
0.9328,13.799,4.395,0,5
0.9348,13.799,4.395,0,5
0.9368,13.799,4.395,0,5
0.9388,13.799,4.395,0,5
0.9408,13.799,4.395,0,5
0.9427,13.799,4.395,0,5
0.9447,13.799,4.395,0,5
0.9467,13.799,4.395,0,5
0.9487,13.799,4.395,0,5
0.9508,13.799,4.395,0,5
0.9528,13.799,4.395,0,5
0.9548,13.799,4.395,0,5
0.9568,13.799,4.395,0,5
0.9588,13.799,4.395,0,5
