t_s,th_deg,al_deg,pwm,mode
0.0000,74.971,0.176,0,5
0.0007,74.971,0.176,0,5
0.0023,74.971,0.176,0,5
0.0040,74.971,0.176,0,5
0.0060,74.971,0.176,0,5
0.0080,74.971,0.176,0,5
0.0099,74.971,0.176,0,5
0.0119,74.971,0.176,0,5
0.0140,74.971,0.176,0,5
0.0159,74.971,0.176,0,5
0.0179,74.971,0.176,0,5
0.0248,74.971,0.176,0,5
0.0261,74.971,0.176,0,5
0.0264,74.971,0.176,0,5
0.0266,74.971,0.176,0,5
0.0280,74.971,0.176,0,5
0.0300,74.971,0.176,0,5
0.0320,74.971,0.176,0,5
0.0339,74.971,0.176,0,5
0.0359,74.971,0.176,0,5
0.0379,74.971,0.176,0,5
0.0399,74.971,0.176,0,5
0.0420,74.971,0.176,0,5
0.0465,74.971,0.176,0,5
0.0473,74.971,0.176,0,5
0.0479,74.971,0.176,0,5
0.0499,74.971,0.176,0,5
0.0520,74.971,0.176,0,5
0.0540,74.971,0.176,0,5
0.0560,74.971,0.176,0,5
0.0580,74.971,0.176,0,5
0.0600,74.971,0.176,0,5
0.0619,74.971,0.176,0,5
0.0639,74.971,0.176,0,5
0.0660,74.971,0.176,0,5
0.0679,74.971,0.176,0,5
0.0699,74.971,0.176,0,5
0.0720,74.971,0.176,0,5
0.0740,74.971,0.176,0,5
0.0759,74.971,0.176,0,5
0.0780,74.971,0.176,0,5
0.0800,74.971,0.176,0,5
0.0819,74.971,0.176,0,5
0.0840,74.971,0.176,0,5
0.0859,74.971,0.176,0,5
0.1026,74.971,0.176,0,5
0.1046,74.971,0.176,0,5
0.1265,74.971,0.176,0,5
0.1286,74.971,0.176,0,5
0.1306,74.971,0.176,0,5
0.1326,74.971,0.176,0,5
0.1345,74.971,0.176,0,5
0.1366,74.971,0.176,0,5
0.1386,74.971,0.176,0,5
0.1406,74.971,0.176,0,5
0.1425,74.971,0.352,0,5
0.1446,74.971,0.352,0,5
0.1470,74.971,0.352,0,5
0.1485,74.971,0.352,0,5
0.1506,74.971,0.352,0,5
0.1525,74.971,0.352,0,5
0.1546,74.971,0.352,0,5
0.1565,74.971,0.352,0,5
0.1586,74.971,0.352,0,5
0.1606,74.971,0.352,0,5
0.1626,74.971,0.352,0,5
0.2582,74.971,0.176,0,5
0.2589,74.971,0.176,0,5
0.2590,74.971,0.176,0,5
0.2605,74.971,0.176,0,5
0.2625,74.971,0.176,0,5
0.2644,74.971,0.176,0,5
0.2665,74.971,0.176,0,5
0.2714,74.971,0.176,0,5
0.2720,74.971,0.176,0,5
0.2734,74.971,0.176,0,5
0.2744,74.971,0.176,0,5
0.2764,74.971,0.176,0,5
0.2784,74.971,0.176,0,5
0.2804,74.971,0.176,0,5
0.2824,74.971,0.176,0,5
0.2845,74.971,0.176,0,5
0.2864,74.971,0.176,0,5
0.2885,74.971,0.176,0,5
0.2905,74.971,0.176,0,5
0.2924,74.971,0.176,0,5
0.2945,74.971,0.176,0,5
0.2964,74.971,0.176,0,5
0.2984,74.971,0.176,0,5
0.3005,74.971,0.176,0,5
0.3024,74.971,0.176,0,5
0.3170,74.971,0.176,0,5
0.3190,74.971,0.176,0,5
0.3210,74.971,0.176,0,5
0.3253,74.971,0.176,0,5
0.3256,74.971,0.176,0,5
0.3270,74.971,0.176,0,5
0.3290,74.971,0.176,0,5
0.3310,74.971,0.176,0,5
0.3331,74.971,0.176,0,5
0.3351,74.971,0.176,0,5
0.3370,74.971,0.176,0,5
0.3390,74.971,0.176,0,5
0.3411,74.971,0.176,0,5
0.3431,74.971,0.176,0,5
0.3451,74.971,0.176,0,5
0.3470,74.971,0.176,0,5
0.3490,74.971,0.176,0,5
0.3510,74.971,0.176,0,5
0.3561,74.971,0.176,0,5
0.3567,74.971,0.176,0,5
0.3570,74.971,0.176,0,5
0.3590,74.971,0.176,0,5
0.3611,74.971,0.176,0,5
0.3631,74.971,0.176,0,5
0.3651,74.971,0.176,0,5
0.3671,74.971,0.176,0,5
0.3690,74.971,0.176,0,5
0.3710,74.971,0.176,0,5
0.3731,74.971,0.176,0,5
0.3751,74.971,0.176,0,5
0.3770,74.971,0.176,0,5
0.3795,74.971,0.176,0,5
0.3811,74.971,0.176,0,5
0.3830,74.971,0.176,0,5
0.3850,74.971,0.176,0,5
0.3870,74.971,0.176,0,5
0.3890,74.971,0.176,0,5
0.4051,74.971,0.176,0,5
0.4072,74.971,0.176,0,5
0.4095,74.971,0.176,0,5
0.4112,74.971,0.176,0,5
0.4131,74.971,0.176,0,5
0.4151,74.971,0.176,0,5
0.4171,74.971,0.176,0,5
0.4192,74.971,0.176,0,5
0.4262,74.971,0.176,0,5
0.4266,74.971,0.176,0,5
0.4267,74.971,0.176,0,5
0.4271,74.971,0.176,0,5
0.4291,74.971,0.176,0,5
0.4312,74.971,0.176,0,5
0.4331,74.971,0.176,0,5
0.4351,74.971,0.176,0,5
0.4371,74.971,0.176,0,5
0.4392,74.971,0.176,0,5
0.4412,74.971,0.176,0,5
