t_s,th_deg,al_deg,pwm,mode
0.0000,11.953,4.219,0,0
0.0008,11.953,4.219,0,0
0.0010,11.953,4.219,0,0
0.0027,11.953,4.219,0,0
0.0046,11.953,4.219,0,0
0.0066,11.953,4.219,0,0
0.0086,11.953,4.219,0,0
0.0106,11.953,4.219,0,0
0.0126,11.953,4.219,0,0
0.0146,11.953,4.219,0,0
0.0166,11.953,4.219,0,0
0.0186,11.953,4.219,0,0
0.0207,11.953,4.219,0,0
0.0226,11.953,4.219,0,0
0.0247,11.953,4.219,0,0
0.0267,11.953,4.219,0,0
0.0286,11.953,4.219,0,0
0.0306,11.953,4.219,0,0
0.0326,11.953,4.219,0,0
0.0347,11.953,4.219,0,0
0.0366,11.953,4.219,0,0
0.0386,11.953,4.219,0,0
0.0560,11.953,4.219,0,5
0.0580,11.953,4.219,0,5
0.0600,11.953,4.219,0,5
0.0620,11.953,4.219,0,5
0.0641,11.953,4.219,0,5
0.0660,11.953,4.219,0,5
0.0680,11.953,4.219,0,5
0.0700,11.953,4.219,0,5
0.0724,11.953,4.219,0,5
0.0742,11.953,4.219,0,5
0.0760,11.953,4.219,0,5
0.0780,11.953,4.219,0,5
0.0800,11.953,4.219,0,5
0.0820,11.953,4.219,0,5
0.0840,11.953,4.219,0,5
0.0895,11.953,4.219,0,5
0.0898,11.953,4.219,0,5
0.0900,11.953,4.219,0,5
0.0920,11.953,4.219,0,5
0.0940,11.953,4.219,0,5
0.0960,11.953,4.219,0,5
0.0980,11.953,4.219,0,5
0.1001,11.953,4.219,0,5
0.1045,11.953,4.219,0,5
0.1053,11.953,4.219,0,5
0.1060,11.953,4.219,0,5
0.1080,11.953,4.219,0,5
0.1100,11.953,4.219,0,5
0.1120,11.953,4.219,0,5
0.1140,11.953,4.219,0,5
0.1161,11.953,4.219,0,5
0.1180,11.953,4.219,0,5
0.1200,11.953,4.219,0,5
0.1220,11.953,4.219,0,5
0.1241,11.953,4.219,0,5
0.1260,11.953,4.219,0,5
0.1280,11.953,4.219,0,5
0.1300,11.953,4.219,0,5
0.1320,11.953,4.219,0,5
0.1340,11.953,4.219,0,5
0.1360,11.953,4.219,0,5
0.1380,11.953,4.219,0,5
0.1400,11.953,4.219,0,5
0.1420,11.953,4.219,0,5
0.1440,11.953,4.219,0,5
0.1460,11.953,4.219,0,5
0.1484,11.953,4.219,0,5
0.1633,11.953,4.219,0,5
0.1654,11.953,4.219,0,5
0.1675,11.953,4.219,0,5
0.1694,11.953,4.219,0,5
0.1714,11.953,4.219,0,5
0.1733,11.953,4.219,0,5
0.1753,11.953,4.219,0,5
0.1780,11.953,4.219,0,5
0.1794,11.953,4.219,0,5
0.1814,11.953,4.219,0,5
0.1833,11.953,4.219,0,5
0.1854,11.953,4.219,0,5
0.1895,11.953,4.219,0,5
0.1898,11.953,4.219,0,5
0.1914,11.953,4.219,0,5
0.1933,11.953,4.219,0,5
0.1954,11.953,4.219,0,5
0.1973,11.953,4.219,0,5
0.1993,11.953,4.219,0,5
0.2013,11.953,4.219,0,5
0.2034,11.953,4.219,0,5
0.2053,11.953,4.219,0,5
0.2074,11.953,4.219,0,5
0.2093,11.953,4.219,0,5
0.2113,11.953,4.219,0,5
0.2134,11.953,4.219,0,5
0.2153,11.953,4.219,0,5
0.2173,11.953,4.219,0,5
0.2194,11.953,4.219,0,5
0.2214,11.953,4.219,0,5
0.2233,11.953,4.219,0,5
0.2253,11.953,4.219,0,5
0.2273,11.953,4.219,0,5
0.2294,11.953,4.043,0,5
0.2313,11.953,4.043,0,5
0.2333,12.129,4.043,0,5
0.2353,12.129,4.043,0,5
0.2373,12.129,4.043,0,5
0.2393,12.129,4.043,0,5
0.2413,12.129,4.043,0,5
0.2433,12.129,4.043,0,5
0.2454,12.129,4.043,0,5
0.2474,12.129,4.043,0,5
0.2526,12.129,4.043,0,5
0.2533,12.129,4.043,0,5
0.2535,12.129,4.043,0,5
0.2555,12.129,4.043,0,5
0.2574,12.129,4.043,0,5
0.2593,12.129,4.043,0,5
0.2613,12.129,4.043,0,5
0.2633,12.129,4.043,0,5
0.2654,12.129,4.043,0,5
0.2673,12.129,4.043,0,5
0.2693,12.129,4.043,0,5
0.2714,12.129,4.043,0,5
0.2733,12.129,4.043,0,5
0.2753,12.129,4.043,0,5
0.2774,12.129,4.043,0,5
0.2793,12.129,4.043,0,5
0.2813,12.129,4.219,0,5
0.3016,12.129,4.219,0,5
0.3037,12.129,4.219,0,5
0.3057,12.129,4.219,0,5
0.3077,12.129,4.219,0,5
0.3096,12.129,4.219,0,5
0.3117,12.129,4.219,0,5
0.3137,12.129,4.219,0,5
0.3157,12.129,4.219,0,5
0.3177,12.129,4.219,0,5
0.3197,12.129,4.219,0,5
0.3217,12.129,4.219,0,5
0.3237,12.129,4.219,0,5
0.3257,12.129,4.219,0,5
0.3279,12.129,4.219,0,5
0.3297,12.129,4.219,0,5
0.3468,12.129,4.043,0,5
0.3488,12.129,4.043,0,5
0.3509,12.129,4.043,0,5
0.3529,12.129,4.043,0,5
0.3549,12.129,4.043,0,5
0.3569,12.129,4.043,0,5
0.3588,12.129,4.043,0,5
0.3609,12.129,4.043,0,5
0.3629,12.129,4.043,0,5
0.3648,12.129,4.043,0,5
0.3669,12.129,4.043,0,5
0.3689,12.129,4.043,0,5
0.3709,12.129,4.043,0,5
0.3729,12.129,4.043,0,5
0.3787,12.129,4.043,0,5
0.3794,12.129,4.043,0,5
0.3796,12.129,4.043,0,5
0.3809,12.129,4.043,0,5
0.3828,12.129,4.043,0,5
0.3849,12.129,4.043,0,5
0.3869,12.129,4.043,0,5
0.3889,12.129,4.043,0,5
0.3909,12.129,4.043,0,5
0.3928,12.129,4.043,0,5
0.3949,12.129,4.043,0,5
0.4016,12.129,4.219,0,5
0.4020,12.129,4.219,0,5
0.4022,12.129,4.219,0,5
0.4029,12.129,4.219,0,5
0.4049,12.129,4.219,0,5
0.4069,12.129,4.219,0,5
0.4089,12.129,4.219,0,5
0.4109,12.129,4.219,0,5
0.4129,12.129,4.219,0,5
0.4149,12.129,4.219,0,5
0.4169,12.129,4.219,0,5
0.4188,12.129,4.219,0,5
0.4209,12.129,4.219,0,5
0.4229,12.129,4.219,0,5
0.4249,12.129,4.219,0,5
0.4273,12.129,4.219,0,5
0.4428,12.129,4.219,0,5
0.4451,12.129,4.219,0,5
0.4468,12.129,4.219,0,5
0.4488,12.129,4.219,0,5
0.4508,12.129,4.219,0,5
0.4528,12.129,4.219,0,5
0.4548,12.129,4.219,0,5
0.4568,12.129,4.219,0,5
0.4588,12.129,4.219,0,5
0.4608,12.129,4.219,0,5
0.4628,12.129,4.219,0,5
0.4648,12.129,4.219,0,5
0.4668,12.129,4.219,0,5
0.4688,12.129,4.219,0,5
0.4708,12.129,4.219,0,5
0.4728,12.129,4.219,0,5
0.4748,12.129,4.219,0,5
0.4768,12.129,4.219,0,5
0.4788,12.129,4.219,0,5
0.4808,12.129,4.219,0,5
0.4829,12.129,4.219,0,5
0.4849,12.129,4.219,0,5
0.4889,12.129,4.219,0,5
0.4899,12.129,4.219,0,5
0.4908,12.129,4.219,0,5
0.4928,12.129,4.219,0,5
0.4948,12.129,4.219,0,5
0.5014,12.129,4.219,0,5
0.5021,12.129,4.219,0,5
0.5023,12.129,4.219,0,5
0.5028,12.129,4.219,0,5
0.5048,12.129,4.219,0,5
0.5068,12.129,4.219,0,5
0.5088,12.129,4.219,0,5
0.5108,12.129,4.219,0,5
0.5128,12.129,4.219,0,5
0.5148,12.129,4.219,0,5
0.5168,12.129,4.219,0,5
0.5189,12.129,4.219,0,5
0.5208,12.129,4.219,0,5
0.5228,12.129,4.219,0,5
0.5248,12.129,4.219,0,5
0.5268,12.129,4.219,0,5
0.5420,12.129,4.219,0,5
0.5441,12.129,4.219,0,5
0.5462,12.129,4.219,0,5
0.5481,12.129,4.219,0,5
0.5501,12.129,4.219,0,5
0.5521,12.129,4.219,0,5
0.5541,12.129,4.219,0,5
0.5561,12.129,4.219,0,5
0.5581,12.129,4.219,0,5
0.5600,12.129,4.219,0,5
0.5621,12.129,4.219,0,5
0.5641,12.129,4.219,0,5
0.5661,12.129,4.219,0,5
0.5717,12.129,4.219,0,5
0.5725,12.129,4.219,0,5
0.5727,12.129,4.219,0,5
0.5740,12.129,4.219,0,5
0.5761,12.129,4.219,0,5
0.5781,12.129,4.219,0,5
0.5801,12.129,4.219,0,5
0.5821,12.129,4.219,0,5
0.5846,12.129,4.219,0,5
0.5860,12.129,4.219,0,5
0.5880,12.129,4.219,0,5
0.5901,12.129,4.219,0,5
0.5921,12.129,4.219,0,5
0.5941,12.129,4.219,0,5
0.5961,12.129,4.219,0,5
0.6004,12.129,4.219,0,5
0.6008,12.129,4.219,0,5
0.6021,12.129,4.219,0,5
0.6040,12.129,4.219,0,5
0.6061,12.129,4.219,0,5
0.6081,12.129,4.219,0,5
0.6100,12.129,4.219,0,5
0.6121,12.129,4.219,0,5
0.6141,12.129,4.219,0,5
0.6309,12.129,4.219,0,5
0.6329,12.129,4.219,0,5
0.6350,12.129,4.219,0,5
0.6370,12.129,4.219,0,5
0.6390,12.129,4.219,0,5
0.6410,12.129,4.219,0,5
0.6429,12.129,4.219,0,5
0.6449,12.129,4.219,0,5
0.6469,12.129,4.219,0,5
0.6489,12.129,4.219,0,5
0.6510,12.129,4.219,0,5
0.6530,12.129,4.219,0,5
0.6550,12.129,4.219,0,5
0.6570,12.129,4.219,0,5
0.6590,12.129,4.219,0,5
0.6609,12.129,4.219,0,5
0.6629,12.129,4.219,0,5
0.6649,12.129,4.219,0,5
0.6669,12.129,4.219,0,5
0.6690,12.129,4.219,0,5
0.6710,12.129,4.219,0,5
0.6730,12.129,4.219,0,5
0.6750,12.129,4.219,0,5
0.6769,12.129,4.219,0,5
0.6789,12.129,4.219,0,5
0.6810,12.129,4.219,0,5
0.6830,12.129,4.219,0,5
0.6850,12.129,4.219,0,5
0.6870,12.129,4.219,0,5
0.6889,12.129,4.219,0,5
0.6909,12.129,4.219,0,5
0.6963,12.129,4.219,0,5
0.7014,12.129,4.219,0,5
0.7017,12.129,4.219,0,5
0.7019,12.129,4.219,0,5
0.7020,12.129,4.219,0,5
0.7029,12.129,4.219,0,5
0.7049,12.129,4.219,0,5
0.7070,12.129,4.219,0,5
0.7089,12.129,4.219,0,5
0.7110,12.129,4.219,0,5
0.7130,12.129,4.219,0,5
0.7149,12.129,4.219,0,5
0.7170,12.129,4.219,0,5
0.7190,12.129,4.219,0,5
0.7209,12.129,4.219,0,5
0.7230,12.129,4.219,0,5
0.7250,12.129,4.219,0,5
0.7270,12.129,4.219,0,5
0.7289,12.129,4.219,0,5
0.7310,12.129,4.219,0,5
0.7330,12.129,4.219,0,5
0.7349,12.129,4.219,0,5
0.7370,12.129,4.219,0,5
0.7389,12.129,4.219,0,5
0.7409,12.129,4.219,0,5
0.7431,12.129,4.219,0,5
0.7450,12.129,4.219,0,5
0.7470,12.129,4.219,0,5
0.7489,12.129,4.219,0,5
