t_s,th_deg,al_deg,pwm,mode
0.0000,15.117,1.406,0,0
0.0008,15.117,1.406,0,0
0.0010,15.117,1.406,0,0
0.0019,15.117,1.406,0,0
0.0040,15.117,1.230,0,0
0.0060,15.117,1.230,0,0
0.0080,15.117,1.230,0,0
0.0100,15.117,1.055,0,0
0.0120,15.293,1.055,0,0
0.0140,15.293,1.055,0,0
0.0160,15.293,1.055,0,0
0.0180,15.293,0.879,0,0
0.0200,15.293,0.879,0,0
0.0220,15.293,0.879,0,0
0.0240,15.469,0.703,0,0
0.0260,15.469,0.703,0,0
0.0280,15.469,0.703,0,0
0.0299,15.469,0.527,0,0
0.0319,15.469,0.527,0,0
0.0339,15.469,0.527,0,0
0.0359,15.469,0.352,0,0
0.0398,15.469,0.352,0,0
0.0400,15.469,0.352,0,0
0.0419,15.469,0.352,0,0
0.0439,15.469,0.352,0,0
0.0459,15.469,0.176,0,0
0.0479,15.645,0.176,0,0
0.0499,15.645,0.176,0,0
0.0519,15.645,0.176,0,0
0.0539,15.645,0.176,0,0
0.0559,15.645,0.000,0,0
0.0579,15.645,0.000,0,0
0.0599,15.645,0.000,0,0
0.0619,15.645,0.000,0,0
0.0639,15.645,-0.176,0,0
0.0659,15.645,-0.176,0,0
0.0679,15.645,-0.176,0,0
0.0699,15.645,-0.176,0,0
0.0719,15.645,-0.176,0,0
0.0739,15.645,-0.176,0,0
0.0759,15.645,-0.176,0,0
0.0779,15.645,-0.176,0,0
0.0799,15.645,-0.176,0,0
0.0819,15.645,-0.176,0,0
0.0839,15.645,-0.352,0,0
0.0859,15.645,-0.352,0,0
0.0879,15.645,-0.352,0,0
0.0899,15.645,-0.352,0,0
0.0919,15.645,-0.352,0,0
0.0940,15.645,-0.352,0,0
0.0960,15.645,-0.352,0,0
0.0979,15.645,-0.352,0,0
0.0999,15.469,-0.352,0,0
0.1019,15.469,-0.352,0,0
0.1039,15.469,-0.352,0,0
0.1059,15.469,-0.352,0,0
0.1079,15.469,-0.352,0,0
0.1099,15.469,-0.352,0,0
0.1119,15.469,-0.352,0,0
0.1139,15.469,-0.352,0,0
0.1159,15.469,-0.352,0,0
0.1179,15.469,-0.352,0,0
0.1199,15.469,-0.352,0,0
0.1219,15.469,-0.352,0,0
0.1239,15.469,-0.352,0,0
0.1260,15.469,-0.352,0,0
0.1279,15.469,-0.352,0,0
0.1300,15.469,-0.352,0,0
0.1319,15.293,-0.352,0,0
0.1340,15.293,-0.352,0,0
0.1393,15.293,-0.352,0,0
0.1395,15.293,-0.352,0,0
0.1399,15.293,-0.352,0,0
0.1419,15.293,-0.352,0,0
0.1439,15.293,-0.176,0,0
0.1459,15.293,-0.176,0,0
0.1480,15.293,-0.176,0,0
0.1499,15.117,-0.176,0,0
0.1519,15.117,-0.176,0,0
0.1539,15.117,-0.176,0,0
0.1559,15.117,-0.176,0,0
0.1579,15.117,-0.176,0,0
0.1599,15.117,-0.176,0,0
0.1619,15.117,-0.176,0,0
0.1639,15.117,-0.176,0,0
0.1659,15.117,0.000,0,0
0.1679,14.941,0.000,0,0
0.1699,14.941,0.000,0,0
0.1719,14.941,0.000,0,0
0.1739,14.941,0.000,0,0
0.1759,14.941,0.000,0,0
0.1779,14.941,0.176,0,0
0.1799,14.941,0.176,0,0
0.1819,14.941,0.176,0,0
0.1839,14.941,0.176,0,0
0.1859,14.941,0.176,0,0
0.1879,14.766,0.176,0,0
0.1899,14.766,0.176,0,0
0.1919,14.766,0.176,0,0
0.1939,14.766,0.352,0,0
0.1959,14.766,0.352,0,0
0.1979,14.766,0.352,0,0
0.1999,14.766,0.352,0,0
0.2019,14.766,0.352,0,0
0.2039,14.766,0.352,0,0
0.2059,14.766,0.352,0,0
0.2079,14.766,0.352,0,0
0.2099,14.766,0.527,0,0
0.2119,14.590,0.527,0,0
0.2139,14.590,0.527,0,0
0.2159,14.590,0.527,0,0
0.2179,14.590,0.527,0,0
0.2199,14.590,0.527,0,0
0.2219,14.590,0.527,0,0
0.2239,14.590,0.527,0,0
0.2259,14.590,0.703,0,0
0.2279,14.590,0.703,0,0
0.2300,14.590,0.703,0,0
0.2319,14.414,0.703,0,0
0.2339,14.414,0.703,0,0
0.2359,14.414,0.703,0,0
0.2392,14.414,0.879,0,0
0.2399,14.414,0.879,0,0
0.2419,14.414,0.879,0,0
0.2439,14.414,0.879,0,0
0.2459,14.414,0.879,0,0
0.2479,14.414,0.879,0,0
0.2499,14.414,0.879,0,0
0.2519,14.414,0.879,0,0
0.2539,14.414,0.879,0,0
0.2559,14.414,0.879,0,0
0.2579,14.414,0.879,0,0
0.2599,14.414,1.055,0,0
0.2619,14.414,1.055,0,0
0.2639,14.414,1.055,0,0
0.2659,14.414,1.055,0,0
0.2679,14.414,1.055,0,0
0.2699,14.414,1.055,0,0
0.2719,14.414,1.055,0,0
0.2740,14.414,1.055,0,0
0.2760,14.414,1.055,0,0
0.2780,14.414,1.055,0,0
0.2800,14.414,1.055,0,0
0.2820,14.414,1.055,0,0
0.2840,14.414,1.055,0,0
0.2860,14.414,1.055,0,0
0.2880,14.414,1.055,0,0
0.2900,14.414,1.055,0,0
0.2920,14.414,1.055,0,0
0.2939,14.414,1.055,0,0
0.2959,14.414,1.055,0,0
0.2979,14.414,1.055,0,0
0.2999,14.414,1.055,0,0
0.3019,14.414,1.055,0,0
0.3039,14.414,1.055,0,0
0.3059,14.414,1.055,0,0
0.3079,14.414,1.055,0,0
0.3099,14.414,1.055,0,0
0.3119,14.414,1.055,0,0
0.3140,14.414,1.055,0,0
0.3160,14.414,1.055,0,0
0.3180,14.414,1.055,0,0
0.3200,14.414,1.055,0,0
0.3219,14.414,1.055,0,0
0.3240,14.414,1.230,0,0
0.3260,14.414,1.230,0,0
0.3280,14.414,1.230,0,0
0.3299,14.414,1.230,0,0
0.3320,14.414,1.230,0,0
0.3339,14.414,1.230,0,0
0.3393,14.414,1.230,0,0
0.3395,14.414,1.230,0,0
0.3399,14.414,1.230,0,0
0.3419,14.414,1.230,0,0
0.3439,14.414,1.230,0,0
0.3459,14.414,1.230,0,0
0.3479,14.414,1.230,0,0
0.3499,14.414,1.230,0,0
0.3519,14.414,1.230,0,0
0.3539,14.414,1.230,0,0
0.3559,14.414,1.230,0,0
0.3580,14.414,1.230,0,0
0.3600,14.414,1.230,0,0
0.3620,14.414,1.230,0,0
0.3640,14.414,1.230,0,0
0.3659,14.414,1.230,0,0
0.3679,14.414,1.230,0,0
0.3699,14.414,1.230,0,0
0.3719,14.414,1.230,0,0
0.3739,14.414,1.230,0,0
0.3759,14.414,1.230,0,0
0.3779,14.414,1.230,0,0
0.3799,14.414,1.230,0,0
0.3819,14.414,1.230,0,0
0.3839,14.414,1.230,0,0
0.3859,14.414,1.230,0,0
0.3879,14.414,1.230,0,0
0.3900,14.414,1.230,0,0
0.3920,14.414,1.230,0,0
0.3939,14.414,1.230,0,0
0.3959,14.414,1.230,0,0
0.3979,14.414,1.230,0,0
0.4163,14.414,1.230,0,5
0.4183,14.414,1.230,0,5
0.4204,14.414,1.230,0,5
0.4224,14.414,1.230,0,5
0.4244,14.414,1.230,0,5
0.4263,14.414,1.230,0,5
0.4284,14.414,1.230,0,5
0.4304,14.414,1.230,0,5
0.4324,14.414,1.230,0,5
0.4343,14.414,1.230,0,5
0.4401,14.414,1.055,0,5
0.4404,14.414,1.055,0,5
0.4406,14.414,1.055,0,5
0.4423,14.414,1.055,0,5
0.4444,14.414,1.055,0,5
0.4464,14.414,1.055,0,5
0.4484,14.414,1.055,0,5
0.4504,14.414,1.055,0,5
0.4524,14.414,1.055,0,5
0.4543,14.414,1.055,0,5
0.4564,14.414,1.055,0,5
0.4584,14.414,1.055,0,5
0.4604,14.414,1.055,0,5
0.4624,14.414,1.055,0,5
0.4644,14.414,1.055,0,5
0.4663,14.414,1.055,0,5
0.4684,14.414,1.055,0,5
0.4704,14.414,1.055,0,5
0.4724,14.414,1.055,0,5
0.4744,14.414,1.055,0,5
0.4764,14.414,1.055,0,5
0.4783,14.414,1.055,0,5
0.4804,14.414,1.055,0,5
0.4824,14.414,1.055,0,5
0.4844,14.414,1.055,0,5
0.4864,14.414,1.055,0,5
0.4884,14.414,1.055,0,5
0.4904,14.414,1.055,0,5
0.4924,14.414,1.055,0,5
0.4943,14.414,1.055,0,5
0.4964,14.414,0.879,0,5
0.4984,14.414,0.879,0,5
0.5004,14.414,0.879,0,5
0.5024,14.414,0.879,0,5
0.5043,14.414,0.879,0,5
0.5064,14.414,0.879,0,5
0.5084,14.414,0.879,0,5
0.5104,14.414,0.879,0,5
0.5124,14.414,0.879,0,5
0.5144,14.414,0.879,0,5
0.5164,14.414,0.879,0,5
0.5184,14.414,0.879,0,5
0.5204,14.414,0.879,0,5
0.5224,14.414,0.879,0,5
0.5243,14.414,0.879,0,5
0.5264,14.414,0.879,0,5
0.5284,14.414,0.879,0,5
0.5304,14.414,0.879,0,5
0.5323,14.414,0.879,0,5
0.5344,14.414,0.879,0,5
0.5393,14.414,0.879,0,5
0.5396,14.414,0.879,0,5
0.5404,14.414,0.879,0,5
0.5424,14.414,0.703,0,5
0.5444,14.414,0.703,0,5
0.5463,14.414,0.703,0,5
0.5484,14.414,0.703,0,5
0.5504,14.414,0.703,0,5
0.5524,14.414,0.703,0,5
0.5544,14.414,0.703,0,5
0.5564,14.414,0.703,0,5
0.5583,14.414,0.703,0,5
0.5604,14.414,0.703,0,5
0.5624,14.414,0.703,0,5
0.5644,14.414,0.703,0,5
0.5664,14.414,0.703,0,5
0.5684,14.414,0.703,0,5
0.5703,14.414,0.703,0,5
0.5724,14.414,0.703,0,5
0.5744,14.414,0.703,0,5
0.5764,14.414,0.527,0,5
