t_s,th_deg,al_deg,pwm,mode
0.0000,1.143,167.168,0,0
0.0005,1.143,167.168,0,0
0.0007,1.143,167.168,0,0
0.0021,1.143,167.168,0,0
0.0040,1.143,167.168,0,0
0.0060,1.143,167.168,0,0
0.0080,1.143,167.168,0,0
0.0118,1.143,167.168,0,0
0.0121,1.143,167.168,0,0
0.0140,1.143,167.168,0,0
0.0161,1.143,166.992,0,0
0.0181,1.143,166.992,0,0
0.0200,1.143,166.992,0,0
0.0221,1.143,166.992,0,0
0.0241,1.143,166.992,0,0
0.0261,1.143,166.992,0,0
0.0281,1.143,166.992,0,0
0.0301,1.143,166.992,0,0
0.0321,1.143,166.992,0,0
0.0341,1.143,166.992,0,0
0.0362,1.143,166.992,0,0
0.0381,1.143,166.992,0,0
0.0402,1.143,166.992,0,0
0.0421,1.143,166.992,0,0
0.0441,1.143,166.992,0,0
0.0461,1.143,166.992,0,0
0.0481,1.143,166.992,0,0
0.0501,1.143,166.992,0,0
0.0521,1.143,166.992,0,0
0.0541,1.143,166.992,0,0
0.0561,1.143,166.992,0,0
0.0581,1.143,166.992,0,0
0.0743,1.143,166.816,0,5
0.0764,1.143,166.816,0,5
0.0784,1.143,166.816,0,5
0.0804,1.143,166.816,0,5
0.0824,1.143,166.816,0,5
0.0844,1.143,166.816,0,5
0.0864,1.143,166.816,0,5
0.0884,1.143,166.816,0,5
0.0904,1.143,166.816,0,5
0.0924,1.143,166.816,0,5
0.0944,1.143,166.816,0,5
0.0965,1.143,166.816,0,5
0.0984,1.143,166.816,0,5
0.1004,1.143,166.816,0,5
0.1024,1.143,166.816,0,5
0.1044,1.143,166.641,0,5
0.1064,1.143,166.641,0,5
0.1085,1.143,166.641,0,5
0.1119,1.143,166.641,0,5
0.1125,1.143,166.641,0,5
0.1144,1.143,166.641,0,5
0.1164,1.143,166.641,0,5
0.1184,1.143,166.641,0,5
0.1204,1.143,166.641,0,5
0.1224,1.143,166.641,0,5
0.1244,1.143,166.641,0,5
0.1264,1.143,166.641,0,5
0.1284,1.143,166.641,0,5
0.1304,1.143,166.641,0,5
0.1324,1.143,166.641,0,5
0.1344,1.143,166.641,0,5
0.1365,1.143,166.641,0,5
0.1384,1.143,166.641,0,5
0.1404,1.143,166.641,0,5
0.1424,1.143,166.641,0,5
0.1445,1.143,166.641,0,5
0.1464,1.143,166.641,0,5
0.1484,1.143,166.641,0,5
0.1505,1.143,166.641,0,5
0.1530,1.143,166.641,0,5
0.1545,1.143,166.641,0,5
0.1564,1.143,166.641,0,5
0.1584,1.143,166.641,0,5
0.1604,1.143,166.641,0,5
0.1659,1.143,166.641,0,5
0.1666,1.143,166.641,0,5
0.1668,1.143,166.641,0,5
0.1684,1.143,166.641,0,5
0.1705,1.143,166.465,0,5
0.1724,1.143,166.465,0,5
0.1744,1.143,166.465,0,5
0.1764,1.143,166.465,0,5
0.1784,1.143,166.465,0,5
0.1804,1.143,166.465,0,5
0.1824,1.143,166.465,0,5
0.1844,1.143,166.465,0,5
0.1864,1.143,166.465,0,5
0.1884,1.143,166.465,0,5
0.1904,1.143,166.465,0,5
0.1924,1.143,166.465,0,5
0.1944,1.143,166.465,0,5
0.1971,1.143,166.465,0,5
0.1985,1.143,166.465,0,5
0.2004,1.143,166.465,0,5
0.2024,1.143,166.465,0,5
0.2044,1.143,166.465,0,5
0.2064,1.143,166.465,0,5
0.2084,1.143,166.465,0,5
0.2117,1.143,166.465,0,5
0.2124,1.143,166.465,0,5
0.2144,1.143,166.465,0,5
0.2164,1.143,166.465,0,5
0.2185,1.143,166.465,0,5
0.2204,1.143,166.465,0,5
0.2224,1.143,166.465,0,5
0.2244,1.143,166.465,0,5
0.2264,1.143,166.465,0,5
0.2284,1.143,166.465,0,5
0.2305,1.143,166.465,0,5
0.2324,1.143,166.465,0,5
0.2345,1.143,166.465,0,5
0.2364,1.143,166.465,0,5
0.2384,1.143,166.465,0,5
0.2404,1.143,166.465,0,5
0.2425,1.143,166.465,0,5
0.2444,1.143,166.465,0,5
0.2464,1.143,166.465,0,5
0.2484,1.143,166.465,0,5
0.2504,1.143,166.465,0,5
0.2524,1.143,166.465,0,5
0.2545,1.143,166.465,0,5
0.2564,1.143,166.465,0,5
0.2584,1.143,166.465,0,5
0.2605,1.143,166.465,0,5
0.2624,1.143,166.465,0,5
0.2644,1.143,166.465,0,5
0.2664,1.143,166.465,0,5
0.2683,1.143,166.465,0,5
0.2837,1.143,166.641,0,5
0.2857,1.143,166.641,0,5
0.2877,1.143,166.641,0,5
0.2897,1.143,166.641,0,5
0.2917,1.143,166.641,0,5
0.2937,1.143,166.641,0,5
0.2957,1.143,166.641,0,5
0.2977,1.143,166.641,0,5
0.2997,1.143,166.641,0,5
0.3017,1.143,166.641,0,5
0.3037,1.143,166.641,0,5
0.3058,1.143,166.641,0,5
0.3077,1.143,166.641,0,5
0.3126,1.143,166.641,0,5
0.3131,1.143,166.641,0,5
0.3137,1.143,166.641,0,5
0.3157,1.143,166.641,0,5
0.3177,1.143,166.641,0,5
0.3197,1.143,166.641,0,5
0.3217,1.143,166.641,0,5
0.3237,1.143,166.641,0,5
0.3258,1.143,166.641,0,5
0.3277,1.143,166.641,0,5
0.3297,1.143,166.641,0,5
0.3318,1.143,166.641,0,5
0.3337,1.143,166.641,0,5
0.3357,1.143,166.641,0,5
0.3377,1.143,166.641,0,5
0.3397,1.143,166.641,0,5
0.3417,1.143,166.641,0,5
0.3437,1.143,166.641,0,5
0.3457,1.143,166.816,0,5
0.3477,1.143,166.816,0,5
0.3497,1.143,166.816,0,5
0.3517,1.143,166.816,0,5
0.3538,1.143,166.816,0,5
0.3558,1.143,166.816,0,5
0.3577,1.143,166.816,0,5
0.3597,1.143,166.816,0,5
0.3618,1.143,166.816,0,5
0.3662,1.143,166.816,0,5
0.3671,1.143,166.816,0,5
0.3678,1.143,166.816,0,5
0.3698,1.143,166.816,0,5
0.3718,1.143,166.816,0,5
0.3737,1.143,166.816,0,5
0.3757,1.143,166.816,0,5
0.3777,1.143,166.816,0,5
0.3797,1.143,166.816,0,5
0.3817,1.143,166.992,0,5
0.3838,1.143,166.992,0,5
0.3858,1.143,166.992,0,5
0.3878,1.143,166.992,0,5
0.3897,1.143,166.992,0,5
0.3917,1.143,166.992,0,5
0.3937,1.143,166.992,0,5
0.3958,1.143,166.992,0,5
0.3977,1.143,166.992,0,5
0.4002,1.143,166.992,0,5
0.4017,1.143,166.992,0,5
0.4037,1.143,166.992,0,5
0.4057,1.143,166.992,0,5
0.4077,1.143,166.992,0,5
0.4120,1.143,166.992,0,5
0.4123,1.143,166.992,0,5
0.4137,1.143,166.992,0,5
0.4158,1.143,166.992,0,5
0.4178,1.143,166.992,0,5
0.4198,1.143,166.992,0,5
0.4218,1.143,166.992,0,5
0.4237,1.143,166.992,0,5
0.4258,1.143,166.992,0,5
0.4278,1.143,166.992,0,5
0.4298,1.143,166.992,0,5
0.4317,1.143,166.992,0,5
0.4337,1.143,166.992,0,5
0.4358,1.143,166.992,0,5
0.4377,1.143,166.992,0,5
0.4397,1.143,166.992,0,5
0.4417,1.143,166.992,0,5
0.4437,1.143,166.992,0,5
0.4457,1.143,166.992,0,5
0.4478,1.143,166.992,0,5
0.4529,1.143,166.992,0,5
0.4537,1.143,166.992,0,5
0.4539,1.143,166.992,0,5
0.4559,1.143,166.992,0,5
0.4578,1.143,166.992,0,5
0.4597,1.143,166.992,0,5
0.4617,1.143,166.992,0,5
0.4637,1.143,166.992,0,5
0.4658,1.143,167.168,0,5
0.4677,1.143,167.168,0,5
0.4698,1.143,167.168,0,5
0.4717,1.143,167.168,0,5
0.4737,1.143,167.168,0,5
0.4757,1.143,167.168,0,5
0.4778,1.143,167.168,0,5
0.4798,1.143,167.168,0,5
0.4817,1.143,167.168,0,5
0.4838,1.143,167.168,0,5
0.4857,1.143,167.168,0,5
0.4877,1.143,167.168,0,5
0.4897,1.143,167.168,0,5
0.4918,1.143,167.168,0,5
0.4938,1.143,167.168,0,5
0.4957,1.143,167.168,0,5
0.5139,1.143,167.168,0,5
0.5160,1.143,167.168,0,5
0.5179,1.143,167.168,0,5
0.5200,1.143,167.168,0,5
0.5220,1.143,167.168,0,5
0.5240,1.143,167.168,0,5
0.5259,1.143,167.168,0,5
0.5279,1.143,167.168,0,5
0.5299,1.143,167.168,0,5
0.5320,1.143,167.168,0,5
0.5340,1.143,167.168,0,5
0.5360,1.143,167.168,0,5
0.5379,1.143,167.168,0,5
0.5399,1.143,167.168,0,5
0.5419,1.143,167.168,0,5
0.5440,1.143,167.168,0,5
0.5460,1.143,167.168,0,5
0.5480,1.143,167.168,0,5
0.5499,1.143,166.992,0,5
0.5519,1.143,166.992,0,5
0.5539,1.143,166.992,0,5
0.5559,1.143,166.992,0,5
0.5579,1.143,166.992,0,5
0.5600,1.143,166.992,0,5
0.5620,1.143,166.992,0,5
0.5640,1.143,166.992,0,5
0.5659,1.143,166.992,0,5
0.5679,1.143,166.992,0,5
0.5700,1.143,166.992,0,5
0.5720,1.143,166.992,0,5
0.5740,1.143,166.992,0,5
0.5759,1.143,166.992,0,5
0.5779,1.143,166.992,0,5
0.5799,1.143,166.992,0,5
0.5819,1.143,166.992,0,5
0.5839,1.143,166.992,0,5
0.5860,1.143,166.992,0,5
0.5880,1.143,166.992,0,5
0.5899,1.143,166.992,0,5
0.5919,1.143,166.992,0,5
0.5939,1.143,166.992,0,5
0.5960,1.143,166.992,0,5
0.5980,1.143,166.992,0,5
0.5999,1.143,166.992,0,5
