t_s,th_deg,al_deg,pwm,mode
0.0000,-3.164,181.934,0,0
0.0005,-3.164,181.934,0,0
0.0009,-3.164,181.934,0,0
0.0030,-3.164,181.934,0,0
0.0050,-3.164,181.934,0,0
0.0070,-3.164,181.934,0,0
0.0089,-3.164,181.934,0,0
0.0109,-3.164,181.934,0,0
0.0129,-3.164,181.934,0,0
0.0149,-3.164,181.934,0,0
0.0169,-3.164,181.934,0,0
0.0189,-3.164,181.934,0,0
0.0209,-3.164,181.934,0,0
0.0230,-3.164,181.934,0,0
0.0251,-3.164,181.934,0,0
0.0269,-3.164,181.934,0,0
0.0290,-3.164,181.934,0,0
0.0310,-3.164,181.934,0,0
0.0330,-3.164,181.934,0,0
0.0350,-3.164,181.934,0,0
0.0370,-3.164,181.934,0,0
0.0390,-3.164,181.934,0,0
0.0410,-3.164,181.934,0,0
0.0430,-3.164,181.934,0,0
0.0451,-3.164,181.934,0,5
0.0646,-3.164,182.109,0,5
0.0666,-3.164,182.109,0,5
0.0687,-3.164,182.109,0,5
0.0707,-3.164,182.109,0,5
0.0727,-3.164,182.109,0,5
0.0747,-3.164,182.109,0,5
0.0767,-3.164,182.109,0,5
0.0787,-3.164,182.109,0,5
0.0810,-3.164,182.109,0,5
0.0828,-3.164,182.109,0,5
0.0847,-3.164,182.109,0,5
0.0867,-3.164,182.109,0,5
0.0887,-3.164,182.109,0,5
0.0907,-3.164,182.109,0,5
0.0927,-3.164,182.109,0,5
0.0947,-3.164,182.109,0,5
0.0967,-3.164,182.109,0,5
0.0987,-3.164,182.109,0,5
0.1007,-3.164,182.109,0,5
0.1027,-3.164,182.109,0,5
0.1047,-3.164,182.109,0,5
0.1066,-3.164,182.109,0,5
0.1086,-3.164,182.109,0,5
0.1107,-3.164,182.109,0,5
0.1127,-3.164,182.109,0,5
0.1146,-3.164,182.109,0,5
0.1167,-3.164,182.285,0,5
0.1187,-3.164,182.285,0,5
0.1207,-3.164,182.285,0,5
0.1227,-3.164,182.285,0,5
0.1247,-3.164,182.285,0,5
0.1266,-3.164,182.285,0,5
0.1286,-3.164,182.285,0,5
0.1307,-3.164,182.285,0,5
0.1326,-3.164,182.285,0,5
0.1375,-3.164,182.285,0,5
0.1383,-3.164,182.285,0,5
0.1386,-3.164,182.285,0,5
0.1407,-3.164,182.285,0,5
0.1426,-3.164,182.285,0,5
0.1447,-3.164,182.285,0,5
0.1467,-3.164,182.285,0,5
