t_s,th_deg,al_deg,pwm,mode
0.0000,3.164,941.484,0,0
0.0048,3.164,941.484,0,0
0.0050,3.164,941.484,0,0
0.0056,3.164,941.484,0,0
0.0075,3.164,941.484,0,0
0.0095,3.164,941.484,0,0
0.0115,3.164,941.484,0,0
0.0135,3.164,941.484,0,0
0.0155,3.164,941.484,0,0
0.0175,3.164,941.484,0,0
0.0196,3.164,941.484,0,0
0.0215,3.164,941.484,0,0
0.0236,3.164,941.484,0,0
0.0256,3.164,941.484,0,0
0.0276,3.164,941.484,0,0
0.0296,3.164,941.309,0,0
0.0316,3.164,941.309,0,0
0.0336,3.164,941.309,0,0
0.0356,3.164,941.309,0,0
0.0376,3.164,941.309,0,0
0.0396,3.164,941.309,0,0
0.0415,3.164,941.309,0,0
0.0435,3.164,941.309,0,0
0.0455,3.164,941.309,0,0
0.0500,3.164,941.309,0,0
0.0503,3.164,941.309,0,0
0.0515,3.164,941.309,0,0
0.0536,3.164,941.309,0,0
0.0556,3.164,941.309,0,0
0.0575,3.164,941.309,0,0
0.0595,3.164,941.309,0,0
0.0615,3.164,941.309,0,0
0.0635,3.164,941.309,0,0
0.0656,3.164,941.309,0,0
0.0675,3.164,941.309,0,0
0.0696,3.164,941.309,0,0
0.0716,3.164,941.309,0,0
0.0736,3.164,941.309,0,0
0.0755,3.164,941.309,0,0
0.0775,3.164,941.309,0,0
0.0795,3.164,941.309,0,0
0.0815,3.164,941.309,0,0
0.0836,3.164,941.309,0,0
0.0856,3.164,941.309,0,0
0.0876,3.164,941.309,0,0
0.0895,3.164,941.309,0,0
0.0916,3.164,941.309,0,0
0.1077,3.164,941.309,0,5
0.1098,3.164,941.309,0,5
0.1122,3.164,941.309,0,5
0.1137,3.164,941.309,0,5
0.1157,3.164,941.309,0,5
0.1178,3.164,941.309,0,5
0.1198,3.164,941.309,0,5
0.1217,3.164,941.309,0,5
0.1238,3.164,941.309,0,5
0.1259,3.164,941.309,0,5
0.1283,3.164,941.309,0,5
0.1298,3.164,941.309,0,5
0.1318,3.164,941.309,0,5
0.1338,3.164,941.309,0,5
0.1358,3.164,941.309,0,5
0.1378,3.164,941.309,0,5
0.1398,3.164,941.309,0,5
0.1418,3.164,941.309,0,5
0.1438,3.164,941.309,0,5
0.1458,3.164,941.309,0,5
0.1501,3.164,941.309,0,5
0.1504,3.164,941.309,0,5
0.1518,3.164,941.309,0,5
0.1537,3.164,941.309,0,5
0.1558,3.164,941.309,0,5
0.1578,3.164,941.309,0,5
0.1598,3.164,941.309,0,5
0.1618,3.164,941.309,0,5
0.1638,3.164,941.309,0,5
0.1658,3.164,941.309,0,5
0.1678,3.164,941.309,0,5
0.1698,3.164,941.309,0,5
0.1718,3.164,941.309,0,5
0.1738,3.164,941.309,0,5
0.1758,3.164,941.309,0,5
0.1778,3.164,941.309,0,5
0.1798,3.164,941.309,0,5
0.1817,3.164,941.309,0,5
0.1837,3.164,941.484,0,5
0.1858,3.164,941.484,0,5
0.1878,3.164,941.484,0,5
0.1898,3.164,941.484,0,5
0.1917,3.164,941.484,0,5
0.1937,3.164,941.484,0,5
0.1958,3.164,941.484,0,5
0.1978,3.164,941.484,0,5
0.1998,3.164,941.484,0,5
0.2018,3.164,941.484,0,5
0.2037,3.164,941.484,0,5
0.2057,3.164,941.484,0,5
0.2078,3.164,941.484,0,5
0.2098,3.164,941.484,0,5
0.2118,3.164,941.484,0,5
0.2137,3.164,941.484,0,5
0.2157,3.164,941.484,0,5
0.2178,3.164,941.484,0,5
0.2198,3.164,941.484,0,5
0.2218,3.164,941.484,0,5
0.2238,3.164,941.484,0,5
0.2257,3.164,941.484,0,5
0.2277,3.164,941.484,0,5
0.2298,3.164,941.484,0,5
0.2318,3.164,941.484,0,5
0.2338,3.164,941.660,0,5
0.2357,3.164,941.660,0,5
