t_s,th_deg,al_deg,pwm,mode
0.0000,-4.043,290.918,0,0
0.0051,-4.043,290.918,0,0
0.0055,-4.043,290.918,0,0
0.0060,-4.043,290.918,0,0
0.0080,-4.043,290.918,0,0
0.0099,-4.043,290.918,0,0
0.0119,-4.043,290.918,0,0
0.0140,-4.043,290.918,0,0
0.0160,-4.043,290.918,0,0
0.0180,-4.043,290.918,0,0
0.0200,-4.043,290.918,0,0
0.0220,-4.043,290.918,0,0
0.0240,-4.043,290.918,0,0
0.0260,-4.043,290.918,0,0
0.0280,-4.043,290.918,0,0
0.0300,-4.043,290.918,0,0
0.0319,-4.043,290.918,0,0
0.0339,-4.043,290.918,0,0
0.0371,-4.043,290.918,0,0
0.0380,-4.043,290.918,0,0
0.0400,-4.043,290.918,0,0
0.0420,-4.043,290.918,0,0
0.0440,-4.043,290.918,0,0
0.0460,-4.043,290.918,0,0
0.0480,-4.043,290.918,0,0
0.0500,-4.043,290.918,0,0
0.0520,-4.043,290.918,0,0
0.0540,-4.043,290.918,0,0
0.0560,-4.043,290.918,0,0
0.0580,-4.043,290.918,0,0
0.0600,-4.043,290.918,0,0
0.0620,-4.043,290.918,0,0
0.0640,-4.043,290.918,0,0
0.0659,-4.043,290.918,0,0
0.0679,-4.043,290.918,0,0
0.0699,-4.043,290.918,0,0
0.0719,-4.043,290.918,0,0
0.0739,-4.043,290.918,0,0
0.0759,-4.043,290.918,0,0
0.0779,-4.043,290.918,0,0
0.0799,-4.043,290.918,0,0
0.0819,-4.043,290.918,0,0
0.0839,-4.043,290.918,0,0
0.0859,-4.043,290.918,0,0
0.0879,-4.043,290.918,0,0
0.0900,-4.043,290.918,0,0
0.0919,-4.043,290.918,0,0
0.0939,-4.043,290.918,0,0
0.0960,-4.043,290.918,0,0
0.0979,-4.043,290.918,0,0
0.1000,-4.043,290.918,0,0
0.1020,-4.043,290.918,0,0
0.1039,-4.043,290.918,0,0
0.1060,-4.043,290.918,0,0
0.1080,-4.043,290.918,0,0
0.1100,-4.043,290.918,0,0
0.1120,-4.043,290.918,0,0
0.1140,-4.043,290.918,0,0
0.1159,-4.043,290.918,0,0
0.1179,-4.043,290.918,0,0
0.1200,-4.043,290.918,0,0
0.1220,-4.043,290.918,0,0
0.1240,-4.043,290.918,0,0
0.1260,-4.043,290.918,0,0
0.1280,-4.043,290.918,0,0
0.1299,-4.043,290.918,0,0
0.1320,-4.043,290.918,0,0
0.1340,-4.043,290.918,0,0
0.1368,-4.043,290.918,0,0
0.1379,-4.043,290.918,0,0
0.1399,-4.043,290.918,0,0
0.1420,-4.043,290.918,0,0
0.1440,-4.043,290.918,0,0
0.1460,-4.043,290.918,0,0
0.1480,-4.043,290.918,0,0
0.1500,-4.043,290.918,0,0
0.1519,-4.043,290.918,0,0
0.1540,-4.043,290.918,0,0
0.1560,-4.043,290.918,0,0
0.1580,-4.043,290.918,0,0
0.1600,-4.043,290.918,0,0
0.1620,-4.043,290.918,0,0
0.1639,-4.043,290.918,0,0
0.1659,-4.043,290.918,0,0
0.1680,-4.043,290.918,0,0
0.1700,-4.043,290.918,0,0
0.1720,-4.043,290.918,0,0
0.1740,-4.043,290.918,0,0
0.1759,-4.043,290.918,0,0
0.1779,-4.043,290.918,0,0
0.1800,-4.043,290.918,0,0
0.1820,-4.043,290.918,0,0
0.1840,-4.043,290.918,0,0
0.1860,-4.043,290.918,0,0
0.1881,-4.043,290.918,0,0
0.1899,-4.043,290.918,0,0
0.1920,-4.043,290.918,0,0
0.1939,-4.043,290.918,0,0
0.1960,-4.043,290.918,0,0
0.1980,-4.043,290.918,0,0
0.2000,-4.043,290.918,0,0
0.2020,-4.043,290.918,0,0
0.2039,-4.043,290.918,0,0
0.2059,-4.043,290.918,0,0
0.2080,-4.043,290.918,0,0
0.2100,-4.043,290.918,0,0
0.2120,-4.043,290.918,0,0
0.2140,-4.043,290.918,0,0
0.2159,-4.043,290.918,0,0
0.2179,-4.043,290.918,0,0
0.2200,-4.043,290.918,0,0
0.2219,-4.043,290.918,0,0
0.2241,-4.043,290.918,0,0
0.2260,-4.043,290.918,0,0
0.2280,-4.043,290.918,0,0
0.2299,-4.043,290.918,0,0
0.2319,-4.043,290.918,0,0
0.2339,-4.043,290.918,0,0
0.2369,-4.043,290.918,0,0
0.2380,-4.043,290.918,0,0
0.2400,-4.043,290.918,0,0
0.2419,-4.043,290.918,0,0
0.2439,-4.043,290.918,0,0
0.2460,-4.043,290.918,0,0
0.2480,-4.043,290.918,0,0
0.2500,-4.043,290.918,0,0
0.2520,-4.043,290.918,0,0
0.2540,-4.043,290.918,0,0
0.2559,-4.043,290.918,0,0
0.2580,-4.043,290.918,0,0
0.2600,-4.043,290.918,0,0
0.2620,-4.043,290.918,0,0
0.2640,-4.043,290.918,0,0
0.2661,-4.043,290.918,0,0
0.2680,-4.043,290.918,0,0
0.2840,-4.043,290.918,0,5
0.2860,-4.043,290.918,0,5
0.2884,-4.043,290.918,0,5
0.2900,-4.043,290.918,0,5
0.2920,-4.043,290.918,0,5
0.2941,-4.043,290.918,0,5
0.2961,-4.043,290.918,0,5
0.2981,-4.043,290.918,0,5
0.3001,-4.043,290.918,0,5
0.3020,-4.043,290.918,0,5
0.3040,-4.043,290.918,0,5
0.3060,-4.043,290.918,0,5
0.3080,-4.043,290.918,0,5
0.3101,-4.043,290.918,0,5
0.3121,-4.043,290.918,0,5
0.3141,-4.043,290.918,0,5
0.3160,-4.043,290.918,0,5
0.3180,-4.043,290.918,0,5
0.3200,-4.043,290.918,0,5
0.3220,-4.043,290.918,0,5
0.3241,-4.043,290.918,0,5
0.3261,-4.043,290.918,0,5
0.3281,-4.043,290.918,0,5
0.3301,-4.043,290.918,0,5
0.3321,-4.043,290.918,0,5
0.3341,-4.043,290.918,0,5
0.3371,-4.043,290.918,0,5
0.3380,-4.043,290.918,0,5
0.3400,-4.043,290.918,0,5
0.3420,-4.043,290.918,0,5
0.3440,-4.043,290.918,0,5
0.3460,-4.043,290.918,0,5
0.3480,-4.043,290.918,0,5
0.3500,-4.043,290.918,0,5
0.3521,-4.043,290.918,0,5
0.3541,-4.043,290.918,0,5
0.3561,-4.043,290.918,0,5
0.3581,-4.043,290.918,0,5
0.3601,-4.043,290.918,0,5
0.3620,-4.043,290.918,0,5
0.3640,-4.043,290.918,0,5
0.3660,-4.043,290.918,0,5
0.3680,-4.043,290.918,0,5
0.3700,-4.043,290.918,0,5
0.3720,-4.043,290.918,0,5
0.3741,-4.043,290.918,0,5
0.3760,-4.043,290.918,0,5
0.3781,-4.043,290.918,0,5
0.3800,-4.043,290.918,0,5
0.3820,-4.043,290.918,0,5
0.3841,-4.043,290.918,0,5
0.3860,-4.043,290.918,0,5
0.3880,-4.043,290.918,0,5
0.3900,-4.043,290.918,0,5
0.3920,-4.043,290.918,0,5
0.3941,-4.043,290.918,0,5
0.3960,-4.043,290.918,0,5
0.3980,-4.043,290.918,0,5
0.4000,-4.043,290.918,0,5
0.4021,-4.043,290.918,0,5
0.4040,-4.043,290.918,0,5
0.4060,-4.043,290.918,0,5
0.4080,-4.043,290.918,0,5
0.4101,-4.043,290.918,0,5
0.4121,-4.043,290.918,0,5
0.4140,-4.043,290.918,0,5
0.4160,-4.043,290.918,0,5
0.4181,-4.043,290.918,0,5
0.4201,-4.043,290.918,0,5
0.4221,-4.043,290.918,0,5
0.4241,-4.043,290.918,0,5
0.4260,-4.043,290.918,0,5
0.4280,-4.043,290.918,0,5
0.4300,-4.043,290.918,0,5
0.4321,-4.043,290.918,0,5
0.4340,-4.043,290.918,0,5
0.4368,-4.043,290.918,0,5
0.4380,-4.043,290.918,0,5
0.4400,-4.043,290.918,0,5
0.4421,-4.043,290.918,0,5
0.4441,-4.043,290.918,0,5
0.4460,-4.043,290.918,0,5
0.4480,-4.043,290.918,0,5
0.4500,-4.043,290.918,0,5
0.4520,-4.043,290.918,0,5
0.4541,-4.043,290.918,0,5
