t_s,th_deg,al_deg,pwm,mode
0.0000,0.176,255.410,0,0
0.0007,0.176,255.410,0,0
0.0009,0.176,255.410,0,0
0.0021,0.176,255.410,0,0
0.0041,0.176,255.410,0,0
0.0061,0.176,255.410,0,0
0.0081,0.176,255.410,0,0
0.0101,0.176,255.410,0,0
0.0121,0.176,255.410,0,0
0.0141,0.176,255.410,0,0
0.0161,0.176,255.410,0,0
0.0181,0.176,255.410,0,0
0.0201,0.176,255.410,0,0
0.0220,0.176,255.410,0,0
0.0241,0.176,255.410,0,0
0.0267,0.176,255.410,0,0
0.0281,0.176,255.410,0,0
0.0300,0.176,255.410,0,0
0.0321,0.176,255.234,0,0
0.0341,0.176,255.234,0,0
0.0361,0.176,255.234,0,0
0.0380,0.176,255.234,0,0
0.0400,0.176,255.234,0,0
0.0420,0.176,255.234,0,0
0.0440,0.176,255.234,0,0
0.0461,0.176,255.234,0,0
0.0481,0.176,255.234,0,0
0.0501,0.176,255.234,0,0
0.0520,0.176,255.234,0,0
0.0541,0.176,255.234,0,0
0.0560,0.176,255.234,0,0
0.0580,0.176,255.234,0,0
0.0601,0.176,255.234,0,0
0.0621,0.176,255.234,0,0
0.0641,0.176,255.234,0,0
0.0661,0.176,255.234,0,0
0.0681,0.176,255.234,0,0
0.0701,0.176,255.234,0,0
0.0721,0.176,255.234,0,0
0.0915,0.176,255.410,0,5
0.0936,0.176,255.410,0,5
0.0956,0.176,255.410,0,5
0.0976,0.176,255.410,0,5
0.0996,0.176,255.410,0,5
0.1016,0.176,255.410,0,5
0.1036,0.176,255.410,0,5
0.1055,0.176,255.410,0,5
0.1076,0.176,255.410,0,5
0.1096,0.176,255.410,0,5
0.1116,0.176,255.410,0,5
0.1136,0.176,255.410,0,5
0.1156,0.176,255.410,0,5
0.1176,0.176,255.410,0,5
0.1196,0.176,255.410,0,5
0.1215,0.176,255.410,0,5
0.1235,0.176,255.410,0,5
0.1256,0.176,255.410,0,5
0.1276,0.176,255.410,0,5
0.1296,0.176,255.410,0,5
0.1316,0.176,255.410,0,5
0.1336,0.176,255.410,0,5
0.1356,0.176,255.410,0,5
0.1376,0.176,255.410,0,5
0.1396,0.176,255.410,0,5
0.1416,0.176,255.410,0,5
0.1436,0.176,255.586,0,5
0.1457,0.176,255.586,0,5
0.1476,0.176,255.586,0,5
0.1496,0.176,255.586,0,5
0.1515,0.176,255.586,0,5
0.1536,0.176,255.586,0,5
0.1556,0.176,255.586,0,5
0.1576,0.176,255.586,0,5
0.1596,0.176,255.586,0,5
0.1616,0.176,255.586,0,5
0.1636,0.176,255.586,0,5
0.1656,0.176,255.586,0,5
0.1676,0.176,255.586,0,5
0.1696,0.176,255.586,0,5
0.1716,0.176,255.586,0,5
0.1736,0.176,255.586,0,5
0.1756,0.176,255.586,0,5
0.1776,0.176,255.586,0,5
0.1796,0.176,255.586,0,5
0.1816,0.176,255.586,0,5
0.1836,0.176,255.762,0,5
0.1856,0.176,255.762,0,5
0.1895,0.176,255.762,0,5
0.1897,0.176,255.762,0,5
0.1916,0.176,255.762,0,5
0.1935,0.176,255.762,0,5
0.1956,0.176,255.762,0,5
0.1975,0.176,255.762,0,5
0.1995,0.176,255.762,0,5
0.2016,0.176,255.762,0,5
0.2036,0.176,255.762,0,5
0.2056,0.176,255.938,0,5
0.2076,0.176,255.938,0,5
0.2097,0.176,255.938,0,5
0.2115,0.176,255.938,0,5
0.2135,0.176,255.938,0,5
0.2156,0.176,255.938,0,5
0.2175,0.176,255.938,0,5
0.2195,0.176,255.938,0,5
0.2216,0.176,255.938,0,5
0.2236,0.176,255.938,0,5
0.2256,0.176,255.938,0,5
0.2275,0.176,255.938,0,5
0.2296,0.176,255.938,0,5
0.2316,0.176,255.938,0,5
0.2363,0.176,255.938,0,5
0.2371,0.176,255.938,0,5
0.2376,0.176,255.938,0,5
0.2395,0.176,255.938,0,5
0.2417,0.176,255.938,0,5
0.2436,0.176,255.938,0,5
0.2455,0.176,255.938,0,5
0.2476,0.176,255.938,0,5
0.2496,0.176,255.938,0,5
0.2516,0.176,255.938,0,5
0.2535,0.176,255.938,0,5
0.2556,0.176,255.938,0,5
0.2576,0.176,256.113,0,5
0.2596,0.176,256.113,0,5
0.2616,0.176,256.113,0,5
0.2636,0.176,256.113,0,5
0.2655,0.176,256.113,0,5
0.2676,0.176,256.113,0,5
0.2696,0.176,256.113,0,5
0.2715,0.176,256.113,0,5
0.2736,0.176,256.113,0,5
0.2757,0.176,256.113,0,5
0.2776,0.176,256.113,0,5
0.2796,0.176,256.113,0,5
0.2816,0.176,256.113,0,5
0.2836,0.176,256.113,0,5
0.2858,0.176,256.113,0,5
0.2899,0.176,256.113,0,5
0.2904,0.176,256.113,0,5
0.2915,0.176,256.113,0,5
0.2935,0.176,256.113,0,5
0.2956,0.176,256.113,0,5
0.2976,0.176,256.113,0,5
0.2996,0.176,256.113,0,5
0.3016,0.176,256.113,0,5
0.3035,0.176,256.113,0,5
0.3056,0.176,256.113,0,5
0.3076,0.176,256.113,0,5
0.3096,0.176,256.113,0,5
0.3116,0.176,256.113,0,5
0.3136,0.176,256.113,0,5
0.3155,0.176,256.113,0,5
0.3176,0.176,256.113,0,5
0.3196,0.176,256.113,0,5
0.3216,0.176,256.113,0,5
0.3236,0.176,256.113,0,5
0.3256,0.176,256.113,0,5
0.3276,0.176,256.113,0,5
0.3295,0.176,256.113,0,5
0.3316,0.176,256.113,0,5
0.3336,0.176,256.113,0,5
0.3356,0.176,256.113,0,5
0.3375,0.176,256.113,0,5
0.3397,0.176,256.113,0,5
0.3416,0.176,256.113,0,5
0.3437,0.176,256.113,0,5
0.3456,0.176,256.113,0,5
0.3475,0.176,256.113,0,5
0.3496,0.176,256.113,0,5
0.3515,0.176,256.113,0,5
0.3536,0.176,256.113,0,5
0.3556,0.176,256.113,0,5
