t_s,th_deg,al_deg,pwm,mode
0.0000,-0.527,-62.227,0,0
0.0008,-0.527,-62.227,0,0
0.0009,-0.527,-62.227,0,0
0.0026,-0.527,-62.227,0,0
0.0045,-0.527,-62.227,0,0
0.0065,-0.527,-62.227,0,0
0.0103,-0.527,-62.227,0,0
0.0106,-0.527,-62.227,0,0
0.0126,-0.527,-62.227,0,0
0.0146,-0.352,-62.227,0,0
0.0165,-0.352,-62.227,0,0
0.0185,-0.352,-62.227,0,0
0.0206,-0.352,-62.227,0,0
0.0226,-0.352,-62.227,0,0
0.0245,-0.352,-62.227,0,0
0.0265,-0.352,-62.227,0,0
0.0285,-0.352,-62.227,0,0
0.0306,-0.352,-62.227,0,0
0.0326,-0.352,-62.227,0,0
0.0345,-0.352,-62.227,0,0
0.0365,-0.352,-62.227,0,0
0.0386,-0.352,-62.227,0,0
0.0405,-0.352,-62.227,0,0
0.0425,-0.352,-62.227,0,0
0.0445,-0.352,-62.227,0,0
0.0465,-0.352,-62.227,0,0
0.0485,-0.352,-62.227,0,0
0.0505,-0.352,-62.227,0,0
0.0526,-0.352,-62.227,0,0
0.0546,-0.352,-62.227,0,0
0.0566,-0.352,-62.227,0,0
0.0586,-0.352,-62.227,0,0
0.0606,-0.352,-62.227,0,0
0.0626,-0.352,-62.227,0,0
0.0646,-0.352,-62.227,0,0
0.0665,-0.352,-62.227,0,0
0.0685,-0.352,-62.227,0,0
0.0705,-0.352,-62.227,0,0
0.0725,-0.352,-62.227,0,0
0.0745,-0.352,-62.227,0,0
0.0765,-0.352,-62.227,0,0
0.0785,-0.352,-62.227,0,0
0.0806,-0.352,-62.227,0,0
0.0826,-0.352,-62.227,0,0
0.0846,-0.352,-62.227,0,0
0.1016,-0.352,-62.227,0,5
0.1037,-0.352,-62.227,0,5
0.1057,-0.352,-62.227,0,5
0.1096,-0.352,-62.227,0,5
0.1099,-0.352,-62.227,0,5
0.1117,-0.352,-62.227,0,5
0.1137,-0.352,-62.227,0,5
0.1157,-0.352,-62.227,0,5
0.1177,-0.352,-62.227,0,5
0.1196,-0.352,-62.227,0,5
0.1217,-0.352,-62.227,0,5
0.1237,-0.352,-62.227,0,5
0.1257,-0.352,-62.227,0,5
0.1277,-0.352,-62.227,0,5
0.1296,-0.352,-62.227,0,5
0.1317,-0.352,-62.227,0,5
0.1337,-0.352,-62.227,0,5
0.1357,-0.352,-62.227,0,5
0.1377,-0.352,-62.227,0,5
0.1397,-0.352,-62.227,0,5
0.1417,-0.352,-62.227,0,5
0.1437,-0.352,-62.227,0,5
0.1457,-0.352,-62.227,0,5
0.1476,-0.352,-62.227,0,5
0.1497,-0.352,-62.227,0,5
0.1517,-0.352,-62.227,0,5
0.1537,-0.352,-62.227,0,5
0.1557,-0.352,-62.227,0,5
0.1576,-0.352,-62.227,0,5
0.1596,-0.352,-62.227,0,5
0.1617,-0.352,-62.227,0,5
0.1637,-0.352,-62.227,0,5
0.1657,-0.352,-62.227,0,5
0.1677,-0.352,-62.227,0,5
0.1696,-0.352,-62.227,0,5
0.1716,-0.352,-62.227,0,5
0.1737,-0.352,-62.227,0,5
0.1756,-0.352,-62.227,0,5
0.1776,-0.352,-62.227,0,5
0.1797,-0.352,-62.227,0,5
0.1817,-0.352,-62.227,0,5
0.1837,-0.352,-62.227,0,5
0.1857,-0.352,-62.227,0,5
0.1876,-0.352,-62.227,0,5
0.1896,-0.352,-62.227,0,5
0.1917,-0.352,-62.227,0,5
0.1937,-0.352,-62.227,0,5
0.1957,-0.352,-62.227,0,5
0.1977,-0.352,-62.402,0,5
0.1996,-0.352,-62.402,0,5
0.2017,-0.352,-62.402,0,5
0.2037,-0.352,-62.402,0,5
0.2057,-0.352,-62.402,0,5
0.2091,-0.352,-62.402,0,5
0.2096,-0.352,-62.402,0,5
0.2117,-0.352,-62.402,0,5
0.2137,-0.352,-62.402,0,5
0.2157,-0.352,-62.402,0,5
0.2177,-0.352,-62.402,0,5
0.2196,-0.352,-62.402,0,5
0.2216,-0.352,-62.402,0,5
0.2237,-0.352,-62.402,0,5
0.2257,-0.352,-62.402,0,5
0.2277,-0.352,-62.402,0,5
0.2297,-0.352,-62.402,0,5
0.2317,-0.352,-62.402,0,5
0.2342,-0.352,-62.402,0,5
0.2357,-0.352,-62.402,0,5
0.2377,-0.352,-62.402,0,5
