t_s,th_deg,al_deg,pwm,mode
0.0000,-3.955,231.504,0,0
0.0004,-3.955,231.504,0,0
0.0006,-3.955,231.504,0,0
0.0016,-3.955,231.504,0,0
0.0038,-3.955,231.504,0,0
0.0054,-3.955,231.504,0,0
0.0076,-3.955,231.504,0,0
0.0095,-3.955,231.504,0,0
0.0115,-3.955,231.504,0,0
0.0136,-3.955,231.504,0,0
0.0157,-3.955,231.504,0,0
0.0174,-3.955,231.504,0,0
0.0195,-3.955,231.504,0,0
0.0215,-3.955,231.504,0,0
0.0235,-3.955,231.504,0,0
0.0255,-3.955,231.504,0,0
0.0274,-3.955,231.504,0,0
0.0294,-3.955,231.504,0,0
0.0314,-3.955,231.504,0,0
0.0334,-3.955,231.504,0,0
0.0356,-3.955,231.680,0,0
0.0375,-3.955,231.680,0,0
0.0395,-3.955,231.680,0,0
0.0415,-3.955,231.680,0,0
0.0435,-3.955,231.680,0,0
0.0454,-3.955,231.680,0,0
0.0474,-3.955,231.680,0,0
0.0494,-3.955,231.680,0,0
0.0514,-3.955,231.680,0,0
0.0534,-3.955,231.680,0,0
0.0555,-3.955,231.680,0,0
0.0575,-3.955,231.680,0,0
0.0618,-3.955,231.680,0,0
0.0621,-3.955,231.680,0,0
0.0635,-3.955,231.680,0,0
0.0655,-3.955,231.680,0,0
0.0675,-3.955,231.680,0,0
0.0695,-3.955,231.680,0,0
0.0715,-3.955,231.680,0,0
0.0734,-3.955,231.680,0,0
0.0756,-3.955,231.680,0,0
0.0916,-3.955,231.680,0,5
0.0937,-3.955,231.680,0,5
0.0957,-3.955,231.680,0,5
0.0977,-3.955,231.855,0,5
0.0996,-3.955,231.855,0,5
0.1017,-3.955,231.855,0,5
0.1036,-3.955,231.855,0,5
0.1056,-3.955,231.855,0,5
0.1076,-3.955,231.855,0,5
0.1097,-3.955,231.855,0,5
0.1116,-3.955,231.855,0,5
0.1136,-3.955,231.855,0,5
0.1157,-3.955,231.855,0,5
0.1177,-3.955,231.855,0,5
0.1197,-3.955,231.855,0,5
0.1216,-3.955,231.855,0,5
0.1237,-3.955,231.855,0,5
0.1258,-3.955,231.855,0,5
