t_s,th_deg,al_deg,pwm,mode
0.0000,-2.549,71.895,0,0
0.0008,-2.549,71.895,0,0
0.0009,-2.549,71.895,0,0
0.0031,-2.549,71.895,0,0
0.0072,-2.549,71.895,0,0
0.0074,-2.549,71.895,0,0
0.0089,-2.549,71.895,0,0
0.0109,-2.549,71.895,0,0
0.0129,-2.549,71.895,0,0
0.0149,-2.549,71.895,0,0
0.0169,-2.549,71.895,0,0
0.0189,-2.549,71.895,0,0
0.0208,-2.549,71.895,0,0
0.0228,-2.549,71.895,0,0
0.0249,-2.549,71.895,0,0
0.0269,-2.549,71.895,0,0
0.0288,-2.549,71.895,0,0
0.0308,-2.549,71.895,0,0
0.0328,-2.549,71.895,0,0
0.0348,-2.549,71.895,0,0
0.0368,-2.549,71.895,0,0
0.0389,-2.549,71.895,0,0
0.0409,-2.549,71.895,0,0
0.0429,-2.549,71.895,0,0
0.0449,-2.549,71.895,0,0
0.0469,-2.549,71.895,0,0
0.0489,-2.549,71.895,0,0
0.0508,-2.549,71.895,0,0
0.0528,-2.549,71.895,0,0
0.0548,-2.549,71.895,0,0
0.0569,-2.549,71.895,0,0
0.0589,-2.549,71.895,0,0
0.0609,-2.549,71.895,0,0
0.0629,-2.549,71.895,0,0
0.0649,-2.549,71.895,0,0
0.0669,-2.549,71.895,0,0
0.0688,-2.549,71.895,0,0
0.0708,-2.549,71.895,0,0
0.0728,-2.549,71.895,0,0
0.0748,-2.549,71.895,0,0
0.0768,-2.549,71.895,0,0
0.0788,-2.549,71.895,0,0
0.0808,-2.549,71.895,0,0
0.0828,-2.549,71.895,0,0
0.0849,-2.549,71.895,0,0
0.0869,-2.549,71.895,0,0
0.0888,-2.549,71.719,0,0
0.0908,-2.549,71.719,0,0
0.0929,-2.549,71.719,0,0
0.0949,-2.549,71.719,0,0
0.0968,-2.549,71.719,0,0
0.0988,-2.549,71.719,0,0
0.1194,-2.549,71.719,0,5
0.1215,-2.549,71.719,0,5
0.1234,-2.549,71.719,0,5
0.1255,-2.549,71.719,0,5
0.1275,-2.549,71.719,0,5
0.1295,-2.549,71.719,0,5
0.1315,-2.549,71.719,0,5
0.1335,-2.549,71.719,0,5
0.1355,-2.549,71.719,0,5
0.1378,-2.549,71.719,0,5
0.1395,-2.549,71.719,0,5
0.1415,-2.549,71.719,0,5
0.1435,-2.549,71.719,0,5
0.1455,-2.549,71.719,0,5
0.1475,-2.549,71.719,0,5
0.1495,-2.549,71.719,0,5
0.1515,-2.549,71.719,0,5
0.1535,-2.549,71.719,0,5
0.1555,-2.549,71.543,0,5
0.1575,-2.549,71.543,0,5
0.1595,-2.549,71.543,0,5
0.1616,-2.549,71.543,0,5
0.1635,-2.549,71.543,0,5
0.1655,-2.549,71.543,0,5
0.1676,-2.549,71.543,0,5
