t_s,th_deg,al_deg,pwm,mode
0.0000,-11.602,313.770,0,0
0.0004,-11.602,313.770,0,0
0.0006,-11.602,313.770,0,0
0.0007,-11.602,313.770,0,0
0.0017,-11.602,313.770,0,0
0.0038,-11.602,313.770,0,0
0.0058,-11.602,313.945,0,0
0.0078,-11.777,313.945,0,0
0.0098,-11.777,314.121,0,0
0.0118,-11.777,314.121,0,0
0.0138,-11.777,314.297,0,0
0.0158,-11.953,314.297,0,0
0.0178,-11.953,314.473,0,0
0.0198,-12.129,314.473,0,0
0.0218,-12.129,314.648,0,0
0.0238,-12.129,314.648,0,0
0.0258,-12.305,314.824,0,0
0.0278,-12.305,315.000,0,0
0.0298,-12.305,315.176,0,0
0.0318,-12.480,315.176,0,0
0.0338,-12.480,315.352,0,0
0.0358,-12.480,315.352,0,0
0.0377,-12.480,315.703,0,0
0.0397,-12.656,315.703,0,0
0.0417,-12.656,315.879,0,0
0.0437,-12.832,316.055,0,0
0.0457,-12.832,316.055,0,0
0.0477,-13.008,316.230,0,0
0.0497,-13.008,316.406,0,0
0.0518,-13.008,316.582,0,0
0.0538,-13.184,316.758,0,0
0.0558,-13.184,316.758,0,0
0.0578,-13.184,317.109,0,0
0.0598,-13.359,317.109,0,0
0.0619,-13.359,317.285,0,0
0.0638,-13.535,317.461,0,0
0.0657,-13.535,317.461,0,0
0.0677,-13.535,317.812,0,0
0.0697,-13.711,317.812,0,0
0.0718,-13.711,317.988,0,0
0.0738,-13.711,318.164,0,0
0.0758,-13.887,318.340,0,0
0.0778,-13.887,318.516,0,0
0.0798,-13.887,318.691,0,0
0.0818,-14.062,318.867,0,0
0.0838,-14.062,318.867,0,0
0.0858,-14.238,319.043,0,0
0.0877,-14.238,319.219,0,0
0.0897,-14.238,319.395,0,0
0.0917,-14.414,319.570,0,0
0.0937,-14.414,319.570,0,0
0.0957,-14.414,319.922,0,0
0.0984,-14.414,319.922,0,0
0.0998,-14.590,320.098,0,0
0.1018,-14.590,320.273,0,0
0.1037,-14.590,320.273,0,0
0.1057,-14.590,320.449,0,0
0.1077,-14.590,320.625,0,0
0.1097,-14.766,320.801,0,0
0.1118,-14.766,320.801,0,0
0.1137,-14.766,320.977,0,0
0.1157,-14.766,320.977,0,0
0.1178,-14.766,321.152,0,0
0.1198,-14.941,321.328,0,0
0.1218,-14.941,321.504,0,0
0.1238,-14.941,321.504,0,0
0.1258,-14.941,321.680,0,0
0.1278,-14.941,321.680,0,0
0.1298,-14.941,321.855,0,0
0.1318,-14.941,321.855,0,0
0.1338,-14.941,322.031,0,0
0.1358,-14.941,322.031,0,0
0.1377,-14.941,322.207,0,0
0.1397,-14.941,322.207,0,0
0.1417,-14.941,322.207,0,0
0.1437,-14.941,322.383,0,0
0.1457,-14.941,322.383,0,0
0.1478,-14.941,322.383,0,0
0.1499,-14.941,322.734,0,0
0.1638,-14.941,322.734,0,0
0.1658,-14.766,322.910,0,0
0.1679,-14.766,322.910,0,0
0.1698,-14.766,322.910,0,0
0.1718,-14.766,322.910,0,0
0.1739,-14.766,322.910,0,0
0.1759,-14.590,322.910,0,0
0.1786,-14.590,322.910,0,0
0.1798,-14.590,322.910,0,0
0.1818,-14.590,322.910,0,0
0.1838,-14.590,322.910,0,0
0.1858,-14.414,322.910,0,0
0.1878,-14.414,322.910,0,0
0.1898,-14.414,322.910,0,0
0.1919,-14.238,322.910,0,0
0.1939,-14.238,322.734,0,0
0.1986,-14.062,322.734,0,0
0.1990,-14.062,322.734,0,0
0.1999,-14.062,322.734,0,0
0.2019,-14.062,322.734,0,0
0.2039,-13.887,322.734,0,0
0.2059,-13.887,322.559,0,0
0.2079,-13.887,322.559,0,0
0.2098,-13.711,322.383,0,0
0.2118,-13.711,322.383,0,0
0.2138,-13.711,322.383,0,0
0.2158,-13.535,322.383,0,0
0.2178,-13.535,322.207,0,0
0.2198,-13.359,322.207,0,0
0.2218,-13.359,322.207,0,0
0.2238,-13.184,322.031,0,0
0.2258,-13.184,322.031,0,0
0.2278,-13.184,322.031,0,0
0.2298,-13.008,321.855,0,0
0.2319,-13.008,321.680,0,0
0.2338,-12.832,321.680,0,0
0.2358,-12.832,321.504,0,0
0.2378,-12.656,321.504,0,0
0.2398,-12.656,321.504,0,0
0.2418,-12.480,321.328,0,0
0.2438,-12.480,321.328,0,0
0.2458,-12.305,321.152,0,0
0.2478,-12.305,320.977,0,0
0.2498,-12.129,320.977,0,0
0.2518,-12.129,320.801,0,0
0.2538,-11.953,320.801,0,0
0.2558,-11.953,320.625,0,0
0.2578,-11.777,320.625,0,0
0.2598,-11.777,320.449,0,0
0.2618,-11.602,320.449,0,0
0.2638,-11.602,320.273,0,0
0.2658,-11.426,320.273,0,0
0.2678,-11.426,320.098,0,0
0.2698,-11.250,320.098,0,0
0.2718,-11.250,319.922,0,0
0.2738,-11.074,319.922,0,0
0.2758,-11.074,319.746,0,0
0.2778,-10.898,319.570,0,0
0.2798,-10.898,319.570,0,0
0.2818,-10.723,319.395,0,0
0.2838,-10.723,319.395,0,0
0.2858,-10.547,319.219,0,0
0.2878,-10.547,319.219,0,0
0.2898,-10.371,319.043,0,0
0.2918,-10.371,318.867,0,0
0.2938,-10.195,318.867,0,0
0.2958,-10.195,318.867,0,0
0.2983,-10.020,318.691,0,0
0.2998,-10.020,318.691,0,0
0.3019,-9.844,318.516,0,0
0.3039,-9.844,318.516,0,0
0.3059,-9.668,318.340,0,0
0.3079,-9.668,318.164,0,0
0.3099,-9.668,318.164,0,0
0.3119,-9.492,318.164,0,0
0.3139,-9.492,317.988,0,0
0.3159,-9.316,317.988,0,0
0.3179,-9.316,317.812,0,0
0.3199,-9.316,317.812,0,0
0.3219,-9.141,317.812,0,0
0.3239,-8.965,317.637,0,0
0.3259,-8.965,317.637,0,0
0.3278,-8.965,317.461,0,0
0.3298,-8.965,317.461,0,0
0.3319,-8.789,317.461,0,0
0.3339,-8.789,317.285,0,0
0.3359,-8.789,317.285,0,0
0.3379,-8.613,317.285,0,0
0.3398,-8.613,317.285,0,0
0.3418,-8.613,317.285,0,0
0.3438,-8.438,317.109,0,0
0.3459,-8.438,317.109,0,0
0.3479,-8.262,317.109,0,0
0.3499,-8.262,317.109,0,0
0.3518,-8.262,317.109,0,0
0.3671,-7.910,316.934,0,0
0.3692,-7.910,316.934,0,0
0.3716,-7.910,316.934,0,0
