t_s,th_deg,al_deg,pwm,mode
0.0000,-2.637,-206.895,0,0
0.0006,-2.637,-206.895,0,0
0.0017,-2.637,-206.895,0,0
0.0037,-2.637,-206.895,0,0
0.0057,-2.637,-206.895,0,0
0.0078,-2.637,-206.895,0,0
0.0100,-2.637,-207.070,0,0
0.0142,-2.637,-207.070,0,0
0.0146,-2.637,-207.070,0,0
0.0158,-2.637,-207.070,0,0
0.0177,-2.637,-207.070,0,0
0.0197,-2.637,-207.070,0,0
0.0218,-2.637,-207.070,0,0
0.0238,-2.637,-207.070,0,0
0.0257,-2.637,-207.070,0,0
0.0278,-2.637,-207.070,0,0
0.0297,-2.637,-207.070,0,0
0.0318,-2.637,-207.070,0,0
0.0337,-2.637,-207.070,0,0
0.0357,-2.637,-207.070,0,0
0.0378,-2.637,-207.070,0,0
0.0398,-2.637,-207.070,0,0
0.0417,-2.637,-207.070,0,0
0.0437,-2.637,-207.070,0,0
0.0457,-2.637,-207.070,0,0
0.0594,-2.637,-207.070,0,0
0.0614,-2.637,-207.246,0,0
0.0634,-2.637,-207.246,0,0
0.0656,-2.637,-207.246,0,0
0.0676,-2.637,-207.246,0,0
0.0696,-2.637,-207.246,0,0
0.0716,-2.637,-207.246,0,0
0.0736,-2.637,-207.246,0,0
0.0755,-2.637,-207.246,0,0
0.0775,-2.637,-207.246,0,0
0.0795,-2.637,-207.246,0,0
0.0815,-2.637,-207.246,0,0
0.0835,-2.637,-207.246,0,0
0.0856,-2.637,-207.246,0,0
0.0875,-2.637,-207.246,0,0
0.0896,-2.637,-207.246,0,0
0.0915,-2.637,-207.246,0,0
0.0935,-2.637,-207.246,0,0
0.0955,-2.637,-207.246,0,0
0.0975,-2.637,-207.422,0,0
0.0995,-2.637,-207.422,0,0
0.1015,-2.637,-207.422,0,0
0.1035,-2.637,-207.422,0,0
0.1055,-2.637,-207.422,0,0
0.1075,-2.637,-207.422,0,0
0.1095,-2.637,-207.422,0,0
0.1142,-2.637,-207.422,0,0
0.1145,-2.637,-207.422,0,0
0.1155,-2.637,-207.422,0,0
0.1175,-2.637,-207.422,0,0
0.1195,-2.637,-207.422,0,0
0.1215,-2.637,-207.422,0,0
0.1235,-2.637,-207.598,0,0
0.1255,-2.637,-207.598,0,0
0.1275,-2.637,-207.598,0,0
0.1295,-2.637,-207.598,0,0
0.1315,-2.637,-207.598,0,0
0.1335,-2.637,-207.598,0,0
0.1355,-2.637,-207.598,0,0
0.1375,-2.637,-207.598,0,0
0.1394,-2.637,-207.598,0,0
0.1416,-2.637,-207.598,0,0
0.1436,-2.637,-207.598,0,0
0.1455,-2.637,-207.598,0,0
0.1475,-2.637,-207.598,0,0
0.1495,-2.637,-207.598,0,0
0.1515,-2.637,-207.598,0,0
0.1535,-2.637,-207.598,0,0
0.1555,-2.637,-207.598,0,0
0.1575,-2.637,-207.598,0,0
0.1595,-2.637,-207.598,0,0
0.1615,-2.637,-207.773,0,0
0.1635,-2.637,-207.773,0,0
0.1655,-2.637,-207.773,0,0
0.1676,-2.637,-207.773,0,0
0.1696,-2.637,-207.773,0,0
0.1716,-2.637,-207.773,0,0
0.1736,-2.637,-207.773,0,0
0.1755,-2.637,-207.773,0,0
0.1775,-2.637,-207.773,0,0
0.1795,-2.637,-207.773,0,0
0.1815,-2.637,-207.773,0,0
0.1835,-2.637,-207.773,0,0
0.1855,-2.637,-207.773,0,0
0.1875,-2.637,-207.773,0,0
0.1895,-2.637,-207.773,0,0
0.1915,-2.637,-207.773,0,0
0.1935,-2.637,-207.773,0,0
0.1955,-2.637,-207.773,0,0
0.1975,-2.637,-207.773,0,0
0.1995,-2.637,-207.773,0,0
0.2015,-2.637,-207.773,0,0
0.2035,-2.637,-207.773,0,0
0.2055,-2.637,-207.773,0,0
0.2075,-2.637,-207.773,0,0
0.2095,-2.637,-207.773,0,0
0.2135,-2.637,-207.773,0,0
0.2137,-2.637,-207.773,0,0
0.2155,-2.637,-207.773,0,0
0.2175,-2.637,-207.773,0,0
0.2195,-2.637,-207.773,0,0
0.2215,-2.637,-207.773,0,0
0.2235,-2.637,-207.773,0,0
0.2255,-2.637,-207.773,0,0
0.2275,-2.637,-207.773,0,0
0.2295,-2.637,-207.773,0,0
0.2316,-2.637,-207.773,0,0
0.2335,-2.637,-207.773,0,0
0.2355,-2.637,-207.773,0,0
0.2376,-2.637,-207.773,0,0
0.2396,-2.637,-207.773,0,0
0.2415,-2.637,-207.773,0,0
0.2435,-2.637,-207.773,0,0
0.2456,-2.637,-207.773,0,0
0.2475,-2.637,-207.773,0,0
0.2494,-2.637,-207.773,0,0
0.2516,-2.637,-207.773,0,0
0.2535,-2.637,-207.773,0,0
0.2555,-2.637,-207.773,0,0
0.2575,-2.637,-207.773,0,0
0.2596,-2.637,-207.773,0,0
0.2617,-2.637,-207.773,0,0
0.2758,-2.637,-207.773,0,0
0.2779,-2.637,-207.773,0,0
0.2798,-2.637,-207.773,0,0
0.2819,-2.637,-207.773,0,0
0.2839,-2.637,-207.773,0,0
0.2859,-2.637,-207.773,0,0
0.2879,-2.637,-207.773,0,0
0.2899,-2.637,-207.773,0,0
0.2919,-2.637,-207.773,0,0
0.2939,-2.637,-207.773,0,0
0.2959,-2.637,-207.773,0,0
0.2979,-2.637,-207.773,0,0
0.2999,-2.637,-207.773,0,0
0.3019,-2.637,-207.773,0,0
0.3039,-2.637,-207.773,0,0
0.3059,-2.637,-207.773,0,0
0.3079,-2.637,-207.773,0,0
0.3099,-2.637,-207.773,0,0
0.3139,-2.637,-207.773,0,0
0.3141,-2.637,-207.773,0,0
0.3159,-2.637,-207.773,0,0
0.3179,-2.637,-207.773,0,0
0.3199,-2.637,-207.773,0,0
0.3219,-2.637,-207.773,0,0
0.3239,-2.637,-207.773,0,0
0.3258,-2.637,-207.773,0,0
0.3278,-2.637,-207.773,0,0
0.3298,-2.637,-207.773,0,0
0.3319,-2.637,-207.773,0,0
0.3339,-2.637,-207.773,0,0
0.3358,-2.637,-207.773,0,0
0.3378,-2.637,-207.598,0,0
0.3399,-2.637,-207.598,0,0
0.3419,-2.637,-207.598,0,0
0.3439,-2.637,-207.598,0,0
0.3459,-2.637,-207.598,0,0
0.3479,-2.637,-207.598,0,0
0.3499,-2.637,-207.598,0,0
0.3519,-2.637,-207.598,0,0
0.3539,-2.637,-207.598,0,0
0.3558,-2.637,-207.598,0,0
0.3578,-2.637,-207.598,0,0
0.3598,-2.637,-207.598,0,0
0.3618,-2.637,-207.598,0,0
0.3639,-2.637,-207.598,0,0
0.3659,-2.637,-207.598,0,0
0.3679,-2.637,-207.598,0,0
0.3699,-2.637,-207.598,0,0
0.3719,-2.637,-207.598,0,0
0.3739,-2.637,-207.598,0,0
0.3759,-2.637,-207.598,0,0
0.3779,-2.637,-207.598,0,0
0.3799,-2.637,-207.598,0,0
0.3820,-2.637,-207.422,0,0
0.3839,-2.637,-207.422,0,0
0.3859,-2.637,-207.422,0,0
0.3879,-2.637,-207.422,0,0
0.3898,-2.637,-207.422,0,0
0.3919,-2.637,-207.422,0,0
0.3939,-2.637,-207.422,0,0
0.3959,-2.637,-207.422,0,0
0.3978,-2.637,-207.422,0,0
0.3998,-2.637,-207.422,0,0
0.4018,-2.637,-207.422,0,0
0.4039,-2.637,-207.422,0,0
0.4059,-2.637,-207.422,0,0
0.4079,-2.637,-207.246,0,0
0.4099,-2.637,-207.246,0,0
0.4137,-2.637,-207.246,0,0
0.4139,-2.637,-207.246,0,0
0.4159,-2.637,-207.246,0,0
0.4179,-2.637,-207.246,0,0
0.4199,-2.637,-207.246,0,0
0.4219,-2.637,-207.246,0,0
0.4239,-2.637,-207.246,0,0
0.4258,-2.637,-207.246,0,0
0.4278,-2.637,-207.246,0,0
0.4298,-2.637,-207.246,0,0
0.4319,-2.637,-207.246,0,0
0.4339,-2.637,-207.246,0,0
0.4358,-2.637,-207.246,0,0
0.4378,-2.637,-207.246,0,0
0.4398,-2.637,-207.246,0,0
0.4418,-2.637,-207.246,0,0
0.4439,-2.637,-207.246,0,0
0.4459,-2.637,-207.246,0,0
0.4479,-2.637,-207.246,0,0
0.4499,-2.637,-207.246,0,0
0.4519,-2.637,-207.070,0,0
0.4538,-2.637,-207.070,0,0
0.4558,-2.637,-207.070,0,0
0.4578,-2.637,-207.070,0,0
0.4598,-2.637,-207.070,0,0
0.4619,-2.637,-207.070,0,0
0.4639,-2.637,-207.070,0,0
0.4659,-2.637,-207.070,0,0
0.4679,-2.637,-207.070,0,0
0.4699,-2.637,-207.070,0,0
0.4719,-2.637,-207.070,0,0
0.4739,-2.637,-207.070,0,0
0.4759,-2.637,-207.070,0,0
0.4779,-2.637,-207.070,0,0
0.4799,-2.637,-207.070,0,0
0.4819,-2.637,-207.070,0,0
0.4839,-2.637,-207.070,0,0
0.4859,-2.637,-207.070,0,0
0.4879,-2.637,-207.070,0,0
0.4899,-2.637,-207.070,0,0
0.4919,-2.637,-207.070,0,0
0.4939,-2.637,-207.070,0,0
0.4959,-2.637,-207.070,0,0
0.4979,-2.637,-207.070,0,0
0.4999,-2.637,-207.070,0,0
0.5019,-2.637,-207.070,0,0
0.5039,-2.637,-207.070,0,0
0.5059,-2.637,-207.070,0,0
0.5079,-2.637,-207.070,0,0
0.5099,-2.637,-207.070,0,0
0.5135,-2.637,-207.070,0,0
0.5139,-2.637,-207.070,0,0
0.5158,-2.637,-207.070,0,0
0.5178,-2.637,-207.070,0,0
0.5198,-2.637,-207.070,0,0
0.5218,-2.637,-207.070,0,0
0.5239,-2.637,-207.070,0,0
0.5259,-2.637,-207.070,0,0
0.5279,-2.637,-207.070,0,0
0.5299,-2.637,-207.070,0,0
0.5318,-2.637,-207.070,0,0
0.5338,-2.637,-207.070,0,0
0.5358,-2.637,-207.070,0,0
0.5378,-2.637,-207.070,0,0
0.5399,-2.637,-207.070,0,0
0.5418,-2.637,-207.070,0,0
0.5438,-2.637,-207.070,0,0
0.5458,-2.637,-207.070,0,0
0.5480,-2.637,-207.070,0,0
0.5499,-2.637,-207.070,0,0
0.5519,-2.637,-207.070,0,0
0.5539,-2.637,-207.070,0,0
0.5560,-2.637,-207.070,0,0
0.5579,-2.637,-207.070,0,0
0.5598,-2.637,-207.070,0,0
0.5755,-2.637,-207.070,0,0
0.5775,-2.637,-207.070,0,0
0.5796,-2.637,-207.070,0,0
0.5816,-2.637,-207.070,0,0
0.5835,-2.637,-207.070,0,0
0.5855,-2.637,-207.070,0,0
0.5876,-2.637,-207.070,0,0
0.5895,-2.637,-207.070,0,0
0.5915,-2.637,-207.070,0,0
0.5935,-2.637,-207.070,0,0
0.5955,-2.637,-207.070,0,0
0.5976,-2.637,-207.070,0,0
0.5996,-2.637,-207.070,0,0
0.6015,-2.637,-207.070,0,0
0.6035,-2.637,-207.070,0,0
0.6055,-2.637,-207.070,0,0
0.6075,-2.637,-207.070,0,0
0.6095,-2.637,-207.070,0,0
0.6139,-2.637,-207.070,0,0
0.6141,-2.637,-207.070,0,0
0.6155,-2.637,-207.070,0,0
0.6175,-2.637,-207.070,0,0
0.6195,-2.637,-207.070,0,0
0.6215,-2.637,-207.070,0,0
0.6235,-2.637,-207.070,0,0
0.6255,-2.637,-207.070,0,0
0.6275,-2.637,-207.246,0,0
0.6295,-2.637,-207.246,0,0
0.6315,-2.637,-207.246,0,0
0.6335,-2.637,-207.246,0,0
0.6355,-2.637,-207.246,0,0
0.6375,-2.637,-207.246,0,0
0.6395,-2.637,-207.246,0,0
0.6415,-2.637,-207.246,0,0
0.6435,-2.637,-207.246,0,0
0.6455,-2.637,-207.246,0,0
0.6475,-2.637,-207.246,0,0
0.6495,-2.637,-207.246,0,0
0.6515,-2.637,-207.246,0,0
0.6535,-2.637,-207.246,0,0
0.6555,-2.637,-207.246,0,0
0.6575,-2.637,-207.246,0,0
0.6595,-2.637,-207.246,0,0
0.6616,-2.637,-207.246,0,0
0.6636,-2.637,-207.246,0,0
0.6656,-2.637,-207.246,0,0
0.6676,-2.637,-207.246,0,0
0.6696,-2.637,-207.246,0,0
0.6715,-2.637,-207.246,0,0
0.6735,-2.637,-207.422,0,0
0.6755,-2.637,-207.422,0,0
0.6775,-2.637,-207.422,0,0
0.6795,-2.637,-207.422,0,0
0.6815,-2.637,-207.422,0,0
0.6835,-2.637,-207.422,0,0
0.6855,-2.637,-207.422,0,0
0.6875,-2.637,-207.422,0,0
0.6895,-2.637,-207.422,0,0
0.6915,-2.637,-207.422,0,0
0.6935,-2.637,-207.422,0,0
0.6955,-2.637,-207.422,0,0
0.6975,-2.637,-207.598,0,0
0.6995,-2.637,-207.598,0,0
0.7015,-2.637,-207.598,0,0
0.7035,-2.637,-207.598,0,0
0.7055,-2.637,-207.598,0,0
0.7075,-2.637,-207.598,0,0
0.7095,-2.637,-207.598,0,0
0.7135,-2.637,-207.598,0,0
0.7137,-2.637,-207.598,0,0
0.7155,-2.637,-207.598,0,0
0.7175,-2.637,-207.598,0,0
0.7195,-2.637,-207.598,0,0
0.7215,-2.637,-207.598,0,0
0.7235,-2.637,-207.598,0,0
0.7255,-2.637,-207.598,0,0
0.7275,-2.637,-207.598,0,0
0.7295,-2.637,-207.598,0,0
0.7316,-2.637,-207.598,0,0
0.7335,-2.637,-207.598,0,0
0.7355,-2.637,-207.598,0,0
0.7375,-2.637,-207.598,0,0
0.7395,-2.637,-207.598,0,0
0.7415,-2.637,-207.598,0,0
0.7435,-2.637,-207.598,0,0
0.7455,-2.637,-207.598,0,0
0.7475,-2.637,-207.598,0,0
0.7496,-2.637,-207.598,0,0
0.7516,-2.637,-207.773,0,0
0.7535,-2.637,-207.773,0,0
0.7555,-2.637,-207.773,0,0
0.7576,-2.637,-207.773,0,0
0.7596,-2.637,-207.773,0,0
0.7616,-2.637,-207.773,0,0
0.7635,-2.637,-207.773,0,0
0.7656,-2.637,-207.773,0,0
0.7675,-2.637,-207.773,0,0
0.7696,-2.637,-207.773,0,0
0.7715,-2.637,-207.773,0,0
0.7735,-2.637,-207.773,0,0
0.7755,-2.637,-207.773,0,0
0.7775,-2.637,-207.773,0,0
0.7795,-2.637,-207.773,0,0
0.7815,-2.637,-207.773,0,0
0.7836,-2.637,-207.773,0,0
0.7855,-2.637,-207.773,0,0
0.7875,-2.637,-207.773,0,0
0.7895,-2.637,-207.773,0,0
0.7915,-2.637,-207.773,0,0
0.7935,-2.637,-207.773,0,0
0.7955,-2.637,-207.773,0,0
0.7975,-2.637,-207.773,0,0
0.7996,-2.637,-207.773,0,0
0.8015,-2.637,-207.773,0,0
0.8035,-2.637,-207.773,0,0
0.8055,-2.637,-207.773,0,0
0.8075,-2.637,-207.773,0,0
0.8095,-2.637,-207.773,0,0
0.8135,-2.637,-207.773,0,0
0.8137,-2.637,-207.773,0,0
0.8156,-2.637,-207.773,0,0
0.8175,-2.637,-207.773,0,0
0.8195,-2.637,-207.773,0,0
0.8215,-2.637,-207.773,0,0
0.8235,-2.637,-207.773,0,0
0.8255,-2.637,-207.773,0,0
0.8275,-2.637,-207.773,0,0
0.8296,-2.637,-207.773,0,0
0.8315,-2.637,-207.773,0,0
0.8471,-2.637,-207.773,0,0
0.8491,-2.637,-207.773,0,0
0.8513,-2.637,-207.773,0,0
0.8531,-2.637,-207.773,0,0
0.8551,-2.637,-207.773,0,0
0.8571,-2.637,-207.773,0,0
0.8591,-2.637,-207.773,0,0
0.8612,-2.637,-207.773,0,0
0.8632,-2.637,-207.773,0,0
0.8651,-2.637,-207.773,0,0
0.8671,-2.637,-207.773,0,0
0.8691,-2.637,-207.773,0,0
0.8711,-2.637,-207.773,0,0
0.8731,-2.637,-207.773,0,0
0.8751,-2.637,-207.773,0,0
0.8771,-2.637,-207.773,0,0
0.8791,-2.637,-207.773,0,0
0.8811,-2.637,-207.773,0,0
0.8831,-2.637,-207.773,0,0
0.8851,-2.637,-207.773,0,0
0.8871,-2.637,-207.773,0,0
0.8891,-2.637,-207.598,0,0
0.8912,-2.637,-207.598,0,0
0.8932,-2.637,-207.598,0,0
0.8952,-2.637,-207.598,0,0
0.8972,-2.637,-207.598,0,0
0.8991,-2.637,-207.598,0,0
0.9011,-2.637,-207.598,0,0
0.9031,-2.637,-207.598,0,0
0.9052,-2.637,-207.598,0,0
0.9071,-2.637,-207.598,0,0
0.9091,-2.637,-207.598,0,0
0.9139,-2.637,-207.598,0,0
0.9142,-2.637,-207.598,0,0
0.9152,-2.637,-207.598,0,0
0.9172,-2.637,-207.598,0,0
0.9191,-2.637,-207.598,0,0
0.9211,-2.637,-207.598,0,0
0.9231,-2.637,-207.598,0,0
