t_s,position_deg,setpoint_deg,error_deg,pwm,current_ma,voltage_v,power_mw
1225.1770,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1225.4300,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1225.5270,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1225.6180,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1225.6780,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1225.8370,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1225.8580,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1226.0530,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1226.1270,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1226.1780,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1226.3190,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1226.5370,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1226.5600,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1226.7260,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1226.7870,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1226.9000,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1227.0360,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1227.2390,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1227.2620,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1227.4450,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1227.4690,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1227.6440,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1227.7020,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1227.8700,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1227.8940,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1228.0860,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
