time_s;mode;position_deg;setpoint_deg;pend_position_deg;pwm;voltage_v;current_mA;power_mW
0.2;0;-0.176;0;0;0;;25.7;384
0.3;0;-0.176;0;0;0;;27.2;406
0.4;0;-0.176;0;-0.176;0;;27.3;410
0.5;0;-0.176;0;0;0;;27.2;406
0.6;0;-0.176;0;0.176;0;;27;404
0.7;0;-0.176;0;0.176;0;;27;404
0.8;0;-0.176;0;0;0;;26.9;404
1.0;0;-0.176;0;0;0;;27;404
1.0;0;-0.176;0;0;0;;26.9;404
1.1;0;-0.176;0;0;0;;27.2;406
1.3;0;-0.176;0;0;0;;27.3;410
1.3;0;-0.176;0;0;0;;27.3;410
1.4;0;-0.176;0;0;0;;27;404
1.5;0;-0.176;0;0;0;;27;404
1.6;0;-0.176;0;0;0;;23.6;354
1.7;0;-0.176;0;0;0;;27.1;406
1.8;0;-0.176;0;0;0;;27.1;406
1.9;0;-0.176;0;0;0;;26.8;404
2.1;0;-0.176;0;0;0;;27.4;410
2.2;0;-0.176;0;0;0;;27.2;406
2.2;0;-0.176;0;0;0;;27.1;406
2.3;0;-0.176;0;0;0;;29.6;442
2.4;0;-0.176;0;0;0;;27.5;412
2.5;0;-0.176;0;0;0;;27;404
2.6;0;-0.176;0;0;0;;27.5;412
2.7;0;-0.176;0;0;0;;26.7;400
2.8;0;-0.176;0;0;0;;27;404
2.9;0;-0.176;0;0;0;;26.8;404
3.0;0;-0.176;0;0;0;;27;404
3.1;0;-0.176;0;0;0;;26.7;400
3.2;0;-0.176;0;0;0;;26.9;404
3.3;0;-0.176;0;0;0;;27;404
3.4;0;-0.176;0;0;0;;27;404
3.5;0;-0.176;0;0;0;;26.4;396
3.7;0;-0.176;0;0;0;;27;404
3.7;0;-0.176;0;0;0;;27.1;406
3.8;0;-0.176;0;0;0;;27;404
3.9;0;-0.176;0;0;0;;27.1;406
4.0;0;-0.176;0;0;0;;27.1;406
4.1;0;-0.176;0;0;0;;27;404
4.2;0;-0.176;0;0;0;;27.1;406
4.3;0;-0.176;0;0;0;;27;404
4.5;0;-0.176;0;0;0;;26.9;404
4.7;0;-0.176;0;0;0;;27;404
4.7;0;-0.176;0;0;0;;27.1;406
4.8;0;-0.176;0;0;0;;27;404
4.8;0;-0.176;0;0;0;;27.1;406
4.9;0;-0.176;0;0;0;;26.9;404
5.0;0;-0.176;0;0.176;0;;27.3;410
5.1;0;-0.176;0;0;0;;26.9;404
5.2;0;-0.176;0;0;0;;26.9;404
5.3;0;-0.352;0;0;0;;27;404
5.4;5;4.922;0;4.922;-50;;67.8;1006
5.5;5;4.395;0;-1.055;50;;73.8;1094
5.7;5;-11.074;0;-20.039;50;;73.6;1092
5.7;5;-9.844;0;-2.813;-50;;67;996
5.8;5;4.746;0;29.707;-50;;69.5;1032
5.9;5;1.934;0;16.523;50;;72.3;1072
6.0;5;-23.73;0;-32.695;50;;73.5;1092
6.2;5;-32.168;0;-36.035;-50;;69.1;1026
6.3;5;-10.195;0;21.445;-50;;65.3;970
6.3;5;1.934;0;52.207;-50;;68.6;1020
6.4;5;-10.02;0;15.82;50;;70.3;1042
6.5;5;-40.957;0;-49.922;50;;73.6;1092
6.6;5;-47.637;0;-51.68;-50;;67.8;1006
6.8;5;-20.215;0;19.512;-50;;63.3;940
6.9;5;-3.164;0;68.027;-50;;68.1;1012
6.9;5;-4.746;0;46.23;50;;73.5;1092
7.0;5;-43.418;0;-41.133;50;;71.3;1058
7.1;5;-55.547;0;-75.059;50;;77;1140
7.2;5;-50.098;0;-37.266;-50;;65.6;974
7.3;5;-9.668;0;56.426;-50;;66.3;986
7.4;5;-0.527;0;83.672;70;;119;1746
7.5;5;-8.262;0;38.848;50;;71.1;1056
7.7;5;-51.68;0;-59.941;50;;72.5;1074
7.8;5;-61.348;0;-88.594;50;;74.6;1104
7.9;5;-59.062;0;-45.703;-50;;66.6;990
7.9;5;-16.523;0;59.238;-50;;67;996
8.0;5;-9.141;0;98.086;50;;76;1128
8.1;5;-10.02;0;67.852;50;;73.5;1092
8.2;5;-53.789;0;-39.023;50;;69.7;1036
8.3;5;-66.621;0;-96.68;-50;;69.5;1032
8.4;5;-67.5;0;-84.727;-50;;69.2;1026
8.5;5;-36.563;0;6.328;-50;;60.1;894
8.6;5;-8.965;0;91.406;-50;;69.6;1032
8.7;5;-5.098;0;101.953;-50;;68.5;1016
