t_ms,mode,pwm,servo_count,servo_deg,pend_count,pend_raw_deg,pend_deg,ina_ok,v_bus,i_ma,p_mw
46,5,-30,116,20.391,-8193,-1440.176,9.844,True,14.644,39.2,574.0
257,5,-29,144,25.312,-8170,-1436.133,13.887,True,14.616,47.0,688.0
413,5,24,87,15.293,-8265,-1452.832,-2.813,True,14.628,47.9,698.0
539,5,-29,140,24.609,-8131,-1429.277,20.742,True,14.552,63.0,918.0
709,5,44,111,19.512,-8211,-1443.34,6.68,True,14.564,60.7,884.0
915,5,-50,94,16.523,-8187,-1439.121,10.898,True,14.548,64.9,944.0
1141,5,43,114,20.039,-8195,-1440.527,9.492,True,14.576,58.4,852.0
1334,5,-50,42,7.383,-8296,-1458.281,-8.262,True,14.552,64.1,934.0
1535,5,35,211,37.09,-7996,-1405.547,44.473,True,14.6,48.1,702.0
1757,5,-49,-22,-3.867,-8470,-1488.867,-38.848,True,14.576,57.8,842.0
1939,5,-46,233,40.957,-7892,-1387.266,62.754,True,14.564,60.5,882.0
2159,5,49,-16,-2.813,-8458,-1486.758,-36.738,True,14.524,70.0,1016.0
2304,0,0,-28,-4.922,-8416,-1479.375,-29.355,True,14.7,27.1,400.0
2516,0,0,145,25.488,-7916,-1391.484,58.535,True,14.692,27.0,396.0
2652,0,0,-66,-11.602,-8383,-1473.574,-23.555,True,14.696,27.0,396.0
2832,0,0,81,14.238,-8184,-1438.594,11.426,True,14.696,25.2,370.0
2957,0,0,210,36.914,-7954,-1398.164,51.855,True,14.704,27.3,404.0
3092,0,0,63,11.074,-8293,-1457.754,-7.734,True,14.696,27.7,406.0
3224,0,0,51,8.965,-8378,-1472.695,-22.676,True,14.684,26.5,390.0
3350,0,0,222,39.023,-8043,-1413.809,36.211,True,14.688,26.0,380.0
3488,0,0,150,26.367,-8139,-1430.684,19.336,True,14.704,27.7,406.0
3715,0,0,102,17.93,-8193,-1440.176,9.844,True,14.704,27.9,410.0
3847,0,0,154,27.07,-8059,-1416.621,33.398,True,14.7,11.1,160.0
3975,0,0,39,6.855,-8280,-1455.469,-5.449,True,14.7,26.7,394.0
4102,0,0,84,14.766,-8223,-1445.449,4.57,True,14.7,28.8,370.0
4234,0,0,162,28.477,-8089,-1421.895,28.125,True,14.696,26.6,390.0
4383,0,0,77,13.535,-8271,-1453.887,-3.867,True,14.7,28.5,420.0
4578,0,0,164,28.828,-8130,-1429.102,20.918,True,14.688,28.2,412.0
4714,0,0,116,20.391,-8202,-1441.758,8.262,True,14.7,25.6,376.0
5007,0,0,139,24.434,-8142,-1431.211,18.809,True,14.7,25.8,380.0
5129,0,0,96,16.875,-8216,-1444.219,5.801,True,14.696,26.0,384.0
5272,0,0,113,19.863,-8194,-1440.352,9.668,True,14.692,28.7,422.0
5401,0,0,130,22.852,-8166,-1435.43,14.59,True,14.692,25.8,380.0
5530,0,0,109,19.16,-8212,-1443.516,6.504,True,14.696,26.2,384.0
5669,0,0,125,21.973,-8192,-1440.0,10.02,True,14.696,28.3,416.0
5807,0,0,125,21.973,-8187,-1439.121,10.898,True,14.648,28.0,410.0
5967,0,0,118,20.742,-8196,-1440.703,9.316,True,14.7,26.9,396.0
7124,0,0,120,21.094,-8194,-1440.352,9.668,True,14.696,28.5,420.0
7263,0,0,120,21.094,-8190,-1439.648,10.371,True,14.692,28.5,420.0
7395,0,0,120,21.094,-8190,-1439.648,10.371,True,14.696,29.0,426.0
7536,0,0,120,21.094,-8194,-1440.352,9.668,True,14.7,26.5,390.0
7798,0,0,120,21.094,-8191,-1439.824,10.195,True,14.692,27.5,404.0
7921,0,0,120,21.094,-8190,-1439.648,10.371,True,14.696,26.2,386.0
8062,0,0,120,21.094,-8192,-1440.0,10.02,True,14.696,27.6,406.0
8200,0,0,120,21.094,-8194,-1440.352,9.668,True,14.692,24.6,360.0
8343,0,0,120,21.094,-8192,-1440.0,10.02,True,14.696,32.7,478.0
8472,0,0,120,21.094,-8191,-1439.824,10.195,True,14.7,26.5,390.0
8611,0,0,120,21.094,-8192,-1440.0,10.02,True,14.704,27.9,410.0
8887,0,0,120,21.094,-8192,-1440.0,10.02,True,14.696,25.6,376.0
9015,0,0,120,21.094,-8191,-1439.824,10.195,True,14.7,26.5,394.0
9136,0,0,120,21.094,-8191,-1439.824,10.195,True,14.704,25.8,380.0
9261,0,0,120,21.094,-8193,-1440.176,9.844,True,14.696,26.1,104.0
9384,0,0,120,21.094,-8193,-1440.176,9.844,True,14.692,25.4,374.0
9540,0,0,120,21.094,-8192,-1440.0,10.02,True,14.7,25.9,380.0
9667,0,0,120,21.094,-8191,-1439.824,10.195,True,14.704,25.8,380.0
9820,0,0,120,21.094,-8192,-1440.0,10.02,True,14.7,26.4,386.0
10055,0,0,120,21.094,-8192,-1440.0,10.02,True,14.7,24.6,360.0
10195,0,0,120,21.094,-8192,-1440.0,10.02,True,14.704,25.6,376.0
10331,0,0,120,21.094,-8192,-1440.0,10.02,True,14.66,30.5,448.0
10458,0,0,120,21.094,-8192,-1440.0,10.02,True,14.7,27.6,406.0
10595,0,0,120,21.094,-8192,-1440.0,10.02,True,14.696,25.3,370.0
10726,0,0,120,21.094,-8192,-1440.0,10.02,True,14.7,26.4,386.0
10929,0,0,120,21.094,-8192,-1440.0,10.02,True,14.7,25.7,376.0
11057,0,0,120,21.094,-8192,-1440.0,10.02,True,14.704,27.6,406.0
11295,0,0,120,21.094,-8192,-1440.0,10.02,True,14.696,25.6,376.0
11431,0,0,120,21.094,-8192,-1440.0,10.02,True,14.696,26.5,390.0
11567,0,0,120,21.094,-8192,-1440.0,10.02,True,14.7,26.1,384.0
11703,0,0,120,21.094,-8192,-1440.0,10.02,True,14.704,28.0,412.0
11836,0,0,120,21.094,-8192,-1440.0,10.02,True,14.692,27.2,400.0
12027,0,0,120,21.094,-8192,-1440.0,10.02,True,14.7,26.1,384.0
12156,0,0,120,21.094,-8192,-1440.0,10.02,True,14.668,27.4,404.0
12297,0,0,120,21.094,-8192,-1440.0,10.02,True,14.696,26.7,394.0
12521,0,0,120,21.094,-8192,-1440.0,10.02,True,14.696,26.0,384.0
12643,0,0,120,21.094,-8192,-1440.0,10.02,True,14.66,32.0,468.0
12789,0,0,120,21.094,-8192,-1440.0,10.02,True,14.696,27.0,396.0
12953,0,0,120,21.094,-8192,-1440.0,10.02,True,14.696,25.4,374.0
13089,0,0,120,21.094,-8192,-1440.0,10.02,True,14.7,27.1,400.0
13239,0,0,120,21.094,-8192,-1440.0,10.02,True,14.696,23.2,340.0
13371,0,0,120,21.094,-8192,-1440.0,10.02,True,14.7,26.1,384.0
13507,0,0,120,21.094,-8192,-1440.0,10.02,True,14.7,27.2,400.0
13744,0,0,120,21.094,-8192,-1440.0,10.02,True,14.696,26.6,390.0
13872,0,0,120,21.094,-8192,-1440.0,10.02,True,14.696,25.9,534.0
14009,0,0,120,21.094,-8192,-1440.0,10.02,True,14.692,27.2,400.0
14164,0,0,120,21.094,-8192,-1440.0,10.02,True,14.696,27.1,376.0
14298,0,0,120,21.094,-8192,-1440.0,10.02,True,14.7,27.6,406.0
14485,0,0,120,21.094,-8192,-1440.0,10.02,True,14.7,26.0,384.0
14618,0,0,120,21.094,-8192,-1440.0,10.02,True,14.696,26.0,384.0
14914,0,0,120,21.094,-8192,-1440.0,10.02,True,14.696,21.3,312.0
15044,0,0,120,21.094,-8192,-1440.0,10.02,True,14.696,27.1,400.0
15170,0,0,120,21.094,-8192,-1440.0,10.02,True,14.696,25.2,370.0
15310,0,0,120,21.094,-8192,-1440.0,10.02,True,14.664,29.7,436.0
15442,0,0,120,21.094,-8192,-1440.0,10.02,True,14.7,27.9,410.0
15570,0,0,120,21.094,-8192,-1440.0,10.02,True,14.7,27.6,406.0
15700,0,0,120,21.094,-8192,-1440.0,10.02,True,14.7,26.3,386.0
15993,0,0,120,21.094,-8192,-1440.0,10.02,True,14.68,26.6,390.0
16128,0,0,120,21.094,-8192,-1440.0,10.02,True,14.596,27.4,404.0
16271,0,0,120,21.094,-8192,-1440.0,10.02,True,14.7,26.4,386.0
16399,0,0,120,21.094,-8192,-1440.0,10.02,True,14.7,26.3,386.0
16558,0,0,120,21.094,-8192,-1440.0,10.02,True,14.7,25.9,380.0
16722,0,0,120,21.094,-8192,-1440.0,10.02,True,14.692,28.0,412.0
16857,0,0,120,21.094,-8192,-1440.0,10.02,True,14.696,26.3,386.0
16987,0,0,120,21.094,-8192,-1440.0,10.02,True,14.696,25.6,376.0
17121,0,0,120,21.094,-8192,-1440.0,10.02,True,14.696,26.4,386.0
17340,0,0,120,21.094,-8192,-1440.0,10.02,True,14.696,27.2,400.0
17465,0,0,120,21.094,-8192,-1440.0,10.02,True,14.692,26.3,350.0
17601,0,0,120,21.094,-8192,-1440.0,10.02,True,14.696,26.0,354.0
17734,0,0,120,21.094,-8192,-1440.0,10.02,True,14.696,25.8,380.0
17865,0,0,120,21.094,-8192,-1440.0,10.02,True,14.688,27.5,404.0
17995,0,0,120,21.094,-8192,-1440.0,10.02,True,14.696,26.4,386.0
18140,0,0,120,21.094,-8192,-1440.0,10.02,True,14.696,27.9,410.0
18274,0,0,120,21.094,-8192,-1440.0,10.02,True,14.688,28.5,420.0
19643,0,0,120,21.094,-8192,-1440.0,10.02,True,0.0,29.6,436.0
19772,0,0,120,21.094,-8192,-1440.0,10.02,True,14.692,27.9,410.0
19912,0,0,120,21.094,-8192,-1440.0,10.02,True,14.696,26.8,394.0
20034,0,0,120,21.094,-8192,-1440.0,10.02,True,14.696,26.7,390.0
20164,0,0,120,21.094,-8192,-1440.0,10.02,True,14.7,25.9,380.0
20332,0,0,120,21.094,-8192,-1440.0,10.02,True,14.696,27.8,374.0
20467,0,0,120,21.094,-8192,-1440.0,10.02,True,14.696,26.1,384.0
20731,0,0,120,21.094,-8192,-1440.0,10.02,True,14.696,25.8,380.0
20860,0,0,120,21.094,-8192,-1440.0,10.02,True,14.684,27.7,406.0
20986,0,0,120,21.094,-8192,-1440.0,10.02,True,14.7,26.3,386.0
21142,0,0,120,21.094,-8192,-1440.0,10.02,True,14.576,16.8,246.0
21293,0,0,120,21.094,-8192,-1440.0,10.02,True,14.696,26.8,394.0
21417,0,0,120,21.094,-8192,-1440.0,10.02,True,14.696,27.3,400.0
21563,0,0,120,21.094,-8192,-1440.0,10.02,True,14.696,27.8,410.0
21783,0,0,120,21.094,-8192,-1440.0,10.02,True,14.696,27.1,400.0
21905,0,0,120,21.094,-8192,-1440.0,10.02,True,14.7,26.8,376.0
22041,0,0,120,21.094,-8192,-1440.0,10.02,True,14.7,27.6,406.0
22165,0,0,120,21.094,-8192,-1440.0,10.02,True,14.692,26.4,386.0
22301,0,0,120,21.094,-8192,-1440.0,10.02,True,14.7,27.2,400.0
22430,0,0,120,21.094,-8192,-1440.0,10.02,True,14.7,24.8,364.0
22558,0,0,120,21.094,-8192,-1440.0,10.02,True,14.692,25.6,376.0
22787,0,0,120,21.094,-8192,-1440.0,10.02,True,14.692,28.9,426.0
22917,0,0,120,21.094,-8192,-1440.0,10.02,True,14.696,26.1,384.0
23044,0,0,120,21.094,-8192,-1440.0,10.02,True,14.692,26.9,396.0
23167,0,0,120,21.094,-8192,-1440.0,10.02,True,14.688,25.9,380.0
23292,0,0,120,21.094,-8192,-1440.0,10.02,True,14.7,25.7,376.0
23413,0,0,120,21.094,-8192,-1440.0,10.02,True,14.7,27.5,404.0
23550,0,0,120,21.094,-8192,-1440.0,10.02,True,14.696,28.2,416.0
23690,0,0,120,21.094,-8192,-1440.0,10.02,True,14.696,25.9,380.0
24009,0,0,120,21.094,-8192,-1440.0,10.02,True,14.716,26.6,390.0
24141,0,0,120,21.094,-8192,-1440.0,10.02,True,14.692,27.7,406.0
24271,0,0,120,21.094,-8192,-1440.0,10.02,True,14.7,26.4,386.0
24418,0,0,120,21.094,-8192,-1440.0,10.02,True,14.692,26.5,390.0
24550,0,0,120,21.094,-8192,-1440.0,10.02,True,14.656,29.2,430.0
24689,0,0,120,21.094,-8192,-1440.0,10.02,True,14.656,28.3,416.0
24838,0,0,120,21.094,-8192,-1440.0,10.02,True,14.7,26.1,384.0
25154,0,0,120,21.094,-8192,-1440.0,10.02,True,14.716,26.6,390.0
25284,0,0,120,21.094,-8192,-1440.0,10.02,True,14.684,29.6,436.0
25462,0,0,120,21.094,-8192,-1440.0,10.02,True,14.652,30.9,452.0
25618,0,0,120,21.094,-8192,-1440.0,10.02,True,14.688,25.9,380.0
25749,0,0,120,21.094,-8192,-1440.0,10.02,True,14.688,25.9,380.0
25879,0,0,120,21.094,-8192,-1440.0,10.02,True,14.684,25.9,380.0
26005,0,0,120,21.094,-8192,-1440.0,10.02,True,14.692,25.5,374.0
26141,0,0,120,21.094,-8192,-1440.0,10.02,True,14.692,27.9,410.0
26278,0,0,120,21.094,-8192,-1440.0,10.02,True,14.688,26.4,386.0
26490,0,0,120,21.094,-8192,-1440.0,10.02,True,14.684,25.8,380.0
26615,0,0,120,21.094,-8192,-1440.0,10.02,True,14.68,26.0,380.0
26741,0,0,120,21.094,-8192,-1440.0,10.02,True,14.672,24.3,358.0
26864,0,0,120,21.094,-8192,-1440.0,10.02,True,14.692,26.1,384.0
26993,0,0,120,21.094,-8192,-1440.0,10.02,True,14.68,27.2,400.0
27127,0,0,120,21.094,-8192,-1440.0,10.02,True,14.684,27.1,396.0
27254,0,0,120,21.094,-8192,-1440.0,10.02,True,14.688,27.6,406.0
27406,0,0,120,21.094,-8192,-1440.0,10.02,True,14.692,27.2,400.0
27680,0,0,120,21.094,-8192,-1440.0,10.02,True,14.688,26.3,386.0
27847,0,0,120,21.094,-8192,-1440.0,10.02,True,14.68,29.2,430.0
27985,0,0,120,21.094,-8192,-1440.0,10.02,True,14.692,26.3,386.0
28131,0,0,120,21.094,-8192,-1440.0,10.02,True,14.684,24.7,364.0
28261,0,0,120,21.094,-8192,-1440.0,10.02,True,14.696,27.5,404.0
28383,0,0,120,21.094,-8192,-1440.0,10.02,True,14.688,25.9,380.0
28540,0,0,120,21.094,-8192,-1440.0,10.02,True,14.684,27.5,404.0
29819,-1,0,0,0,0,0,0,False,0,0,0
30009,0,0,0,0.0,0,0.0,0.0,True,14.688,27.5,404.0
30233,0,0,0,0.0,0,0.0,0.0,True,14.624,30.9,452.0
30372,0,0,0,0.0,0,0.0,0.0,True,14.688,26.0,384.0
30619,0,0,0,0.0,0,0.0,0.0,True,14.688,26.8,394.0
30755,0,0,0,0.0,0,0.0,0.0,True,14.688,26.6,390.0
30883,0,0,0,0.0,0,0.0,0.0,True,14.684,27.9,386.0
31019,0,0,0,0.0,0,0.0,0.0,True,14.688,26.8,394.0
31154,0,0,0,0.0,0,0.0,0.0,True,14.688,26.7,394.0
31326,0,0,0,0.0,0,0.0,0.0,True,14.684,27.5,404.0
31539,0,0,0,0.0,0,0.0,0.0,True,14.688,24.6,360.0
31669,0,0,0,0.0,0,0.0,0.0,True,14.68,29.1,426.0
31886,0,0,0,0.0,0,0.0,0.0,True,14.688,26.6,390.0
32067,0,0,0,0.0,0,0.0,0.0,True,14.684,27.8,410.0
32194,0,0,0,0.0,0,0.0,0.0,True,14.688,26.7,394.0
32352,0,0,0,0.0,0,0.0,0.0,True,14.684,26.6,390.0
32571,0,0,0,0.0,0,0.0,0.0,True,14.684,28.5,386.0
32769,0,0,0,0.0,0,0.0,0.0,True,14.684,27.2,400.0
32906,0,0,0,0.0,0,0.0,0.0,True,14.684,26.6,390.0
33111,0,0,0,0.0,0,0.0,0.0,True,14.688,26.5,390.0
33290,0,0,0,0.0,0,0.0,0.0,True,14.684,28.1,412.0
33488,0,0,0,0.0,0,0.0,0.0,True,14.688,26.9,396.0
33623,0,0,0,0.0,0,0.0,0.0,True,14.688,27.2,400.0
33794,0,0,0,0.0,0,0.0,0.0,True,14.688,26.7,394.0
33915,0,0,0,0.0,0,0.0,0.0,True,14.688,26.8,394.0
34096,0,0,0,0.0,0,0.0,0.0,True,14.688,26.8,394.0
34233,0,0,0,0.0,0,0.0,0.0,True,14.684,26.5,390.0
34422,0,0,0,0.0,0,0.0,0.0,True,14.688,26.9,396.0
34611,0,0,0,0.0,0,0.0,0.0,True,14.688,27.5,404.0
34747,0,0,0,0.0,0,0.0,0.0,True,14.688,26.8,394.0
34924,0,0,0,0.0,0,0.0,0.0,True,14.688,27.4,404.0
35050,0,0,0,0.0,0,0.0,0.0,True,14.692,26.3,386.0
35241,0,0,0,0.0,0,0.0,0.0,True,14.688,26.5,390.0
35429,0,0,0,0.0,0,0.0,0.0,True,14.68,27.0,396.0
35554,0,0,0,0.0,0,0.0,0.0,True,14.688,27.6,406.0
35745,0,0,0,0.0,0,0.0,0.0,True,14.688,27.4,404.0
35870,0,0,0,0.0,0,0.0,0.0,True,14.688,26.7,394.0
36037,0,0,0,0.0,0,0.0,0.0,True,14.688,26.7,394.0
36258,0,0,0,0.0,0,0.0,0.0,True,14.688,27.1,396.0
36473,0,0,0,0.0,0,0.0,0.0,True,14.692,26.8,394.0
36680,0,0,0,0.0,0,0.0,0.0,True,14.672,30.3,446.0
36818,0,0,0,0.0,0,0.0,0.0,True,14.688,26.9,396.0
36996,0,0,0,0.0,0,0.0,0.0,True,14.684,3.6,52.0
37200,0,0,0,0.0,0,0.0,0.0,True,14.684,27.0,396.0
37378,0,0,0,0.0,0,0.0,0.0,True,14.684,26.1,384.0
37501,0,0,0,0.0,0,0.0,0.0,True,14.676,26.3,386.0
37716,0,0,0,0.0,0,0.0,0.0,True,14.684,26.4,386.0
37898,0,0,0,0.0,0,0.0,0.0,True,14.68,26.4,386.0
38039,0,0,0,0.0,0,0.0,0.0,True,14.68,27.4,404.0
38188,0,0,0,0.0,0,0.0,0.0,True,14.684,26.6,390.0
38321,0,0,0,0.0,0,0.0,0.0,True,14.684,27.8,410.0
38522,0,0,0,0.0,0,0.0,0.0,True,14.684,26.7,394.0
38706,0,0,0,0.0,0,0.0,0.0,True,14.684,26.5,390.0
