t_ms,mode,pwm,pend_count,pend_deg,pend_setpoint_deg,pend_error_deg,servo_count,servo_deg,v_bus,i_ma,p_mw
0,3,0,0,0.0,0.0,0.0,29,18.633,14.676,26.8,394.0
178,3,0,0,0.0,0.0,0.0,29,18.633,14.676,26.1,384.0
311,3,0,0,0.0,0.0,0.0,29,18.633,14.676,26.0,380.0
436,3,0,0,0.0,0.0,0.0,29,18.633,14.676,25.7,376.0
561,3,0,0,0.0,0.0,0.0,29,18.633,14.672,27.4,404.0
696,3,0,0,0.0,0.0,0.0,29,18.633,14.672,28.6,420.0
830,3,0,0,0.0,0.0,0.0,29,18.633,14.672,25.8,380.0
954,3,0,0,0.0,0.0,0.0,29,18.633,14.564,40.5,594.0
1080,3,0,0,0.0,0.0,0.0,29,18.633,14.672,26.6,390.0
1214,3,0,0,0.0,0.0,0.0,29,18.633,14.672,26.8,394.0
1346,3,0,0,0.0,0.0,0.0,29,18.633,14.672,28.4,416.0
1480,3,0,0,0.0,0.0,0.0,29,18.633,14.676,27.7,406.0
1613,3,0,0,0.0,0.0,0.0,29,18.633,14.672,26.7,394.0
1761,3,0,0,0.0,0.0,0.0,29,18.633,14.672,26.7,394.0
1928,3,0,0,0.0,0.0,0.0,29,18.633,14.676,25.9,380.0
2079,3,0,0,0.0,0.0,0.0,29,18.633,14.672,26.5,390.0
2221,3,0,0,0.0,0.0,0.0,29,18.633,14.672,28.2,412.0
2369,3,0,0,0.0,0.0,0.0,29,18.633,14.66,29.4,432.0
2516,3,0,0,0.0,0.0,0.0,29,18.633,14.676,25.9,380.0
2670,3,0,0,0.0,0.0,0.0,29,18.633,14.672,27.3,400.0
2799,3,0,0,0.0,0.0,0.0,29,18.633,14.672,28.8,422.0
2932,3,0,0,0.0,0.0,0.0,29,18.633,14.672,26.5,390.0
3066,3,-113,10,1.758,30.0,28.242,40,20.566,13.884,220.7,3068.0
3231,3,-55,89,15.645,30.0,14.355,154,40.605,14.48,74.8,1082.0
3351,3,-63,-8,-1.406,30.0,31.406,268,60.645,14.336,102.6,1478.0
3503,3,-60,-147,-25.84,30.0,55.84,291,64.687,14.428,90.8,1310.0
3631,3,-58,-59,-10.371,30.0,40.371,309,67.852,14.46,81.0,1170.0
3772,3,-79,73,12.832,30.0,17.168,247,56.953,14.28,121.7,1754.0
3900,3,-87,77,13.535,30.0,16.465,200,48.691,14.208,146.0,2074.0
4021,3,-72,25,4.395,30.0,25.605,291,64.687,14.336,112.9,1590.0
4195,3,-59,-122,-21.445,30.0,51.445,301,66.445,14.44,84.5,1218.0
