t_ms,mode,pwm,servo_count,servo_deg,setpoint_deg,error_deg,gain_mode,pend_count,pend_deg,v_bus,i_ma,p_mw
0,2,0,10,0.0,0.0,0.0,0,0,0.0,14.684,25.8,380.0
155,2,0,10,0.0,0.0,0.0,0,0,0.0,14.56,28.9,422.0
279,2,0,10,0.0,0.0,0.0,0,0,0.0,14.688,25.3,370.0
430,2,0,10,0.0,0.0,0.0,0,0,0.0,14.696,25.8,380.0
590,2,0,10,0.0,0.0,0.0,0,0,0.0,14.668,29.7,436.0
735,2,0,10,0.0,0.0,0.0,0,0,0.0,14.688,26.8,394.0
864,2,0,10,0.0,0.0,0.0,0,0,0.0,14.696,27.7,406.0
990,2,0,10,0.0,0.0,0.0,0,0,0.0,14.684,26.5,390.0
1158,2,0,10,0.0,0.0,0.0,0,0,0.0,14.684,25.7,376.0
1310,2,0,10,0.0,0.0,0.0,0,0,0.0,14.684,26.6,390.0
1457,2,0,10,0.0,0.0,0.0,0,0,0.0,14.688,26.7,394.0
1578,2,0,10,0.0,0.0,0.0,0,0,0.0,14.68,28.2,412.0
1759,2,0,10,0.0,0.0,0.0,0,0,0.0,14.68,28.2,412.0
1913,2,0,10,0.0,0.0,0.0,0,0,0.0,14.688,26.7,394.0
2035,2,-64,25,2.637,30.0,27.363,0,15,2.637,14.416,93.5,1346.0
2193,2,-29,100,15.82,30.0,14.18,0,56,9.844,14.612,44.6,652.0
2318,2,-38,104,16.523,30.0,13.477,0,-51,-8.965,14.592,48.3,704.0
2445,2,-3,149,24.434,30.0,5.566,0,-42,-7.383,14.676,26.6,390.0
2580,2,-13,159,26.191,30.0,3.809,0,7,1.23,14.676,29.0,426.0
2701,2,-32,115,18.457,30.0,11.543,0,-4,-0.703,14.588,49.6,724.0
2830,2,-35,110,17.578,30.0,12.422,0,23,4.043,14.592,49.4,720.0
2957,2,-36,110,17.578,30.0,12.422,0,15,2.637,14.588,50.9,744.0
3088,2,-33,117,18.809,30.0,11.191,0,-12,-2.109,14.596,49.4,720.0
3207,2,-24,131,21.27,30.0,8.73,0,-15,-2.637,14.624,39.0,570.0
3364,2,-25,130,21.094,30.0,8.906,0,-3,-0.527,14.62,42.4,600.0
3489,2,-28,124,20.039,30.0,9.961,0,7,1.23,14.612,44.3,648.0
3623,2,-31,119,19.16,30.0,10.84,0,5,0.879,14.604,46.5,678.0
3750,2,-31,119,19.16,30.0,10.84,0,-3,-0.527,14.604,46.2,676.0
3879,2,-30,123,19.863,30.0,10.137,0,-5,-0.879,14.604,44.7,652.0
4001,2,-30,125,20.215,30.0,9.785,0,-2,-0.352,14.604,44.9,656.0
4126,2,-30,125,20.215,30.0,9.785,0,1,0.176,14.608,44.5,648.0
4252,2,-31,125,20.215,30.0,9.785,0,1,0.176,14.6,45.4,662.0
4374,2,-31,125,20.215,30.0,9.785,0,-2,-0.352,14.616,43.3,632.0
4512,2,-31,125,20.215,30.0,9.785,0,-3,-0.527,14.6,45.8,668.0
4638,2,-32,125,20.215,30.0,9.785,0,-1,-0.176,14.6,46.5,678.0
4763,2,-32,125,20.215,30.0,9.785,0,1,0.176,14.584,48.2,704.0
4895,2,-33,125,20.215,30.0,9.785,0,-1,-0.176,14.588,48.3,704.0
5032,2,-33,126,20.391,30.0,9.609,0,-2,-0.352,14.592,47.2,688.0
