t,pend,servo,mode,pwm,v
0.081,-1.23,-1.23,5,34,14.74
0.187,-0.88,-2.11,5,-18,14.77
0.278,1.76,-1.76,5,-18,14.76
0.356,1.93,-1.76,5,-34,14.77
0.432,0.35,-2.46,5,18,14.76
0.51,-1.23,-2.99,5,34,14.76
0.585,-1.93,-3.52,5,34,14.75
0.669,-1.05,-3.69,5,-17,14.77
0.755,1.93,-2.81,5,-18,14.78
0.852,2.11,-2.99,5,-34,14.76
0.924,0.18,-3.69,5,19,14.77
1.026,-1.58,-3.87,5,19,14.76
1.1,-2.29,-4.39,5,34,14.76
1.185,-0.18,-4.04,5,-17,14.77
1.262,2.29,-3.34,5,-17,14.77
1.344,2.29,-3.52,5,19,14.77
1.417,0.35,-4.04,5,19,14.77
1.491,-1.23,-4.04,5,19,14.75
1.576,-2.29,-4.39,5,34,14.76
1.655,-1.41,-4.57,5,-17,14.76
1.723,1.41,-3.52,5,-17,14.77
1.806,2.64,-3.34,5,-34,14.77
1.89,1.23,-3.87,5,19,14.77
1.973,-0.88,-4.04,5,19,14.76
2.049,-2.11,-4.22,5,19,14.76
2.123,-2.11,-4.75,5,-34,14.63
2.208,0.53,-4.04,5,-17,14.77
2.29,2.64,-3.34,5,-34,14.77
2.38,1.58,-3.87,5,19,14.75
2.464,-0.53,-4.22,5,19,14.76
2.543,-1.93,-4.39,5,34,14.75
2.616,-2.29,-4.92,5,-34,14.76
2.702,0.35,-4.22,5,-17,14.77
2.788,2.64,-3.52,5,-34,14.78
2.861,1.93,-3.87,5,34,14.77
2.937,-0.18,-4.22,5,19,14.76
3.024,-1.76,-4.39,5,34,14.75
3.121,-2.46,-5.1,5,-33,14.76
3.207,0.88,-4.22,5,-17,14.77
3.292,2.64,-3.69,5,-34,14.77
3.37,1.93,-4.04,5,34,14.76
3.444,-0.35,-4.57,5,19,14.76
3.534,-1.93,-4.75,5,34,14.75
3.617,-2.46,-5.27,5,-33,14.77
3.699,0.0,-4.75,5,-17,14.77
3.775,2.81,-4.04,5,-17,14.77
3.866,2.11,-4.22,5,34,14.77
3.95,-0.35,-4.92,5,19,14.77
4.027,-1.76,-4.92,5,19,14.78
4.104,-2.29,-5.1,5,35,14.74
4.176,-0.53,-4.92,5,-17,14.75
4.268,2.29,-3.87,5,-17,14.77
4.342,2.29,-4.04,5,-34,14.77
4.429,0.35,-4.57,5,19,14.76
4.504,-1.58,-4.75,5,19,14.76
4.577,-2.11,-5.1,5,35,14.74
4.655,-1.76,-5.62,5,-17,14.78
4.748,1.58,-4.57,5,-17,14.77
4.832,2.64,-4.39,5,-34,14.76
4.912,0.7,-4.92,5,19,14.77
5.005,-1.23,-5.1,5,19,14.75
