t,servo_deg,pend_deg,pend_raw_deg,pwm,mode,v_bus,i_ma,p_mw
0.056,0.0,0.0,0.0,35,5,14.696,5.2,76.0
0.194,0.0,0.0,0.0,35,5,14.664,13.7,200.0
0.286,0.0,0.0,0.0,35,5,14.664,11.6,148.0
0.36,0.0,0.0,0.0,-35,5,14.704,6.6,98.0
0.432,0.0,0.0,0.0,-35,5,14.62,14.4,210.0
0.523,0.0,0.0,0.0,-35,5,14.692,6.5,66.0
0.598,0.0,0.0,0.0,35,5,14.672,9.4,138.0
0.695,0.0,0.0,0.0,35,5,14.672,10.7,150.0
0.794,0.0,0.0,0.0,35,5,14.672,9.9,144.0
0.877,0.0,0.0,0.0,-35,5,14.696,6.2,92.0
0.97,0.0,0.0,0.0,-35,5,14.696,4.3,62.0
1.051,0.0,0.0,0.0,-35,5,14.672,9.5,140.0
1.125,0.0,0.0,0.0,35,5,14.668,12.5,184.0
1.215,0.0,0.0,0.0,35,5,14.668,10.5,154.0
1.304,0.0,0.0,0.0,35,5,14.684,11.0,160.0
1.383,0.0,0.0,0.0,-35,5,14.704,6.1,88.0
1.476,0.0,0.0,0.0,-35,5,14.692,5.2,76.0
1.55,0.0,0.0,0.0,-35,5,14.696,3.3,50.0
1.63,0.0,0.0,0.0,35,5,14.664,10.9,160.0
1.728,0.0,0.0,0.0,35,5,14.672,10.4,154.0
1.814,0.0,0.0,0.0,-35,5,14.712,5.4,78.0
1.886,0.0,0.0,0.0,-35,5,14.696,5.9,86.0
1.959,0.0,0.0,0.0,-35,5,14.692,5.3,78.0
2.038,0.0,0.0,0.0,-35,5,14.692,4.7,68.0
2.12,0.0,0.0,0.0,35,5,14.672,12.4,184.0
2.193,0.0,0.0,0.0,35,5,14.664,11.5,168.0
2.286,0.0,0.0,0.0,35,5,14.664,11.9,174.0
2.357,0.0,0.0,0.0,-35,5,14.696,5.2,76.0
2.449,0.0,0.0,0.0,-35,5,14.688,6.2,62.0
2.53,0.0,0.0,0.0,-35,5,14.692,7.2,104.0
2.602,0.0,0.0,0.0,35,5,14.672,10.5,154.0
2.675,0.0,0.0,0.0,35,5,14.668,10.7,158.0
2.758,0.0,0.0,0.0,35,5,14.664,12.4,184.0
2.841,0.0,0.0,0.0,-35,5,14.692,5.1,76.0
2.937,0.0,0.0,0.0,-35,5,14.696,4.1,58.0
3.011,0.0,0.0,0.0,-35,5,14.696,5.0,72.0
3.084,0.0,0.0,0.0,35,5,14.672,10.1,148.0
3.164,0.0,0.0,0.0,35,5,14.668,11.3,168.0
3.253,0.0,0.0,0.0,35,5,14.68,11.5,170.0
3.332,0.0,0.0,0.0,-35,5,14.688,4.9,72.0
3.407,0.0,0.0,0.0,-35,5,14.684,7.5,112.0
3.478,0.0,0.0,0.0,-35,5,14.692,4.9,72.0
3.569,0.0,0.0,0.0,35,5,14.668,11.2,164.0
3.641,0.0,0.0,0.0,35,5,14.668,11.3,168.0
3.716,0.0,0.0,0.0,35,5,14.668,11.1,164.0
3.797,0.0,0.0,0.0,35,5,14.672,10.1,148.0
3.872,0.0,0.0,0.0,-35,5,14.692,3.2,46.0
3.948,0.0,0.0,0.0,-35,5,14.692,4.9,72.0
4.026,0.0,0.0,0.0,-35,5,14.688,7.4,108.0
4.097,0.0,0.0,0.0,35,5,14.668,10.6,154.0
4.172,0.0,0.0,0.0,35,5,14.676,11.2,164.0
4.255,0.0,0.0,0.0,35,5,14.668,11.1,148.0
4.326,0.0,0.0,0.0,-35,5,14.672,9.0,132.0
4.415,0.0,0.0,0.0,-35,5,14.688,5.1,76.0
4.495,0.0,0.0,0.0,-35,5,14.692,4.9,72.0
4.576,0.0,0.0,0.0,35,5,14.668,10.9,160.0
4.663,0.0,0.0,0.0,35,5,14.668,10.3,150.0
4.803,0.0,0.0,0.0,35,5,14.668,10.5,154.0
4.874,0.0,0.0,0.0,-35,5,14.696,5.4,78.0
4.964,0.0,0.0,0.0,-35,5,14.704,7.2,104.0
5.061,0.0,0.0,0.0,35,5,14.676,9.0,132.0
5.132,0.0,0.0,0.0,35,5,14.664,10.4,132.0
5.215,0.0,0.0,0.0,35,5,14.668,12.6,184.0
5.316,0.0,0.0,0.0,-35,5,14.672,10.9,160.0
5.395,0.0,0.0,0.0,-35,5,14.692,3.6,52.0
5.469,0.0,0.0,0.0,-35,5,14.692,4.8,72.0
5.549,0.0,0.0,0.0,-35,5,14.692,6.0,88.0
5.63,0.0,0.0,0.0,35,5,14.668,9.0,132.0
5.719,0.0,0.0,0.0,35,5,14.672,10.2,150.0
5.804,0.0,0.0,0.0,35,5,14.668,10.4,154.0
5.899,0.0,0.0,0.0,-35,5,14.696,5.4,78.0
5.991,0.0,0.0,0.0,-35,5,14.688,5.0,72.0
6.088,0.0,0.0,0.0,35,5,14.528,4.2,62.0
6.167,0.0,0.0,0.0,35,5,14.672,9.3,138.0
6.241,0.0,0.0,0.0,35,5,14.668,12.9,190.0
6.346,0.0,0.0,0.0,-35,5,14.692,6.2,92.0
6.418,0.0,0.0,0.0,-35,5,14.692,4.7,68.0
6.493,0.0,0.0,0.0,-35,5,14.696,4.6,68.0
6.57,0.0,0.0,0.0,35,5,14.672,10.5,154.0
6.651,0.0,0.0,0.0,35,5,14.672,11.3,168.0
6.744,0.0,0.0,0.0,35,5,14.676,9.8,144.0
6.825,0.0,0.0,0.0,-35,5,14.696,7.1,104.0
6.902,0.0,0.0,0.0,-35,5,14.696,5.0,72.0
6.994,0.0,0.0,0.0,-35,5,14.684,7.0,102.0
7.066,0.0,0.0,0.0,35,5,14.668,11.0,160.0
7.154,0.0,0.0,0.0,35,5,14.672,10.5,154.0
7.245,0.0,0.0,0.0,35,5,14.668,10.1,148.0
7.326,0.0,0.0,0.0,-35,5,14.692,6.6,98.0
7.402,0.0,0.0,0.0,-35,5,14.664,9.9,144.0
7.484,0.0,0.0,0.0,-35,5,14.692,5.5,82.0
7.569,0.0,0.0,0.0,35,5,14.668,11.2,164.0
7.647,0.0,0.0,0.0,35,5,14.656,13.4,196.0
7.722,0.0,0.0,0.0,35,5,14.668,11.0,160.0
7.799,0.0,0.0,0.0,35,5,14.664,11.2,164.0
7.874,0.0,0.0,0.0,-35,5,14.696,5.4,78.0
7.964,0.0,0.0,0.0,-35,5,14.696,5.1,76.0
8.054,0.0,0.0,0.0,-35,5,14.692,5.4,78.0
8.135,0.0,0.0,0.0,35,5,14.66,11.5,168.0
8.205,0.0,0.0,0.0,35,5,14.672,11.4,168.0
8.299,0.0,0.0,0.0,35,5,14.668,10.8,158.0
8.381,0.0,0.0,0.0,-35,5,14.692,5.7,86.0
8.475,0.0,0.0,0.0,-35,5,14.7,5.0,72.0
8.546,0.0,0.0,0.0,-35,5,14.704,6.5,96.0
8.628,0.0,0.0,0.0,35,5,14.62,20.3,298.0
8.702,0.0,0.0,0.0,35,5,14.668,11.1,164.0
8.79,0.0,0.0,0.0,35,5,14.672,10.0,148.0
8.869,0.0,0.0,0.0,-35,5,14.684,5.5,82.0
8.95,0.0,0.0,0.0,-35,5,14.692,4.9,72.0
9.024,0.0,0.0,0.0,-35,5,14.696,5.3,78.0
9.102,0.0,0.0,0.0,35,5,14.672,11.0,160.0
9.186,0.0,0.0,0.0,35,5,14.672,10.6,154.0
9.273,0.0,0.0,0.0,35,5,14.672,12.1,176.0
9.351,0.0,0.0,0.0,-35,5,14.692,5.9,86.0
9.422,0.0,0.0,0.0,-35,5,14.696,4.8,72.0
9.517,0.0,0.0,0.0,-35,5,14.692,5.0,72.0
9.602,0.0,0.0,0.0,35,5,14.672,12.6,184.0
9.673,0.0,0.0,0.0,35,5,14.68,12.4,184.0
9.76,0.0,0.0,0.0,35,5,14.664,11.9,174.0
9.835,0.0,0.0,0.0,-35,5,14.688,7.2,104.0
9.913,0.0,0.0,0.0,-35,5,14.7,5.4,78.0
9.99,0.0,0.0,0.0,-35,5,14.696,5.6,82.0
10.067,0.0,0.0,0.0,35,5,14.648,13.5,196.0
10.171,0.0,0.0,0.0,35,5,14.668,11.3,168.0
10.249,0.0,0.0,0.0,35,5,14.672,9.1,134.0
10.331,0.0,0.0,0.0,-35,5,14.696,5.0,72.0
10.429,0.0,0.0,0.0,-35,5,14.696,6.7,98.0
10.512,0.0,0.0,0.0,-35,5,14.688,5.7,86.0
10.591,0.0,0.0,0.0,35,5,14.664,11.2,140.0
10.667,0.0,0.0,0.0,35,5,14.668,11.1,164.0
10.744,0.0,0.0,0.0,35,5,14.668,9.4,138.0
10.824,0.0,0.0,0.0,-35,5,14.696,4.6,68.0
10.924,0.0,0.0,0.0,-35,5,14.696,4.8,72.0
11.012,0.0,0.0,0.0,-35,5,14.696,4.6,68.0
11.089,0.0,0.0,0.0,35,5,14.664,9.0,132.0
