t,servo_deg,pend_deg,pend_raw_deg,pwm,mode,v_bus,i_ma,p_mw
0.031,180.176,-71.016,-71.016,0,0,14.752,3.7,56.0
0.073,180.176,-71.016,-71.016,0,0,14.752,3.9,58.0
0.102,180.176,-71.016,-71.016,0,0,14.708,4.8,72.0
0.132,180.176,-71.016,-71.016,0,0,14.752,5.2,76.0
0.153,180.176,-71.016,-71.016,0,0,14.744,5.4,78.0
0.183,180.176,-71.016,-71.016,0,0,14.76,3.6,52.0
0.229,180.176,-71.016,-71.016,0,0,14.744,5.5,82.0
0.283,180.176,-71.016,-71.016,0,0,14.748,6.0,88.0
0.32,180.176,-71.016,-71.016,0,0,14.752,3.4,50.0
0.372,180.176,-71.016,-71.016,0,0,14.752,4.0,58.0
0.413,180.176,-71.016,-71.016,0,0,14.752,4.4,66.0
0.437,180.176,-71.016,-71.016,0,0,14.744,6.7,98.0
0.467,180.176,-71.016,-71.016,0,0,14.744,5.1,76.0
0.496,180.176,-71.016,-71.016,0,0,14.748,3.6,52.0
0.526,180.176,-71.016,-71.016,0,0,14.752,3.8,56.0
0.571,180.176,-71.016,-71.016,0,0,14.748,4.2,62.0
0.604,180.176,-71.016,-71.016,0,0,14.756,3.6,52.0
0.629,180.176,-71.016,-71.016,0,0,14.752,3.9,58.0
0.672,180.176,-71.016,-71.016,0,0,14.748,5.3,78.0
0.702,180.176,-71.016,-71.016,0,0,14.752,3.6,52.0
0.726,180.176,-71.016,-71.016,0,0,14.752,3.7,56.0
0.784,180.176,-71.016,-71.016,0,0,14.744,5.4,78.0
0.819,180.176,-71.016,-71.016,0,0,14.752,3.6,52.0
0.845,180.176,-71.016,-71.016,0,0,14.748,4.9,72.0
0.883,180.176,-71.016,-71.016,0,0,14.752,4.2,62.0
0.927,180.176,-71.016,-71.016,0,0,14.752,5.2,76.0
0.963,180.176,-71.016,-71.016,0,0,14.744,5.4,78.0
0.986,180.176,-71.016,-71.016,0,0,14.752,3.3,50.0
1.011,180.176,-71.016,-71.016,0,0,14.752,-3.2,46.0
1.036,180.176,-71.016,-71.016,0,0,14.744,4.5,66.0
1.063,180.176,-71.016,-71.016,0,0,14.712,10.4,154.0
1.088,180.176,-71.016,-71.016,0,0,14.752,4.8,72.0
1.121,180.176,-71.016,-71.016,0,0,14.74,3.8,56.0
1.151,180.176,-71.016,-71.016,0,0,14.748,4.8,72.0
1.199,180.176,-71.016,-71.016,0,0,14.76,2.9,42.0
1.236,180.176,-71.016,-71.016,0,0,14.756,3.4,50.0
1.293,180.176,-71.016,-71.016,0,0,14.752,5.8,86.0
1.318,180.176,-71.016,-71.016,0,0,14.76,4.1,58.0
1.36,180.176,-71.016,-71.016,0,0,14.748,4.0,58.0
1.384,180.176,-71.016,-71.016,0,0,14.752,4.0,58.0
1.413,180.176,-71.016,-71.016,0,0,14.764,3.5,52.0
1.446,180.176,-71.016,-71.016,0,0,14.752,4.3,62.0
1.484,180.176,-71.016,-71.016,0,0,14.752,5.0,76.0
1.519,180.176,-71.016,-71.016,0,0,14.752,4.3,62.0
1.553,180.176,-71.016,-71.016,0,0,14.744,4.6,68.0
1.601,180.176,-71.016,-71.016,0,0,14.752,4.6,58.0
1.636,180.176,-71.016,-71.016,0,0,14.748,4.7,68.0
1.662,180.176,-71.016,-71.016,0,0,14.748,4.7,68.0
1.691,180.176,-71.016,-71.016,0,0,14.756,4.3,62.0
1.745,180.176,-71.016,-71.016,0,0,14.752,3.4,50.0
1.769,180.176,-71.016,-71.016,0,0,14.744,5.4,66.0
1.801,180.176,-71.016,-71.016,0,0,14.752,4.2,62.0
1.832,180.176,-71.016,-71.016,0,0,14.756,4.7,68.0
1.866,180.176,-71.016,-71.016,0,0,14.752,3.5,52.0
1.901,180.176,-71.016,-71.016,0,0,14.752,2.6,40.0
1.956,180.176,-71.016,-71.016,0,0,14.756,3.5,52.0
1.991,180.176,-71.016,-71.016,0,0,14.732,7.2,104.0
2.031,180.176,-71.016,-71.016,0,0,14.756,4.9,72.0
