t,servo_deg,pend_deg,pend_raw_deg,pwm,mode,v_bus,i_ma,p_mw
0.099,-10.02,-1.758,-1.758,39,5,14.352,118.3,1708.0
0.173,-12.832,-0.879,-0.879,-73,5,14.46,85.1,1232.0
0.244,0.352,19.336,19.336,-75,5,14.46,88.7,1284.0
0.283,19.336,35.508,35.508,-43,5,14.432,96.5,1392.0
0.33,29.004,38.848,38.848,69,5,14.396,106.9,1518.0
0.374,37.617,31.641,31.641,67,5,14.404,99.8,1438.0
0.409,31.992,7.383,7.383,69,5,14.448,95.3,1376.0
0.449,17.578,-26.367,-26.367,72,5,14.388,108.6,1564.0
0.488,6.328,-54.141,-54.141,74,5,14.332,119.0,1708.0
0.519,0.527,-67.148,-67.148,74,5,14.352,116.6,1674.0
0.579,-11.25,-78.398,-78.398,-73,5,14.312,116.4,1658.0
0.628,-21.27,-69.434,-69.434,-71,5,14.48,84.6,1226.0
0.679,-20.566,-41.133,-41.133,-71,5,14.44,88.9,1288.0
0.722,-4.922,0.527,0.527,36,5,14.492,82.1,1190.0
0.751,14.063,45.879,45.879,-76,5,14.452,91.9,1328.0
0.777,20.391,68.027,68.027,24,5,14.412,100.6,1452.0
0.839,26.719,93.516,93.516,-76,5,14.384,109.4,1580.0
0.869,29.355,106.348,106.348,69,5,14.368,114.5,1644.0
0.916,29.883,104.941,104.941,-77,5,14.396,104.8,1510.0
0.986,31.465,96.152,96.152,-77,5,14.4,103.7,1494.0
1.01,29.707,54.141,54.141,69,5,14.408,100.9,1454.0
1.035,20.742,28.477,28.477,-77,5,14.412,103.4,1490.0
1.068,-4.922,-21.094,-21.094,74,5,14.396,106.6,1534.0
1.101,-21.27,-59.766,-59.766,76,5,14.344,121.0,1736.0
1.132,-29.531,-88.945,-88.945,77,5,14.324,125.3,1796.0
1.161,-33.75,-109.863,-109.863,-68,5,14.5,79.2,1146.0
1.193,-34.98,-128.848,-128.848,-67,5,14.516,74.4,1082.0
1.223,-35.332,-140.801,-140.801,97,4,14.044,195.8,2750.0
1.25,-40.605,-146.602,-146.602,96,4,14.072,188.9,2658.0
1.281,-51.68,-142.559,-142.559,93,4,14.108,178.5,2516.0
1.318,-69.609,-126.738,-126.738,89,4,14.244,148.1,2108.0
1.34,-81.562,-110.742,-110.742,85,4,14.224,147.8,2104.0
1.366,-93.867,-88.242,-88.242,82,4,14.232,147.8,2104.0
1.41,-107.402,-47.109,-47.109,77,4,14.308,127.5,1826.0
1.454,-112.852,-6.504,-6.504,75,4,14.288,132.8,1900.0
1.501,-127.969,55.898,55.898,71,4,14.4,104.3,1504.0
1.561,-162.246,108.633,108.633,60,4,14.512,76.6,1110.0
1.59,-153.984,114.082,114.082,62,4,14.464,88.4,1278.0
1.628,-145.723,114.082,114.082,0,4,14.788,5.1,42.0
1.658,-140.098,106.699,106.699,0,4,14.788,4.5,66.0
1.685,-134.297,93.34,93.34,0,4,14.788,4.1,62.0
1.721,-130.078,74.883,74.883,0,4,14.792,4.1,62.0
1.764,-131.133,25.664,25.664,0,4,14.788,4.5,66.0
1.804,-140.098,-12.48,-12.48,0,4,14.784,5.5,46.0
1.84,-143.086,-57.129,-57.129,0,4,14.784,3.6,52.0
1.865,-138.164,-78.926,-78.926,0,4,14.788,4.1,62.0
1.893,-132.187,-92.109,-92.109,0,4,14.788,4.6,68.0
1.927,-124.98,-100.371,-100.371,0,4,14.788,5.4,78.0
1.954,-116.543,-103.008,-103.008,0,4,14.788,5.5,82.0
1.981,-110.391,-99.316,-99.316,0,4,14.788,3.8,56.0
2.008,-104.59,-91.582,-91.582,0,4,14.756,8.9,132.0
2.044,-96.328,-75.059,-75.059,0,4,14.788,4.1,62.0
2.074,-84.375,-50.625,-50.625,0,4,14.788,4.9,72.0
