t,servo_deg,pend_deg,pend_raw_deg,pwm,mode,v_bus,i_ma,p_mw
0.03,-101.074,-39.199,320.098,71,5,14.716,106.7,1570.0
0.062,-114.258,-43.418,315.879,69,5,14.988,19.9,298.0
0.087,-126.387,-43.945,315.352,15,5,15.056,5.2,78.0
0.127,-137.637,-39.727,319.57,-15,5,15.06,4.1,62.0
0.154,-147.48,-28.301,330.996,-2,5,15.064,4.0,58.0
0.198,-153.809,-6.504,352.793,0,5,15.064,4.3,66.0
0.227,-155.918,15.645,374.941,0,5,15.06,3.7,56.0
0.281,-161.367,43.594,402.891,0,5,15.06,3.3,50.0
0.327,-169.629,58.008,417.305,0,5,15.06,3.7,56.0
0.35,-174.199,60.117,419.414,0,5,15.06,3.6,56.0
0.389,-178.945,58.711,418.008,0,5,15.056,3.9,50.0
0.429,-191.25,43.594,402.891,0,5,15.064,3.1,46.0
0.457,-198.281,32.168,391.465,0,5,15.064,3.6,56.0
0.505,-213.223,7.91,367.207,0,5,15.06,3.8,50.0
0.558,-201.621,3.34,362.637,0,5,15.06,3.3,50.0
0.586,-193.008,4.043,363.34,0,5,15.06,3.6,56.0
0.628,-184.922,4.746,364.043,0,5,15.064,3.3,50.0
0.658,-173.496,5.273,364.57,0,5,15.064,3.3,50.0
0.696,-166.289,5.098,364.395,0,5,15.056,3.3,50.0
0.733,-154.687,3.691,362.988,0,5,15.06,2.9,42.0
0.762,-147.48,2.285,361.582,-1,5,15.06,3.2,50.0
0.793,-140.273,0.527,359.824,20,5,15.056,4.9,76.0
0.824,-134.121,-0.879,358.418,33,5,15.056,4.9,76.0
0.873,-123.926,-4.219,355.078,-35,5,14.852,65.5,974.0
0.92,-120.762,-11.602,347.695,-40,5,14.756,94.1,1390.0
0.954,-121.641,-17.578,341.719,-38,5,14.976,22.8,340.0
0.978,-123.574,-22.676,336.621,58,5,14.824,73.2,1084.0
1.004,-125.684,-25.488,333.809,-32,5,14.876,57.8,862.0
1.034,-127.969,-26.191,333.105,14,5,15.06,4.0,58.0
