sp,attempt,t,servo_deg,pend_deg,mode,pwm,v_bus
45,1,0.036,1.05,1.05,5,-44,0.000
45,1,0.186,-0.88,-3.16,5,44,0.000
45,1,0.319,-18.11,-13.54,5,-44,0.000
45,1,0.464,-12.13,17.40,5,-44,0.000
45,1,0.588,-21.80,4.75,5,44,0.000
45,1,0.710,-45.18,-29.36,5,-24,0.000
45,1,0.835,-27.77,12.48,5,-44,0.000
45,1,0.958,-14.77,33.93,5,44,0.000
45,1,1.099,-44.47,-30.59,5,31,0.000
45,1,1.229,-37.79,-20.74,5,-43,0.000
45,1,1.358,-1.76,42.72,5,-44,0.000
45,1,1.482,-16.52,3.87,5,44,0.000
45,1,1.610,-45.70,-52.91,5,-42,0.000
45,1,1.738,-25.66,1.93,5,-44,0.000
45,1,1.862,-3.52,55.72,5,0,0.000
45,1,1.988,-30.59,-2.81,5,44,0.000
45,1,2.129,-56.07,-57.83,5,-41,0.000
45,1,2.281,-13.18,35.33,5,-44,0.000
45,1,2.460,-9.84,32.87,5,44,0.000
45,1,2.590,-52.56,-61.00,5,6,0.000
45,1,2.743,-37.44,-21.62,5,-43,0.000
45,1,2.879,2.46,64.16,5,-44,0.000
45,1,3.016,-17.75,10.55,5,44,0.000
45,1,3.157,-53.97,-68.56,5,-13,0.000
45,1,3.297,-22.50,10.90,5,-44,0.000
45,1,3.426,0.18,69.43,5,-45,0.000
45,1,3.570,-21.62,10.72,5,44,0.000
45,1,3.713,-57.13,-71.54,5,-41,0.000
45,1,3.835,-28.30,1.93,5,-44,0.000
45,1,3.962,-1.41,69.26,5,-44,0.000
45,1,4.095,-22.68,12.83,5,44,0.000
45,1,4.217,-59.24,-69.43,5,-11,0.000
45,1,4.349,-48.69,-34.28,5,-42,0.000
45,1,4.472,-4.22,65.04,5,-44,0.000
45,1,4.593,-5.45,49.75,5,44,0.000
45,1,4.727,-53.61,-55.37,5,3,0.000
45,1,4.865,-54.14,-59.24,5,-41,0.000
45,1,4.995,-6.15,48.34,5,-44,0.000
45,1,5.175,-9.32,34.28,5,44,0.000
45,1,5.306,-56.43,-68.73,5,-2,0.000
45,1,5.513,-19.16,22.32,5,-44,0.000
45,1,5.731,-7.73,45.53,5,44,0.000
45,1,5.885,-59.94,-71.37,5,-12,0.000
45,1,6.010,-52.73,-43.95,5,-42,0.000
