sp,attempt,t,pend_deg,mode,pwm,v_bus
58,1,0.044,-19.34,5,57,14.756
58,1,0.282,46.41,5,-57,14.876
58,1,0.521,-49.22,5,-20,15.008
58,1,0.774,63.98,5,-57,14.868
58,1,1.011,-54.14,5,57,14.744
58,1,1.236,-47.64,5,-56,14.888
58,1,1.479,113.38,5,57,14.744
58,1,1.750,-108.81,5,-53,15.016
58,1,1.989,-77.87,5,-51,14.944
58,1,2.293,139.75,5,57,14.720
58,1,2.522,-43.07,5,57,14.780
58,1,2.747,-169.10,4,22,15.008
58,1,2.973,-220.96,4,20,15.016
58,1,3.225,-81.21,5,-39,15.008
58,1,3.465,-59.77,5,-43,15.000
58,1,3.725,163.83,4,-24,15.012
58,1,3.958,-13.36,4,-24,15.012
58,1,4.196,-91.41,4,-66,14.712
58,1,4.430,40.25,4,6,15.012
58,1,4.655,-18.11,4,66,14.640
58,1,4.889,51.85,4,50,15.008
58,1,5.133,53.79,4,42,14.920
58,1,5.372,-4.39,4,20,15.012
58,1,5.628,26.72,4,58,14.744
58,1,5.908,28.83,4,21,15.008
58,1,6.141,45.53,4,42,14.916
58,1,6.417,13.36,4,44,14.912
58,1,6.645,22.50,4,44,14.912
58,1,6.868,27.60,4,42,14.924
58,1,7.104,29.88,4,41,14.936
58,1,7.357,22.85,4,41,14.932
58,1,7.623,28.83,4,41,14.936
58,1,7.847,22.50,4,41,14.932
58,1,8.095,28.65,4,41,14.936
58,1,8.382,23.73,4,41,14.928
58,1,8.610,27.77,4,41,14.932
58,1,8.843,24.96,4,41,14.932
58,1,9.070,24.96,4,41,14.928
58,1,9.300,27.77,4,41,14.932
58,1,9.526,23.03,4,41,14.932
58,1,9.768,27.77,4,41,14.932
58,1,10.043,23.55,4,41,14.932
58,1,10.280,26.54,4,41,14.936
58,1,10.511,26.02,4,41,14.932
58,1,10.789,25.14,4,41,14.936
58,1,11.012,27.42,4,41,14.932
58,1,11.248,23.55,4,41,14.932
58,1,11.477,27.60,4,41,14.932
58,1,11.815,23.55,4,41,14.932
58,1,12.049,27.42,4,41,14.932
58,1,12.324,23.91,4,41,14.932
58,1,12.550,26.19,4,41,14.932
58,1,12.798,25.84,4,41,14.936
58,1,13.034,24.61,4,41,14.932
58,1,13.281,27.42,4,41,14.932
58,1,13.503,23.91,4,41,14.932
58,1,13.735,26.72,4,41,14.932
58,1,13.957,25.31,4,41,14.932
58,1,14.189,24.96,4,41,14.924
58,1,14.473,26.54,4,41,14.936
58,1,14.714,24.43,4,41,14.936
58,1,14.990,26.89,4,41,14.932
58,1,15.220,24.43,4,41,14.936
58,1,15.470,26.72,4,41,14.932
58,1,15.839,24.43,4,41,14.928
58,1,16.077,26.72,4,41,14.932
58,1,16.307,24.79,4,41,14.928
58,1,16.533,26.02,4,41,14.932
58,1,16.775,25.84,4,41,14.936
58,1,17.014,24.96,4,41,14.932
58,1,17.237,26.54,4,41,14.936
58,1,17.464,24.96,4,41,14.924
58,1,17.691,26.02,4,41,14.932
58,1,17.922,25.66,4,41,14.936
58,1,18.162,25.14,4,41,14.936
58,1,18.396,26.37,4,41,14.936
58,1,18.663,25.14,4,41,14.936
58,1,18.898,26.19,4,41,14.928
58,1,19.125,25.31,4,41,14.928
58,1,19.351,25.66,4,41,14.932
58,1,19.574,26.02,4,41,14.936
58,1,19.803,25.31,4,41,14.932
58,1,20.035,26.02,4,41,14.932
58,1,20.268,25.49,4,41,14.932
58,1,20.513,25.66,4,41,14.928
58,1,20.743,25.84,4,41,14.936
58,1,20.980,25.49,4,41,14.928
58,1,21.223,25.84,4,41,14.936
58,1,21.445,25.66,4,41,14.932
58,1,21.670,25.66,4,41,14.932
58,1,21.900,25.66,4,41,14.936
58,1,22.153,25.66,4,41,14.932
58,1,22.379,25.66,4,41,14.928
58,1,22.621,25.66,4,41,14.932
58,1,22.849,25.66,4,41,14.936
58,1,23.077,25.66,4,41,14.932
58,1,23.410,25.66,4,41,14.932
58,1,23.688,25.66,4,41,14.932
58,1,23.951,25.66,4,41,14.932
58,1,24.176,25.66,4,41,14.932
58,1,24.510,25.66,4,41,14.932
58,1,24.743,25.66,4,41,14.932
