attempt,t,pend_deg,mode,pwm,v_bus
1,0.039,-14.94,5,-59,0.000
1,0.272,32.52,5,57,0.000
1,0.521,-57.48,5,-58,0.000
1,0.754,86.31,5,49,0.000
1,0.986,-76.99,5,-55,0.000
1,1.214,0.88,5,-58,0.000
1,1.441,94.39,5,59,0.000
1,1.661,-65.74,5,-52,0.000
1,1.911,59.94,5,59,0.000
1,2.132,-27.60,5,-56,0.000
1,2.356,18.63,5,59,0.000
1,2.577,-38.32,5,-59,0.000
1,2.801,55.20,5,59,0.000
1,3.033,-70.49,5,-54,0.000
1,3.273,83.67,5,11,0.000
1,3.494,-34.98,5,-56,0.000
1,3.735,-8.26,5,-58,0.000
1,3.955,58.18,5,59,0.000
1,4.259,3.87,5,-58,0.000
1,4.506,9.14,5,-58,0.000
1,4.733,13.71,5,-59,0.000
1,4.977,-23.03,5,-10,0.000
1,5.235,41.13,5,-18,0.000
1,5.475,-34.80,5,-55,0.000
1,5.698,-10.02,5,-57,0.000
1,5.972,31.11,5,5,0.000
1,6.235,-14.59,5,-56,0.000
1,6.464,47.28,5,49,0.000
1,6.694,-30.23,5,-56,0.000
1,6.942,18.63,5,59,0.000
1,7.183,-7.21,5,-59,0.000
1,7.419,22.85,5,59,0.000
1,7.676,-22.32,5,-57,0.000
1,7.897,69.43,5,59,0.000
1,8.124,-61.88,5,-54,0.000
1,8.349,71.54,5,59,0.000
1,8.662,-44.82,5,-55,0.000
1,8.897,53.44,5,59,0.000
1,9.148,-40.08,5,-56,0.000
1,9.382,52.73,5,59,0.000
1,9.608,-59.06,5,-55,0.000
1,9.836,74.71,5,59,0.000
1,10.103,-62.75,5,-54,0.000
1,10.348,74.00,5,59,0.000
1,10.603,-55.20,5,-54,0.000
1,10.855,64.16,5,59,0.000
1,11.078,-51.85,5,-55,0.000
1,11.313,61.35,5,59,0.000
1,11.572,-56.78,5,-55,0.000
1,11.802,66.80,5,59,0.000
1,12.061,-58.01,5,-55,0.000
1,12.294,61.00,5,54,0.000
1,12.536,-37.09,5,-56,0.000
1,12.787,43.59,5,9,0.000
1,13.032,-32.52,5,-56,0.000
1,13.307,51.85,5,42,0.000
1,13.529,-44.12,5,-56,0.000
1,13.781,53.44,5,30,0.000
1,14.034,-46.76,5,-56,0.000
1,14.289,55.37,5,35,0.000
1,14.527,-38.50,5,-56,0.000
1,14.811,62.40,5,59,0.000
1,15.062,-48.52,5,-55,0.000
1,15.285,49.04,5,28,0.000
1,15.518,-30.41,5,-57,0.000
1,15.755,37.44,5,-22,0.000
1,16.010,-17.75,5,-58,0.000
1,16.236,20.39,5,-59,0.000
1,16.458,19.16,5,41,0.000
1,16.691,-24.43,5,-57,0.000
1,16.929,53.61,5,59,0.000
1,17.153,-46.58,5,-55,0.000
1,17.404,58.01,5,59,0.000
1,17.625,-52.91,5,-55,0.000
1,17.858,67.32,5,59,0.000
1,18.092,-58.01,5,-55,0.000
1,18.312,65.92,5,59,0.000
1,18.534,-45.70,5,-55,0.000
1,18.810,64.69,5,59,0.000
1,19.062,-47.46,5,-55,0.000
1,19.323,64.51,5,59,0.000
1,19.561,-51.50,5,-55,0.000
1,19.786,53.26,5,41,0.000
1,20.047,-46.05,5,-56,0.000
1,20.274,48.34,5,19,0.000
1,20.518,-21.62,5,-57,0.000
1,20.746,29.88,5,-59,0.000
1,20.979,3.52,5,-9,0.000
1,21.222,-10.20,5,-58,0.000
1,21.454,29.36,5,59,0.000
1,21.691,-31.82,5,-56,0.000
1,21.940,42.36,5,60,0.000
