t,th,al,pwm,mode
0.0427,-0.7,-0.7,63,7
0.0843,-7.56,-7.73,56,7
0.1562,-29.53,-26.02,95,7
0.2032,-48.16,-36.21,4,7
0.2522,-59.24,-33.75,-70,7
0.301,-54.84,-7.03,-146,7
0.3439,-30.94,37.62,-162,7
0.4179,-2.64,91.58,-13,7
0.469,16.0,116.19,89,7
0.5559,29.0,117.25,47,7
0.6103,31.82,96.68,-48,7
0.6685,29.0,53.97,-38,7
0.714,5.62,-10.55,64,7
0.7691,-12.48,-37.97,27,7
0.8161,-13.71,-70.66,112,7
0.8803,-23.38,-88.42,95,7
0.9343,-41.84,-76.29,-18,7
0.9834,-55.9,-47.11,-118,7
1.0342,-48.87,7.91,-147,7
1.0917,-7.91,101.6,92,7
1.1367,-4.57,149.41,85,7
1.1847,-17.05,194.06,-18,7
1.2288,-31.29,229.75,-26,7
1.2789,-39.9,271.41,4,7
1.3293,-38.5,312.54,0,7
1.3754,-15.64,380.74,-40,7
1.4501,20.21,472.15,103,7
1.5176,6.5,531.56,-48,7
1.5715,-5.1,550.9,-118,7
1.6204,1.23,544.04,-40,7
1.6623,8.96,528.05,121,7
1.7051,10.9,507.48,-5,7
1.7473,10.2,476.54,-54,7
1.7982,-0.35,421.17,-72,7
1.8393,-17.05,366.86,100,7
1.8845,-22.85,323.09,97,7
1.9467,-24.08,293.56,128,7
1.999,-33.22,279.32,-4,7
2.0417,-43.59,287.58,1,7
2.0888,-52.21,309.02,-77,7
2.1393,-50.27,349.98,-145,7
2.1844,-12.66,424.69,-69,7
2.2368,9.32,494.65,125,7
2.2898,3.16,544.39,-8,7
2.3333,-12.48,587.28,18,7
2.4084,-25.66,658.12,50,7
2.4571,-13.89,720.7,-7,7
2.5135,23.03,812.81,94,7
2.566,20.39,862.03,77,7
2.6174,4.75,893.32,-40,7
2.6678,-8.44,908.79,-115,7
2.7138,-3.69,901.41,-5,7
2.7665,3.16,883.48,32,7
2.8344,4.39,829.69,-61,7
2.882,-12.13,768.87,-84,7
2.9254,-17.75,722.28,132,7
2.9837,-13.71,684.32,126,7
3.0437,-14.06,670.78,152,7
3.0867,-25.66,674.3,113,7
3.1279,-37.09,693.63,-128,7
3.1687,-36.74,726.33,-160,7
3.2337,-1.41,800.86,-63,7
3.2794,16.0,873.28,89,7
3.3271,7.21,910.72,37,7
3.3716,-7.38,939.73,43,7
3.4257,-22.68,964.34,-82,7
3.4744,-34.63,997.38,48,7
3.5177,-39.55,1030.08,-9,7
3.5887,-27.6,1093.71,-131,7
3.6352,25.14,1196.19,136,7
3.6836,28.12,1244.53,104,7
3.7395,4.92,1300.43,60,7
3.7872,-23.03,1340.16,-75,7
3.8692,-34.45,1396.76,-69,7
3.928,4.04,1501.35,10,7
3.9728,16.35,1547.58,65,7
4.0252,6.15,1595.21,-22,7
4.0671,-10.02,1626.15,-70,7
4.113,-17.58,1648.83,-47,7
4.1682,-21.97,1684.34,87,7
4.2099,-24.96,1717.21,111,7
4.2807,-6.5,1808.96,-9,7
4.3282,8.96,1844.3,-113,7
4.3875,5.45,1844.3,-124,7
4.4452,6.15,1844.3,-101,7
4.5065,24.43,1840.25,61,7
4.5782,36.21,1822.32,104,7
4.6327,32.52,1799.3,126,7
4.6786,12.48,1757.64,139,7
4.726,-31.99,1719.14,-131,7
4.8045,-76.82,1662.01,-81,7
4.8497,-75.41,1662.19,-111,7
4.9011,-59.59,1683.28,37,7
4.9441,-39.2,1712.81,152,7
4.9953,-38.15,1722.31,49,7
5.0501,-45.35,1722.66,-40,7
5.1029,-51.15,1721.95,18,7
5.1649,-56.25,1720.37,25,7
5.2086,-58.53,1719.32,30,7
5.2761,-59.41,1718.79,32,7
5.3204,-60.82,1716.68,33,7
5.3714,-61.17,1715.62,40,7
5.4148,-62.23,1713.69,32,7
5.5111,-64.16,1711.93,42,7
5.5547,-66.09,1711.41,17,7
5.5993,-66.27,1713.52,61,7
5.6501,-69.78,1713.16,12,7
5.7156,-70.49,1716.68,51,7
5.7595,-73.3,1718.61,16,7
5.8077,-73.65,1721.07,29,7
5.8597,-73.65,1722.66,28,7
5.9208,-73.65,1721.95,26,7
5.9724,-72.77,1719.84,33,7
6.0252,-72.25,1716.86,30,7
6.102,-72.42,1710.35,41,7
6.1689,-74.0,1706.48,37,7
6.2243,-75.41,1707.01,49,7
6.276,-78.22,1709.3,22,7
6.3197,-77.52,1715.62,48,7
6.3609,-77.69,1721.25,28,7
6.4052,-77.69,1725.82,27,7
6.4661,-77.87,1728.28,18,7
6.5143,-78.22,1726.7,12,7
6.5906,-78.22,1718.79,12,7
6.6469,-76.47,1713.16,54,7
6.6892,-77.52,1707.19,-23,7
6.7296,-77.69,1704.2,12,7
6.774,-75.59,1705.61,87,7
6.823,-78.93,1704.38,-48,7
6.8648,-78.05,1709.65,32,7
6.9158,-76.82,1717.38,39,7
