t_s,mode,position_deg,setpoint_deg,pend_position_deg,pwm,v_bus,i_ma
0.0,2,2.021,25.0,4.219,-62,14.84,26.3
0.09,2,13.799,25.0,-7.559,-14,14.748,49.4
0.172,2,18.193,25.0,-4.746,-17,14.832,27.9
0.263,2,17.666,25.0,5.273,-22,14.792,37.7
0.34,2,19.951,25.0,9.316,-8,14.792,37.7
0.441,2,28.916,25.0,-0.703,19,14.808,32.2
0.538,2,31.201,25.0,-4.395,19,14.808,32.2
0.612,2,28.564,25.0,-0.352,4,14.808,33.6
0.689,2,25.576,25.0,4.395,0,14.832,27.3
0.767,2,25.225,25.0,2.988,0,14.836,27.9
0.86,2,25.752,25.0,-2.109,2,14.84,27.6
0.95,2,24.521,25.0,-3.164,0,14.772,24.5
1.028,2,21.006,25.0,0.176,-16,14.772,24.5
1.122,2,19.072,25.0,1.934,-18,14.828,28.5
1.216,2,19.424,25.0,-0.176,-15,14.812,30.6
1.301,2,19.424,25.0,-1.406,-16,14.82,28.4
1.372,2,19.248,25.0,-1.23,-17,14.82,31.2
1.462,2,19.072,25.0,-0.352,-17,14.828,30.2
1.535,2,19.072,25.0,0.703,-18,14.828,30.2
1.611,2,19.424,25.0,1.23,-16,14.824,28.6
1.688,2,20.127,25.0,0.703,-14,14.832,28.5
1.792,2,20.127,25.0,0.176,-15,14.828,28.7
1.875,2,20.127,25.0,-0.352,-15,14.824,29.1
1.956,2,20.127,25.0,-0.352,-15,14.824,28.3
2.031,2,20.127,25.0,-0.176,-15,14.824,28.3
2.117,2,20.127,25.0,0.352,-16,14.82,29.7
2.191,2,20.127,25.0,0.703,-16,14.824,29.4
2.274,2,20.127,25.0,0.527,-16,14.828,29.7
2.353,2,20.127,25.0,0.176,-16,14.824,27.9
2.426,2,20.127,25.0,-0.176,-16,14.824,27.9
2.517,2,20.127,25.0,-0.352,-17,14.8,32.9
2.618,2,20.127,25.0,0.0,-17,14.804,32.5
2.688,2,20.127,25.0,0.352,-17,14.824,30.0
2.79,2,20.127,25.0,0.527,-17,14.824,29.4
2.884,2,20.127,25.0,0.352,-17,14.824,30.1
2.986,2,20.127,25.0,-0.176,-18,14.824,31.7
3.094,2,20.127,25.0,-0.352,-18,14.816,31.6
3.183,2,20.127,25.0,0.0,-18,14.816,31.1
3.258,2,20.127,25.0,0.352,-18,14.82,31.2
3.342,2,20.127,25.0,0.527,-18,14.82,31.2
3.416,2,20.127,25.0,0.352,-19,14.796,30.6
3.491,2,20.127,25.0,0.176,-19,14.812,32.7
3.595,2,20.127,25.0,-0.176,-19,14.816,32.9
3.672,2,20.127,25.0,-0.176,-19,14.812,32.6
3.752,2,20.127,25.0,0.0,-19,14.812,33.1
3.86,2,20.127,25.0,0.352,-20,14.812,34.1
3.968,2,20.127,25.0,0.352,-20,14.812,34.2
0.0,2,16.611,0.0,3.691,38,14.812,34.4
0.102,2,9.58,0.0,7.734,16,14.756,45.2
0.174,2,7.471,0.0,1.582,18,14.82,31.6
0.25,2,6.24,0.0,-6.504,15,14.816,32.9
0.341,2,1.143,0.0,-6.152,-1,14.828,27.6
0.422,2,-5.186,0.0,0.527,-27,14.828,27.6
0.501,2,-7.998,0.0,3.164,-25,14.78,43.2
0.574,2,-6.24,0.0,-0.527,-13,14.82,32.3
0.649,2,-4.482,0.0,-4.043,-9,14.836,27.8
0.746,2,-5.361,0.0,-1.055,-16,14.828,28.8
0.838,2,-5.186,0.0,1.582,-14,14.836,27.7
0.919,2,-3.779,0.0,1.934,-7,14.836,27.7
0.99,2,-1.494,0.0,0.352,-1,14.836,28.2
1.072,2,0.088,0.0,-0.879,0,14.836,28.1
1.147,2,0.264,0.0,-0.352,0,14.844,27.3
1.226,2,0.264,0.0,0.879,0,14.844,27.3
1.296,2,0.264,0.0,1.406,0,14.832,27.4
1.367,2,0.439,0.0,1.055,0,14.84,27.0
1.44,2,0.439,0.0,0.352,0,14.84,26.9
1.514,2,0.439,0.0,-0.703,0,14.84,26.9
1.595,2,0.264,0.0,-1.055,0,14.828,27.8
1.675,2,0.264,0.0,-0.527,0,14.84,27.8
1.755,2,0.264,0.0,0.352,0,14.84,27.5
1.843,2,0.264,0.0,1.055,0,14.836,27.5
1.917,2,0.264,0.0,0.879,0,14.844,27.3
2.021,2,0.264,0.0,0.176,0,14.844,27.3
2.098,2,0.264,0.0,-0.703,0,14.836,28.1
2.187,2,0.264,0.0,-0.879,0,14.836,28.3
2.26,2,0.264,0.0,-0.176,0,14.844,27.6
2.356,2,0.264,0.0,0.527,0,14.844,27.5
2.44,2,0.264,0.0,0.879,0,14.844,26.3
2.543,2,0.264,0.0,0.352,0,14.84,27.0
2.647,2,0.264,0.0,-0.352,0,14.824,29.3
2.721,2,0.264,0.0,-0.703,0,14.832,27.0
2.837,2,0.264,0.0,-0.352,0,14.796,31.7
2.914,2,0.264,0.0,0.352,0,14.796,31.7
2.995,2,0.264,0.0,0.879,0,14.84,27.2
3.068,2,0.264,0.0,0.879,0,14.84,27.9
3.166,2,0.264,0.0,0.176,0,14.84,27.8
3.25,2,0.264,0.0,-0.527,0,14.84,27.0
3.362,2,0.264,0.0,-0.527,0,14.844,27.8
3.438,2,0.264,0.0,0.0,0,14.832,27.8
3.516,2,0.264,0.0,0.527,0,14.832,27.1
3.594,2,0.264,0.0,0.703,0,14.832,27.1
3.667,2,0.264,0.0,0.527,0,14.84,27.4
3.768,2,0.264,0.0,0.0,0,14.844,27.2
3.863,2,0.264,0.0,-0.527,0,14.844,27.3
3.972,2,0.264,0.0,-0.176,0,14.844,27.1
