t_s,mode,position_deg,setpoint_deg,pend_position_deg,pwm,v_bus,i_ma
0.0,3,0.264,0.0,0.703,0,14.84,27.9
0.098,3,0.264,0.0,0.527,0,14.832,27.1
0.173,3,0.264,0.0,0.176,0,14.832,27.1
0.257,3,0.264,0.0,-0.352,0,14.832,28.3
0.356,3,0.264,0.0,-0.352,0,14.84,28.3
0.433,3,0.264,0.0,0.0,0,14.84,27.5
0.507,3,0.264,0.0,0.352,0,14.844,27.7
0.587,3,0.264,0.0,0.703,0,14.844,27.7
0.663,3,0.264,0.0,0.527,0,14.84,26.7
0.738,3,0.264,0.0,0.176,0,14.84,27.5
0.815,3,0.264,0.0,-0.352,0,14.84,27.5
0.89,3,0.264,0.0,-0.352,0,14.84,27.9
0.982,3,0.264,0.0,-0.176,0,14.84,27.9
1.056,3,0.264,0.0,0.176,0,14.828,25.7
1.13,3,0.264,0.0,0.527,0,14.84,27.5
1.208,3,0.264,0.0,0.527,0,14.836,27.6
1.287,3,0.264,0.0,0.176,0,14.836,27.6
1.361,3,0.264,0.0,0.0,0,14.844,26.7
1.431,3,0.264,0.0,-0.352,0,14.836,27.7
1.507,3,0.264,0.0,-0.352,0,14.844,27.4
1.585,3,0.264,0.0,0.176,0,14.84,27.9
1.702,3,0.264,0.0,0.352,0,14.844,27.8
1.782,3,0.264,0.0,0.352,0,14.844,27.8
1.868,3,-2.9,0.0,3.164,55,14.832,28.1
1.982,3,-45.615,0.0,8.438,55,14.616,83.5
2.223,3,-72.158,0.0,-6.328,55,14.62,82.2
2.327,3,-98.701,0.0,-7.559,55,14.628,81.2
2.415,3,-132.1,0.0,-3.867,55,14.58,83.2
2.523,3,-134.736,0.0,-3.691,55,14.604,86.6
2.61,3,-133.857,0.0,6.68,55,14.612,86.8
2.73,3,-127.354,0.0,4.043,55,14.592,85.8
2.828,3,-125.947,0.0,-0.352,55,14.588,90.4
2.905,3,-129.639,0.0,0.0,55,14.616,85.0
3.0,3,-134.736,0.0,-0.879,55,14.612,85.7
3.097,3,-135.088,0.0,-5.449,55,14.616,85.9
3.188,3,-130.693,0.0,-7.207,-55,14.652,76.7
3.289,3,-124.365,0.0,-4.219,55,14.596,89.4
3.378,3,-130.693,0.0,14.238,55,14.608,86.1
3.49,3,-128.232,0.0,6.152,55,14.608,86.7
3.588,3,-127.178,0.0,-5.449,55,14.608,86.7
3.661,3,-132.803,0.0,-7.383,55,14.612,85.1
3.738,3,-134.209,0.0,-4.746,55,14.612,86.5
3.814,3,-135.088,0.0,0.703,55,14.608,85.9
3.905,3,-134.561,0.0,3.516,-55,14.612,86.2
3.994,3,-119.971,0.0,-11.602,-55,14.644,74.2
4.083,3,-100.635,0.0,-24.434,-55,14.644,74.2
4.166,3,-85.693,0.0,-18.281,-55,14.632,75.5
4.258,3,-70.049,0.0,3.164,-55,14.62,78.0
4.331,3,-49.834,0.0,13.008,-55,14.656,74.3
4.407,3,-21.357,0.0,7.559,-55,14.676,71.5
4.483,3,11.162,0.0,-6.328,-55,14.676,71.5
4.555,3,49.307,0.0,-20.039,-55,14.668,71.5
4.634,3,82.002,0.0,-21.797,-55,14.664,72.8
4.719,3,115.4,0.0,-10.195,-55,14.664,72.5
4.806,3,134.033,0.0,4.746,-55,14.628,78.2
4.891,3,134.561,0.0,0.352,-55,14.64,78.8
5.029,3,124.541,0.0,3.516,-55,14.62,84.4
5.114,3,123.135,0.0,-1.934,-55,14.636,79.0
5.21,3,130.518,0.0,-14.766,-55,14.64,77.9
5.296,3,133.682,0.0,-5.273,-55,14.636,78.8
5.412,3,134.385,0.0,4.57,-55,14.636,78.3
5.497,3,134.561,0.0,0.527,-55,14.636,78.2
5.582,3,127.881,0.0,2.285,55,14.636,78.2
5.663,3,107.49,0.0,14.766,55,14.596,85.6
5.739,3,85.342,0.0,18.457,55,14.616,81.5
5.829,3,52.295,0.0,6.328,55,14.604,83.7
5.958,3,11.514,0.0,-1.055,45,14.6,83.1
6.05,3,-25.049,0.0,-4.57,-45,14.752,38.4
6.14,3,-47.021,0.0,-18.809,-55,14.612,82.7
6.233,3,-59.326,0.0,-26.367,-55,14.62,80.9
6.333,3,-66.709,0.0,-13.711,-55,14.608,81.8
6.428,3,-64.072,0.0,-0.703,-55,14.628,78.0
6.502,3,-44.736,0.0,-1.406,-55,14.636,74.2
6.604,3,-18.896,0.0,-10.195,-45,14.7,57.7
6.677,3,2.9,0.0,-11.074,0,14.7,57.7
6.753,3,16.611,0.0,11.953,45,14.66,70.8
6.855,3,21.357,0.0,29.18,45,14.656,70.3
6.948,3,29.092,0.0,19.336,45,14.66,69.4
7.031,3,35.068,0.0,-2.461,55,14.588,87.8
7.131,3,17.139,0.0,-2.813,45,14.608,83.1
7.224,3,-15.908,0.0,11.602,-45,14.816,29.0
7.349,3,-20.654,0.0,-2.285,-45,14.68,63.4
7.419,3,-19.951,0.0,-19.863,-45,14.648,56.1
7.489,3,-22.061,0.0,-23.203,-45,14.648,56.1
7.562,3,-28.916,0.0,-4.922,-45,14.684,62.9
7.656,3,-28.037,0.0,9.141,-45,14.688,62.0
7.739,3,-14.854,0.0,3.867,-45,14.704,60.3
7.817,3,10.283,0.0,-11.074,45,14.824,27.5
7.938,3,10.811,0.0,3.34,45,14.66,68.9
8.015,3,4.131,0.0,23.379,0,14.668,65.6
8.109,3,8.701,0.0,8.438,45,14.664,68.4
8.228,3,8.174,0.0,-8.086,45,14.668,67.5
8.3,3,-3.076,0.0,-7.031,0,14.816,27.6
8.38,3,-16.963,0.0,-0.527,-45,14.816,27.6
8.47,3,-19.6,0.0,-3.164,-45,14.688,61.8
8.544,3,-16.436,0.0,-9.668,-45,14.688,61.6
8.633,3,-13.271,0.0,-9.141,-45,14.692,61.2
8.707,3,-9.932,0.0,-3.516,-45,14.692,60.7
8.863,3,5.713,0.0,4.57,45,14.824,26.8
8.944,3,9.229,0.0,8.965,45,14.664,69.5
9.029,3,7.822,0.0,11.25,45,14.672,67.4
9.101,3,3.955,0.0,7.734,0,14.74,40.5
9.202,3,1.846,0.0,-7.031,0,14.82,27.8
9.299,3,-4.834,0.0,-8.613,0,14.824,27.3
9.392,3,-10.986,0.0,-2.109,-45,14.824,27.3
9.466,3,-8.877,0.0,-2.109,-45,14.648,56.5
9.587,3,-2.373,0.0,-5.977,0,14.648,56.5
9.675,3,1.67,0.0,0.176,0,14.832,27.8
9.764,3,2.197,0.0,7.031,0,14.812,28.8
9.841,3,5.186,0.0,7.383,45,14.824,27.8
9.919,3,3.955,0.0,4.746,0,14.668,67.1
10.039,3,1.494,0.0,0.176,0,14.832,27.5
10.119,3,-0.264,0.0,-5.098,0,14.828,28.3
10.194,3,-4.834,0.0,-4.043,0,14.828,27.6
10.288,3,-7.119,0.0,-1.758,-45,14.692,61.2
10.389,3,-2.197,0.0,-3.691,0,14.832,27.8
10.498,3,-1.67,0.0,1.055,0,14.832,27.8
10.572,0,-0.967,0.0,5.098,0,14.824,27.1
10.657,0,1.67,0.0,3.34,0,14.82,27.6
10.736,0,5.01,0.0,-1.582,0,14.828,27.6
10.827,0,5.361,0.0,-2.285,0,14.824,27.6
10.911,0,3.955,0.0,0.703,0,14.824,26.5
10.982,0,3.252,0.0,2.637,0,14.824,26.5
11.058,0,3.604,0.0,1.758,0,14.816,27.5
11.128,0,4.131,0.0,0.0,0,14.832,27.0
11.206,0,3.779,0.0,-1.23,0,14.824,28.0
11.281,0,3.076,0.0,-0.879,0,14.824,28.0
11.363,0,2.197,0.0,0.176,0,14.816,27.4
11.456,0,2.021,0.0,0.352,0,14.816,27.9
11.538,0,2.021,0.0,0.352,0,14.828,27.3
11.626,0,2.021,0.0,0.0,0,14.828,27.4
11.708,0,2.021,0.0,-0.176,0,14.816,29.1
11.785,0,2.021,0.0,-0.176,0,14.816,29.1
11.871,0,2.021,0.0,0.176,0,14.82,27.9
11.975,0,2.021,0.0,0.352,0,14.828,26.9
12.053,0,2.021,0.0,0.352,0,14.82,27.3
12.13,0,2.021,0.0,0.176,0,14.828,26.7
12.22,0,2.021,0.0,0.0,0,14.828,27.9
12.325,0,2.021,0.0,-0.176,0,14.82,27.6
12.399,0,2.021,0.0,0.0,0,14.82,27.6
12.477,0,2.021,0.0,0.176,0,14.828,27.0
12.579,0,2.021,0.0,0.352,0,14.832,26.4
12.655,0,2.021,0.0,0.352,0,14.828,27.9
12.729,0,2.021,0.0,0.176,0,14.828,27.5
12.805,0,2.021,0.0,0.0,0,14.828,27.3
12.907,0,2.021,0.0,0.0,0,14.832,27.3
13.022,0,2.021,0.0,0.0,0,14.828,27.3
13.091,0,2.021,0.0,0.176,0,14.828,27.3
13.18,0,2.021,0.0,0.176,0,14.824,27.6
13.262,0,2.021,0.0,0.176,0,14.832,27.6
13.343,0,2.021,0.0,0.0,0,14.828,27.8
13.436,0,2.021,0.0,0.0,0,14.824,27.3
13.522,0,2.021,0.0,0.0,0,14.828,27.1
13.618,0,2.021,0.0,0.176,0,14.824,27.6
13.722,0,2.021,0.0,0.176,0,14.832,27.8
13.795,0,2.021,0.0,0.176,0,14.828,28.1
13.896,0,2.021,0.0,0.0,0,14.828,28.1
13.978,0,2.021,0.0,0.0,0,14.828,28.0
14.081,0,2.021,0.0,0.0,0,14.824,24.4
14.176,0,2.021,0.0,0.176,0,14.824,26.7
14.28,0,2.021,0.0,0.176,0,14.828,26.8
14.354,0,2.021,0.0,0.176,0,14.832,27.8
14.423,0,2.021,0.0,0.176,0,14.832,27.6
14.521,0,2.021,0.0,0.0,0,14.828,26.2
14.634,0,2.021,0.0,0.0,0,14.828,27.2
14.711,0,2.021,0.0,0.0,0,14.832,27.5
14.805,0,2.021,0.0,0.176,0,14.832,27.5
14.879,0,2.021,0.0,0.176,0,14.832,26.9
14.959,0,2.021,0.0,0.176,0,14.82,26.5
15.034,0,2.021,0.0,0.176,0,14.832,27.3
15.127,0,2.021,0.0,0.176,0,14.828,27.4
15.2,0,2.021,0.0,0.176,0,14.828,27.4
15.285,0,2.021,0.0,0.176,0,14.828,25.3
15.374,0,2.021,0.0,0.176,0,14.808,29.2
15.462,0,2.021,0.0,0.0,0,14.828,27.4
15.562,0,2.021,0.0,0.0,0,14.82,26.4
15.66,0,2.021,0.0,0.176,0,14.812,26.4
15.743,0,2.021,0.0,0.176,0,14.828,27.5
15.815,0,2.021,0.0,0.176,0,14.832,28.0
15.89,0,2.021,0.0,0.176,0,14.832,28.0
15.959,0,2.021,0.0,0.0,0,14.832,27.6
16.038,0,2.021,0.0,0.0,0,14.828,27.6
16.13,0,2.021,0.0,0.0,0,14.824,27.5
16.201,0,2.021,0.0,0.0,0,14.824,27.5
16.287,0,2.021,0.0,0.176,0,14.824,26.4
16.364,0,2.021,0.0,0.176,0,14.824,26.8
