t_s,mode,position_deg,setpoint_deg,pend_position_deg,pwm,v_bus,i_ma
0.0,4,5.801,0.0,-2.461,-69,14.764,27.6
0.116,4,22.676,0.0,-17.227,-69,14.456,102.8
0.191,4,37.617,0.0,-20.566,-67,14.456,102.8
0.272,4,62.051,0.0,-10.898,-63,14.48,98.9
0.373,4,89.648,0.0,0.527,-58,14.524,88.2
0.45,0,116.543,0.0,8.613,0,14.78,28.3
0.547,0,122.695,0.0,15.645,0,14.784,27.8
0.643,0,110.742,0.0,7.91,0,14.788,27.8
0.729,0,104.414,0.0,-8.613,0,14.784,28.0
0.812,0,86.309,0.0,-14.063,0,14.784,27.3
1.098,0,39.199,0.0,-14.238,0,14.788,27.4
1.349,0,11.953,0.0,11.074,0,14.78,27.5
1.596,0,14.414,0.0,-11.777,0,14.776,27.6
1.822,0,6.68,0.0,5.098,0,14.776,26.5
2.069,0,12.832,0.0,1.406,0,14.776,28.2
2.329,0,21.797,0.0,-2.988,0,14.788,27.5
2.548,0,23.73,0.0,4.219,0,14.768,29.7
2.769,0,31.641,0.0,-2.988,0,14.78,28.3
2.988,0,31.289,0.0,2.988,0,14.78,27.2
3.228,0,33.926,0.0,-1.23,0,14.776,27.5
3.448,0,33.223,0.0,0.879,0,14.78,28.1
3.708,0,33.223,0.0,-0.527,0,14.784,27.4
3.957,0,33.223,0.0,0.352,0,14.78,27.3
4.178,0,33.223,0.0,0.352,0,14.784,27.9
4.367,0,33.223,0.0,-0.352,0,14.764,28.0
4.47,0,33.223,0.0,-0.352,0,14.776,27.5
4.579,0,33.223,0.0,0.176,0,14.78,27.5
4.67,0,33.223,0.0,0.703,0,14.724,26.3
4.762,0,33.223,0.0,0.352,0,14.788,27.3
4.88,0,33.223,0.0,0.0,0,14.78,27.2
4.962,0,33.223,0.0,-0.352,0,14.776,27.2
5.046,0,33.223,0.0,-0.352,0,14.772,27.8
5.135,0,33.223,0.0,0.176,0,14.776,27.4
5.225,0,33.223,0.0,0.527,0,14.776,27.3
5.302,0,33.223,0.0,0.527,0,14.776,27.3
5.377,0,33.223,0.0,0.352,0,14.752,24.4
5.457,0,33.223,0.0,-0.176,0,14.784,27.6
5.565,0,33.223,0.0,-0.352,0,14.772,27.3
5.661,0,33.223,0.0,0.0,0,14.764,28.3
5.744,0,33.223,0.0,0.352,0,14.784,27.9
5.835,0,33.223,0.0,0.527,0,14.78,27.5
5.923,0,33.223,0.0,0.352,0,14.772,27.2
6.042,0,33.223,0.0,0.0,0,14.74,23.2
6.138,0,33.223,0.0,-0.176,0,14.772,28.0
6.259,0,33.223,0.0,0.176,0,14.748,30.2
6.376,0,33.223,0.0,0.352,0,14.752,25.1
6.46,0,33.223,0.0,0.352,0,14.784,26.5
6.56,0,33.223,0.0,0.176,0,14.776,27.1
6.646,0,33.223,0.0,0.0,0,14.784,27.8
6.76,0,33.223,0.0,0.0,0,14.776,27.9
6.854,0,33.223,0.0,0.176,0,14.756,25.5
6.942,0,33.223,0.0,0.352,0,14.776,27.9
7.039,0,33.223,0.0,0.352,0,14.776,27.8
7.117,0,33.223,0.0,0.176,0,14.768,26.7
7.224,0,33.223,0.0,0.0,0,14.776,27.0
7.336,0,33.223,0.0,0.0,0,14.776,27.6
7.422,0,33.223,0.0,0.176,0,14.784,26.9
7.5,0,33.223,0.0,0.176,0,14.768,27.9
7.617,0,33.223,0.0,0.176,0,14.772,21.3
7.727,0,33.223,0.0,0.176,0,14.78,27.4
7.823,0,33.223,0.0,0.0,0,14.78,27.8
7.921,0,33.223,0.0,0.176,0,14.704,31.6
