t_s,mode,position_deg,setpoint_deg,pend_position_deg,pwm,v_bus,i_ma
0.0,7,7.471,0.0,-3.164,42,14.776,27.6
0.083,7,-3.076,0.0,7.91,-62,14.676,45.6
0.163,7,-9.229,0.0,9.492,18,14.78,32.3
0.243,7,-10.986,0.0,0.879,52,14.78,32.3
0.328,7,-27.158,0.0,3.516,82,14.576,90.4
0.415,7,-46.846,0.0,10.547,-186,14.648,49.3
0.493,7,-32.607,0.0,-22.852,97,13.996,266.9
0.616,7,-32.959,0.0,-23.906,-46,12.964,535.0
0.696,7,-26.807,0.0,-11.074,-183,14.48,134.8
0.785,7,0.967,0.0,-11.426,143,13.784,327.8
0.866,7,14.326,0.0,11.602,150,13.16,483.9
0.967,7,22.764,0.0,25.137,-18,14.824,31.9
1.06,7,33.311,0.0,19.336,110,14.824,31.9
1.135,7,23.467,0.0,15.293,14,14.108,242.3
1.242,7,6.24,0.0,6.328,59,14.668,99.8
1.331,7,-19.6,0.0,-1.055,-33,14.712,64.9
1.413,7,-43.154,0.0,-5.273,93,14.648,89.5
1.491,7,-63.018,0.0,-14.941,-71,13.072,524.6
1.584,7,-58.447,0.0,-36.035,70,14.52,124.5
1.661,7,-65.127,0.0,-26.016,-159,14.52,124.5
1.738,7,-44.736,0.0,-25.312,0,13.48,413.8
1.821,7,-19.951,0.0,-14.063,-159,14.82,32.6
1.895,7,11.689,0.0,12.305,-30,13.14,496.7
2.001,7,35.771,0.0,30.234,131,14.684,62.6
2.088,7,47.549,0.0,36.035,72,14.488,128.6
2.162,7,51.064,0.0,25.84,110,14.488,128.6
2.252,7,31.904,0.0,16.348,28,13.996,283.1
2.333,7,4.658,0.0,6.68,21,14.828,30.3
2.412,7,-22.061,0.0,-7.559,29,14.584,102.5
2.498,7,-55.635,0.0,-11.426,-49,14.352,172.1
2.581,7,-70.4,0.0,-26.719,-39,14.692,63.0
2.654,7,-69.346,0.0,-39.727,-60,14.692,63.0
2.748,7,-64.424,0.0,-27.07,-150,14.484,139.8
2.835,7,-29.795,0.0,-20.566,27,14.252,188.9
2.913,7,-3.076,0.0,-4.57,-85,14.844,27.1
2.987,7,24.346,0.0,18.105,74,14.264,167.2
3.065,7,51.592,0.0,38.145,160,13.616,383.4
3.183,7,58.271,0.0,36.563,87,13.616,383.4
3.262,7,50.361,0.0,21.797,125,14.348,167.7
3.339,7,20.479,0.0,14.063,-18,14.452,129.1
3.427,7,-16.436,0.0,-9.492,24,14.844,27.6
3.526,7,-44.385,0.0,-18.105,61,14.716,64.4
3.604,7,-67.764,0.0,-32.344,-75,13.54,389.1
3.698,7,-68.467,0.0,-36.563,-68,14.764,51.8
3.796,7,-57.744,0.0,-22.148,-145,13.636,377.0
3.878,7,-25.576,0.0,-19.336,45,13.636,377.0
3.959,7,2.197,0.0,2.285,-98,14.688,74.8
4.041,7,25.4,0.0,25.488,63,14.056,264.7
4.129,7,43.33,0.0,38.32,118,14.728,54.2
4.206,7,51.768,0.0,32.695,126,14.316,178.8
4.282,7,43.33,0.0,20.918,104,14.316,178.8
4.356,7,19.424,0.0,13.535,3,14.32,174.3
4.433,7,-15.029,0.0,-3.164,34,14.836,31.7
4.533,7,-45.264,0.0,-15.293,80,14.636,88.7
4.615,7,-70.049,0.0,-27.949,-74,13.312,458.4
4.714,7,-68.994,0.0,-39.902,-35,14.78,50.0
4.804,7,-62.666,0.0,-24.609,-154,13.484,388.1
4.906,7,-23.994,0.0,-18.633,38,14.732,61.5
4.977,7,0.791,0.0,0.703,-59,14.732,61.5
5.054,7,28.037,0.0,18.809,130,14.736,58.1
5.147,7,51.768,0.0,38.145,119,14.732,43.5
5.256,7,53.525,0.0,30.41,112,13.976,282.1
5.336,7,38.936,0.0,18.281,91,14.16,218.3
5.421,7,-1.67,0.0,-0.176,12,14.716,64.5
5.526,7,-26.279,0.0,-14.063,45,14.68,75.7
5.602,7,-61.436,0.0,-14.766,-158,13.948,342.9
5.681,7,-67.236,0.0,-34.277,-4,13.948,342.9
5.763,7,-69.17,0.0,-34.453,-124,14.848,28.4
5.854,7,-52.646,0.0,-23.203,-97,13.684,370.3
5.935,7,-16.611,0.0,-14.063,-3,14.784,44.7
6.028,7,13.799,0.0,7.031,0,14.728,53.6
6.155,7,42.627,0.0,36.914,-24,14.776,45.5
6.239,7,55.986,0.0,36.738,76,13.936,294.9
6.351,7,37.529,0.0,17.93,86,14.024,255.7
6.451,7,9.932,0.0,7.383,45,14.832,28.5
6.532,7,-24.17,0.0,-13.887,53,14.692,72.3
6.653,7,-64.775,0.0,-20.215,-163,14.528,119.9
6.746,7,-66.006,0.0,-38.672,-36,14.8,33.6
6.819,7,-65.83,0.0,-25.84,-156,14.36,174.5
6.922,7,-34.893,0.0,-21.094,20,14.688,50.9
7.02,7,-0.791,0.0,-4.043,-139,14.524,120.5
7.099,7,23.643,0.0,16.172,-35,14.72,120.5
7.18,7,47.197,0.0,34.98,144,14.72,53.7
7.272,7,55.635,0.0,36.914,51,13.616,384.9
7.367,7,51.24,0.0,21.445,127,14.316,190.8
7.442,7,19.072,0.0,13.887,0,14.404,126.6
7.532,7,-11.338,0.0,-6.855,75,14.848,27.4
7.625,7,-47.197,0.0,-16.523,0,14.632,85.3
7.721,7,-67.412,0.0,-28.652,-130,13.28,462.3
7.807,7,-64.072,0.0,-40.254,-57,14.788,43.7
7.906,7,-57.744,0.0,-22.5,-161,13.46,418.7
7.991,7,-20.83,0.0,-19.336,95,13.46,418.7
