t_s,alpha_deg,theta_deg,pwm
0.0,-56.074,-27.422,0
0.0646,-36.914,-27.949,0
0.1234,4.219,-39.375,0
0.1832,40.078,-46.406,0
0.2396,50.098,-41.133,0
0.3054,35.859,-29.18,0
0.3682,-0.879,-4.746,0
0.425,-42.363,22.852,0
0.5097,-45.176,29.707,0
0.5685,-25.84,29.004,0
0.6264,24.258,15.293,0
0.7083,46.582,15.469,0
0.784,40.078,21.797,0
0.8399,13.887,36.563,0
0.8993,-29.531,61.348,0
0.9696,-41.484,68.203,0
1.0274,-32.871,67.5,0
1.0891,-3.164,56.602,0
1.1451,28.828,44.648,0
1.2028,40.957,42.363,0
1.2587,33.223,46.758,0
1.3195,-6.504,65.742,0
1.4046,-32.344,76.816,0
1.4635,-35.508,77.168,0
1.5192,-18.809,69.434,0
1.5831,11.953,53.789,0
1.6369,31.992,44.648,0
1.6963,33.75,43.418,0
1.7532,15.293,49.922,0
1.816,-15.469,62.578,0
1.8818,-31.816,67.324,0
1.9438,-25.84,62.578,0
2.007,5.801,45.352,0
2.0863,27.773,33.926,0
2.1561,25.664,33.398,0
2.2319,-9.492,47.285,0
2.3162,-27.246,53.086,0
2.3791,-23.379,49.395,0
2.4463,-0.527,37.266,0
2.5132,19.863,27.07,0
2.569,25.664,24.082,0
2.6329,9.141,30.762,0
2.7077,-14.063,40.957,0
2.7699,-24.609,44.824,0
2.8317,-14.063,39.375,0
2.9102,12.656,26.543,0
2.9863,22.5,22.5,0
3.0582,11.074,28.125,0
3.1419,-16.875,41.66,0
3.2232,-20.391,43.066,0
3.2816,-4.922,36.211,0
3.3574,15.645,27.422,0
3.4491,14.063,29.531,0
3.5316,-2.109,37.969,0
3.5915,-17.402,45.703,0
3.6802,-12.129,43.594,0
3.7341,1.23,37.441,0
3.7909,13.008,32.52,0
3.8499,15.293,32.344,0
3.9046,6.504,37.266,0
3.9764,-12.129,46.934,0
4.0614,-13.008,47.285,0
4.1246,-2.988,42.539,0
4.1938,11.602,36.035,0
4.2839,9.316,37.793,0
4.3673,-3.867,44.473,0
4.4381,-10.723,47.285,0
4.5058,-4.746,44.121,0
4.5822,4.922,39.375,0
4.6411,8.965,37.617,0
4.7369,-0.703,42.363,0
4.8212,-7.559,45.176,0
4.8972,-4.395,43.066,0
4.9738,2.988,39.199,0
5.0502,6.504,37.617,0
5.112,4.043,39.023,0
5.1725,-2.813,42.187,0
5.2636,-5.098,42.891,0
5.3364,-1.406,40.781,0
5.4007,3.34,38.672,0
5.483,3.516,38.848,0
5.542,-0.352,40.957,0
5.6436,-2.285,41.484,0
5.7526,0.0,40.43,0
5.8246,1.406,40.078,0
5.8957,1.406,40.254,0
5.9555,0.703,40.781,0
6.0222,0.0,41.133,0
6.0826,-0.527,41.133,0
6.181,-0.703,41.133,0
6.2532,-0.352,41.133,0
6.3101,0.176,41.133,0
6.3889,0.703,41.133,0
6.4497,0.703,41.133,0
6.5066,0.527,41.133,0
6.5674,0.0,41.133,0
6.6552,-0.527,41.133,0
6.735,-0.527,41.133,0
6.7908,-0.527,41.133,0
6.8504,0.0,41.133,0
6.9112,0.352,41.133,0
6.9775,0.527,41.133,0
7.0603,0.527,41.133,0
7.1142,0.176,41.133,0
7.181,-0.176,41.133,0
7.2707,-0.527,41.133,0
7.3715,-0.352,41.133,0
7.4358,0.0,41.133,0
7.4987,0.352,41.133,0
7.5582,0.527,41.133,0
7.6375,0.527,41.133,0
7.6963,0.176,41.133,0
7.7731,-0.176,41.133,0
7.855,-0.352,41.133,0
7.9167,-0.352,41.133,0
7.9721,-0.176,41.133,0
8.0329,0.176,41.133,0
8.0937,0.352,41.133,0
8.1587,0.527,41.133,0
8.2429,0.176,41.133,0
8.3087,0.0,41.133,0
8.367,-0.176,41.133,0
8.4273,-0.176,41.133,0
8.4931,-0.176,41.133,0
8.5779,0.0,41.133,0
8.6327,0.176,41.133,0
8.6936,0.352,41.133,0
8.7534,0.352,41.133,0
8.8118,0.176,41.133,0
8.8776,0.0,41.133,0
