t_s,mode,alpha_deg,theta_deg,pwm,i_ma
0.0,5,0.527,1.055,-49,27.1
0.0799,5,-5.801,7.031,-49,67.1
0.1462,5,-11.777,15.469,-49,67.1
0.21,5,-11.25,22.324,49,67.3
0.2718,5,9.668,18.281,49,74.4
0.373,5,27.949,9.316,49,77.8
0.4559,5,19.687,6.504,-49,77.8
0.5408,5,-17.402,18.809,-49,69.4
0.6191,5,-37.09,25.84,-49,68.1
0.6895,5,-29.355,24.258,49,75.0
0.753,5,10.723,4.922,49,75.0
0.8238,5,46.758,-14.59,49,71.2
0.9126,5,45.176,-20.566,49,74.6
0.9753,5,16.172,-17.754,-49,74.6
1.0458,5,-39.375,0.0,-49,65.9
1.1196,5,-58.359,3.34,-49,70.5
1.1885,5,-40.254,-0.352,49,75.3
1.2762,5,19.863,-28.125,49,69.8
1.3502,5,62.227,-45.0,47,69.8
1.433,5,59.941,-49.043,-47,70.6
1.5089,5,2.461,-31.992,-48,64.4
1.5926,5,-50.098,-10.898,-49,64.6
1.6595,5,-74.707,-2.988,-49,70.4
1.7482,5,-50.801,-2.285,49,70.4
1.8369,5,31.816,-33.926,48,75.3
1.9128,5,72.422,-43.945,47,72.5
1.9796,5,79.98,-47.109,47,71.1
2.0543,5,57.48,-46.055,-47,71.1
2.1152,5,-0.703,-24.434,-49,60.7
2.1781,5,-61.875,-0.703,-49,65.3
2.2512,5,-88.945,6.152,-49,65.3
2.3215,5,-75.41,11.426,49,67.8
2.3973,5,-24.785,2.285,49,73.9
2.4652,5,46.23,-25.84,49,73.9
2.533,5,89.473,-32.871,48,74.2
2.5994,5,96.504,-36.035,48,73.8
2.6682,5,56.953,-36.563,-48,66.3
2.758,5,-33.574,-1.406,-49,66.3
2.858,5,-93.34,11.25,-49,64.0
2.9204,5,-104.238,14.414,-49,67.7
2.9852,5,-86.309,19.512,49,77.8
3.0496,5,-9.316,1.758,49,77.8
3.1374,5,66.27,-25.84,49,65.3
3.2042,5,110.391,-30.937,48,73.1
3.2982,5,104.59,-37.617,-48,73.3
3.3661,5,53.965,-38.672,-48,65.3
3.4468,5,-37.969,-3.867,-49,65.3
3.5269,5,-95.801,5.625,-49,66.6
3.591,5,-117.598,6.855,-49,69.3
3.6587,5,-110.391,12.48,49,69.3
3.7226,5,-70.664,14.766,49,77.8
3.7944,5,29.531,-22.5,49,65.8
3.8759,5,97.031,-36.387,48,73.4
3.9547,5,122.695,-38.32,48,73.4
4.0165,5,116.191,-46.582,-47,72.3
4.0931,5,82.793,-52.031,-46,64.8
4.1539,5,13.184,-34.805,-48,64.8
4.2197,5,-69.434,-4.395,-49,59.9
4.2925,5,-117.07,-1.582,-49,69.3
4.3574,5,-129.375,1.582,-49,69.3
4.4217,5,-115.488,10.02,49,67.3
4.4885,5,-75.059,13.887,49,75.7
4.5487,5,0.527,-9.844,49,75.7
4.6122,5,77.344,-34.805,48,70.2
4.6761,5,127.266,-36.211,48,74.7
4.7629,5,132.891,-41.836,47,74.7
4.8356,5,105.469,-52.559,-46,71.4
4.9075,5,33.223,-44.121,-47,63.6
4.9952,5,-69.961,-4.219,-49,62.9
5.0661,5,-119.004,-1.055,-49,62.9
5.1359,5,-136.758,3.164,-49,68.6
5.2158,5,-117.246,16.172,49,66.6
5.2896,5,-70.488,20.391,49,75.3
5.3644,5,31.992,-15.996,49,75.3
5.4402,5,101.953,-27.773,49,68.4
