t_s,mode,alpha_deg,theta_deg,pwm
0.0,5,-0.879,2.813,-59
0.0813,5,-10.723,13.184,-59
0.1571,5,-17.051,25.137,-59
0.221,5,-9.844,38.672,57
0.3187,5,18.809,32.52,58
0.3826,5,38.496,25.137,59
0.4653,5,34.102,19.687,-59
0.5332,5,-1.406,29.004,-58
0.6,5,-39.199,42.891,-57
0.6658,5,-53.086,47.988,-56
0.7266,5,-42.891,49.395,56
0.7895,5,12.305,28.828,58
0.8733,5,54.844,11.777,59
0.9381,5,69.785,2.109,59
1.0129,5,38.145,-3.867,-59
1.0997,5,-42.187,21.797,-59
1.1853,5,-77.695,27.598,-58
1.2514,5,-82.969,29.883,-58
1.3112,5,-41.836,24.961,59
1.4194,5,57.48,-18.809,59
1.502,5,92.285,-29.18,58
1.5807,5,93.34,-41.484,-57
1.6428,5,62.402,-47.637,-56
1.7056,5,-20.918,-22.5,-58
1.7784,5,-81.562,-9.141,-59
1.8432,5,-109.16,-7.91,-59
1.912,5,-105.469,-0.527,59
2.0148,5,-32.695,-4.922,59
2.1035,5,81.562,-45.527,57
2.1943,5,120.938,-49.219,56
2.2675,5,115.137,-59.766,-55
2.3532,5,78.75,-63.281,-54
2.432,5,-9.141,-31.816,-58
2.4998,5,-85.078,-5.801,-59
2.5776,5,-127.09,0.879,-59
2.6429,5,-129.727,14.941,59
2.8585,5,84.023,-13.359,59
2.9493,5,132.539,-14.414,59
3.0232,5,144.668,-25.312,59
3.0982,5,-149.941,-9.844,-59
3.4812,5,-142.383,9.316,59
3.5769,5,-112.148,20.918,59
3.6417,5,-57.48,17.578,59
3.7242,5,123.223,-42.187,57
3.8658,5,150.293,-47.988,56
3.9297,5,153.457,-62.578,21
4.0089,5,133.242,-83.672,-51
4.0879,5,95.098,-89.824,-49
4.1502,5,36.387,-76.289,-52
4.2104,5,-51.152,-32.695,-58
4.2682,5,-123.223,-17.578,-59
4.3566,5,-145.723,-5.449,-59
4.5042,5,-89.473,35.684,58
4.5711,5,24.434,8.789,59
4.6628,5,97.031,-2.988,59
4.7256,5,141.855,0.176,60
4.7925,5,159.082,-6.68,59
4.8642,5,148.008,-25.84,-59
4.929,5,109.512,-44.473,-57
5.0149,5,57.129,-43.418,-57
5.0757,5,-38.496,-4.043,-59
5.1428,5,-104.238,8.438,-59
5.2053,5,-142.734,9.492,-59
5.2751,5,-154.512,19.512,-59
5.341,5,-139.57,39.727,57
5.4068,5,-99.492,54.844,55
5.484,5,-34.629,47.285,56
5.5499,5,61.348,9.316,59
5.6157,5,123.398,4.219,59
5.6839,5,152.578,1.582,59
5.7503,5,155.391,-16.172,59
5.8322,5,114.082,-50.449,-56
5.912,5,49.043,-53.437,-55
5.9887,5,-53.437,-16.699,-59
6.0563,5,-112.852,-12.305,-59
6.1221,5,-153.984,-14.941,-59
6.2075,5,-157.676,-2.285,-59
6.2896,5,-130.078,19.687,59
6.3754,5,-81.387,24.609,59
6.4382,5,12.129,-10.547,59
6.509,5,85.605,-35.684,58
6.5718,5,138.867,-41.133,57
6.6452,0,83.145,-95.977,0
