t_s,mode,alpha_deg,theta_deg,pwm
0.0,5,81.211,-0.176,-51
0.064,5,76.289,5.273,-51
0.1433,5,71.543,14.414,-51
0.2237,5,80.859,22.5,51
0.3267,5,106.172,13.887,51
0.4026,5,111.094,8.613,51
0.4724,5,93.691,10.02,-51
0.5463,5,63.105,21.27,-51
0.6095,5,44.473,28.125,-51
0.6828,5,76.113,17.051,51
0.8055,5,129.902,-10.723,51
0.9151,5,128.496,-20.215,-51
0.9865,5,94.395,-14.941,-51
1.0513,5,43.242,1.582,-51
1.1366,5,20.215,5.625,-51
1.2214,5,41.66,1.406,51
1.2842,5,97.031,-24.082,51
1.3858,5,150.293,-45.879,49
1.4507,5,142.91,-51.68,-48
1.5334,5,85.781,-36.211,-50
1.6152,5,29.707,-15.645,-51
1.6754,5,4.219,-10.547,-51
1.7398,5,8.789,-7.383,51
1.8155,5,50.625,-15.293,51
1.8824,5,121.992,-46.406,49
1.9512,5,162.07,-55.723,38
2.019,4,168.398,-56.426,7
2.0954,4,135.879,-50.801,23
2.1778,4,53.613,-16.699,24
2.2516,4,9.316,-6.504,24
2.3159,4,3.516,-7.734,24
2.3942,4,36.563,-15.996,24
2.4628,4,99.141,-45.176,-42
2.5306,4,145.547,-59.062,-34
2.5984,4,151.523,-56.777,64
2.6735,4,106.172,-47.285,66
2.7663,4,56.777,-37.09,67
2.8465,4,39.551,-56.426,65
2.931,4,67.148,-95.977,57
3.0207,0,95.977,-131.484,0
