t_s,mode,alpha_deg,theta_deg,pwm
0.0,5,-0.527,1.494,-51
0.0916,5,-9.668,10.283,-51
0.1584,5,-13.359,18.545,-51
0.2241,5,-9.668,25.4,51
0.2857,5,17.402,19.248,51
0.3864,5,30.762,12.217,51
0.4602,5,22.5,10.459,-51
0.5211,5,-9.492,21.709,-51
0.5912,5,-34.98,31.553,-50
0.6596,5,-36.914,34.365,-50
0.7348,5,0.527,20.479,51
0.8171,5,41.66,1.318,51
0.889,5,53.086,-6.943,51
0.9598,5,31.641,-9.932,-51
1.0322,5,-24.785,7.998,-51
1.1225,5,-61.699,15.557,-51
1.1993,5,-53.437,15.029,51
1.2671,5,-6.855,-2.725,51
1.3399,5,48.867,-28.389,51
1.4093,5,71.543,-37.354,50
1.4741,5,44.297,-41.045,-49
1.5858,5,-20.039,-17.314,-51
1.6481,5,-69.609,-3.779,-51
1.7189,5,-82.09,-0.439,-51
1.7987,5,-58.008,0.791,51
1.8756,5,26.895,-31.025,50
1.9523,5,74.707,-43.682,49
2.0151,5,90.352,-47.373,49
2.0949,5,67.5,-49.658,-48
2.1698,5,7.91,-31.201,-50
2.2296,5,-63.105,-3.604,-51
2.3067,5,-96.68,2.9,-51
2.3752,5,-92.637,8.525,-51
2.4455,5,-50.098,9.404,51
2.5263,5,41.836,-24.346,51
2.6062,5,105.469,-32.783,50
2.7033,5,102.656,-37.705,50
2.7727,5,54.141,-39.111,-50
2.8625,5,-40.605,-3.604,-51
2.9324,5,-91.055,5.01,-51
3.0192,5,-113.203,9.932,-51
3.108,5,-60.293,13.447,51
3.2208,5,47.637,-28.389,51
3.3185,5,118.125,-38.057,50
3.4,5,115.664,-48.076,-49
3.4903,5,84.727,-53.701,-48
3.5551,5,6.328,-34.014,-50
3.6327,5,-79.453,-5.713,-51
3.6946,5,-116.719,-4.131,-51
3.7714,5,-127.793,1.67,-51
3.8402,5,-101.953,11.865,51
3.9112,5,-52.383,9.756,51
3.99,5,60.645,-32.783,50
4.0563,5,111.27,-37.002,50
4.1391,5,135.0,-43.506,49
4.2309,5,107.051,-56.338,-48
4.3086,5,51.328,-54.053,-48
4.3824,5,-46.23,-14.678,-51
4.4503,5,-107.402,-6.24,-51
4.5161,5,-135.527,-5.537,-51
4.5849,5,-132.891,5.01,51
4.6587,5,-103.711,14.502,51
4.7285,5,-38.672,7.119,51
4.7994,5,69.961,-35.244,50
4.8781,5,116.367,-38.76,50
4.9479,5,142.207,-41.396,49
5.0127,5,133.945,-54.932,-48
5.0906,5,88.594,-65.83,-46
5.1883,5,3.34,-42.275,-49
5.2541,5,-83.496,-13.271,-51
5.3179,5,-129.023,-12.041,-51
5.3893,5,-143.437,-7.998,-51
5.4821,5,-119.531,11.162,51
5.5478,5,-70.664,16.26,51
5.6147,5,26.895,-18.369,51
5.6905,5,98.086,-32.256,50
5.7605,5,139.57,-31.025,50
5.8287,5,146.074,-41.572,49
5.9104,5,115.137,-59.502,-47
6.0028,5,37.793,-55.459,-48
6.083,5,-88.242,-13.271,-51
6.1868,5,-143.965,-13.447,-51
6.2803,5,-144.141,-3.252,-51
6.3591,5,-115.312,11.689,51
6.4444,5,-28.125,3.252,51
6.5224,5,69.961,-34.014,50
6.5962,5,125.332,-36.475,50
6.667,5,149.766,-38.936,50
6.7418,5,143.613,-52.998,-48
6.8167,5,96.328,-70.576,-46
6.9034,5,26.895,-58.975,-47
6.9817,5,-79.805,-20.479,-51
7.0665,5,-134.297,-19.775,-51
7.1293,5,-148.359,-12.92,-51
7.2139,5,-130.254,1.143,51
7.2887,5,-91.758,7.998,51
7.3526,5,21.445,-29.092,51
7.4454,5,100.898,-47.9,49
7.5262,5,142.91,-48.955,49
7.6046,5,143.613,-62.49,-47
7.6906,5,121.289,-73.037,-45
7.7582,5,65.215,-73.213,-45
7.8361,5,-24.434,-35.244,-50
7.8965,5,-97.383,-15.908,-51
7.9663,5,-133.594,-13.799,-51
8.0461,5,-142.91,-2.9,-51
8.116,5,-111.621,15.029,51
8.1987,5,-62.227,16.26,51
8.2727,5,63.809,-28.916,50
8.3595,5,125.859,-32.432,50
8.4383,5,148.184,-35.947,50
8.5321,5,131.133,-55.811,-48
8.5969,5,82.09,-66.182,-46
8.6832,5,-5.098,-40.518,-49
8.75,5,-110.918,-16.787,-51
8.8503,5,-142.559,-18.193,-51
8.9283,5,-139.57,-5.01,51
9.0173,5,-108.281,5.713,51
9.0781,5,-58.711,3.428,51
9.14,5,37.617,-37.002,50
9.2083,5,109.863,-49.307,49
9.2804,5,143.437,-50.361,48
9.3642,5,143.789,-62.666,-47
9.447,5,107.93,-76.201,-45
9.5283,5,37.793,-66.182,-46
9.6057,5,-51.152,-25.928,-51
9.6695,5,-112.148,-16.26,-51
9.7374,5,-139.219,-14.15,-51
9.8003,5,-136.406,2.197,51
9.9157,5,-75.762,18.545,51
9.9915,5,25.488,-14.502,51
10.0703,5,96.152,-28.213,50
10.1471,5,139.922,-26.631,51
10.2069,5,149.941,-32.783,50
10.2757,5,131.484,-49.834,-49
10.3505,5,95.273,-58.271,-47
10.4129,5,28.828,-47.197,-49
10.4887,5,-84.902,-7.822,-51
10.5766,5,-133.945,-7.998,-51
10.6413,5,-146.602,-2.549,-51
10.717,5,-124.805,12.568,51
10.8118,5,-71.543,16.436,51
10.8946,5,52.207,-31.025,50
10.9845,5,120.938,-39.463,50
11.0541,5,147.129,-42.803,49
11.135,5,140.977,-58.975,-13
11.2052,5,96.68,-75.498,-45
11.294,5,-4.395,-49.834,-48
11.3778,5,-87.891,-25.4,-51
11.4447,5,-139.043,-25.928,-51
11.5321,5,-146.777,-18.545,-51
11.6173,5,-108.809,0.264,51
11.7305,5,-14.766,-16.436,51
11.8078,5,103.711,-51.943,48
11.9065,5,140.977,-51.416,48
11.9754,5,147.656,-59.15,30
12.0466,5,132.187,-70.4,-46
12.121,5,71.016,-74.619,-45
12.2202,5,-34.805,-30.85,-50
12.2831,5,-103.887,-15.732,-51
12.3545,5,-142.734,-11.162,-51
12.4527,5,-131.66,6.592,51
12.5515,5,-73.652,17.314,51
12.6342,5,53.437,-26.807,51
12.7299,5,115.312,-32.959,50
12.7923,5,144.844,-33.662,50
12.8661,5,145.723,-44.736,49
12.934,5,105.293,-66.006,-46
13.0227,5,48.691,-64.072,-47
13.0895,5,-74.004,-22.061,-51
13.1773,5,-124.98,-22.061,-51
13.2441,5,-146.953,-22.412,-51
13.3388,5,-124.805,-3.428,51
13.4286,5,-77.871,0.264,51
13.4989,5,21.973,-37.529,50
13.5862,5,104.238,-56.689,48
13.67,5,145.195,-58.271,47
13.7513,5,144.316,-68.115,-46
13.8192,5,121.113,-78.838,-45
13.888,5,61.348,-76.904,-45
13.9648,5,-34.102,-34.541,-50
14.037,5,-121.289,-16.963,-51
14.141,5,-142.207,-11.865,-51
14.2195,5,-123.047,9.404,51
14.3133,5,-37.09,10.107,51
14.422,5,71.016,-28.74,50
14.4849,5,130.605,-29.795,50
14.5806,5,148.535,-35.947,50
14.6713,5,125.332,-54.58,-48
14.7382,5,64.336,-59.678,-47
14.8349,5,-47.461,-18.018,-51
14.9023,5,-108.105,-10.635,-51
14.9691,5,-143.262,-11.338,-51
15.0475,5,-142.91,-2.549,51
15.1233,5,-108.105,10.811,51
15.2074,5,-16.523,-7.295,51
15.2994,5,81.738,-44.033,49
15.3712,5,132.012,-46.846,49
15.4457,5,147.832,-53.174,48
15.5329,5,124.453,-73.213,-45
15.6122,5,72.422,-77.432,-45
15.7002,5,-50.449,-30.674,-50
15.8029,5,-119.18,-22.236,-51
15.8649,5,-145.195,-17.139,-51
15.9531,5,-127.969,-0.088,51
16.0364,5,-83.32,9.932,51
16.1212,5,26.016,-23.818,51
16.1892,5,120.762,-36.65,50
16.2847,5,146.777,-35.947,50
16.3536,5,147.129,-46.846,49
16.4284,5,103.711,-66.885,-46
16.5183,5,-12.656,-37.881,-50
16.6309,5,-101.602,-17.139,-51
16.7006,5,-146.25,-17.314,-51
16.8208,5,-138.516,-3.428,51
16.8887,5,-94.219,7.471,51
16.9774,5,-3.516,-17.842,51
17.0712,5,120.059,-50.01,48
17.1734,5,148.535,-53.877,48
17.2601,5,136.23,-70.752,-46
17.339,5,82.617,-81.65,-44
17.4487,5,-38.32,-38.057,-50
17.5435,5,-113.379,-25.928,-51
17.6053,5,-145.547,-22.939,-51
17.6934,5,-138.516,-10.283,51
17.7623,5,-103.184,3.428,51
17.8371,5,-46.23,-0.615,51
17.8964,5,72.422,-44.033,49
17.9852,5,122.344,-45.791,49
18.0481,5,146.25,-46.143,49
18.1084,5,146.777,-55.635,-40
18.1812,5,124.98,-68.994,-46
18.2481,5,81.738,-73.389,-45
18.3089,5,-16.172,-38.76,-49
18.3871,5,-90.0,-17.666,-51
18.4708,5,-140.977,-15.381,-51
18.581,5,-131.484,3.076,51
18.6548,5,-93.516,13.623,51
18.7319,5,-1.23,-8.877,51
18.8037,5,79.98,-34.893,50
18.8655,5,130.078,-35.42,50
18.9364,5,149.59,-38.408,50
19.0012,5,143.613,-51.064,-48
19.066,5,110.742,-67.764,-46
19.1408,5,53.965,-67.588,-46
19.2067,5,-39.727,-31.201,-50
19.2804,5,-130.781,-23.643,-51
19.3791,5,-147.305,-16.963,-51
19.4833,5,-116.895,-1.143,51
19.5685,5,-34.277,-9.756,51
19.6932,5,90.352,-54.756,48
19.7605,5,131.133,-55.635,48
19.8263,5,148.184,-62.139,45
19.9101,5,134.473,-74.971,-45
19.9761,5,95.449,-83.232,-44
