t_s,mode,alpha_deg,theta_deg,pwm
0.0,5,-1.23,-1.934,-59
0.087,5,-9.141,6.328,-59
0.1508,5,-16.523,18.984,-59
0.2451,5,-10.898,32.52,58
0.3198,5,20.742,25.312,59
0.3907,5,40.078,16.699,59
0.473,5,33.574,12.48,-59
0.5438,5,-4.219,23.73,-59
0.6076,5,-43.066,38.496,-57
0.6764,5,-53.965,43.418,-57
0.7413,5,-34.98,42.715,57
0.8141,5,19.687,18.809,59
0.8829,5,65.391,-0.176,59
0.9607,5,70.664,-9.316,59
1.0269,5,30.059,-12.305,-59
1.1176,5,-58.535,14.59,-59
1.2113,5,-83.848,17.578,-59
1.2762,5,-81.387,20.391,59
1.337,5,-49.57,17.051,59
1.4034,5,17.754,-13.184,59
1.4667,5,75.234,-33.926,58
1.5295,5,96.68,-49.922,56
1.6552,5,39.727,-53.613,-55
1.9505,5,93.34,-57.656,34
2.2222,5,122.695,-57.832,33
2.2951,5,119.18,-60.645,26
2.3629,5,83.672,-62.227,-54
2.4317,5,-17.754,-21.973,-59
2.5224,5,-91.406,3.34,-59
2.5902,5,-129.727,13.711,-59
2.674,5,-116.367,36.563,58
2.7627,5,-49.219,44.648,57
2.8565,5,43.066,12.129,59
2.9203,5,107.93,5.625,59
2.9953,5,141.328,5.625,59
3.062,5,139.922,-9.141,59
3.1329,5,109.688,-26.895,-58
3.2002,5,47.109,-28.828,-58
3.2715,5,-78.223,10.02,-59
3.3609,5,-134.297,8.086,-59
3.4406,5,-153.633,10.371,-59
3.5159,5,-144.141,25.137,59
3.5788,5,-114.609,37.617,57
3.6463,5,-37.441,28.828,58
3.7344,5,52.91,-12.832,59
3.7936,5,113.73,-23.555,59
3.8654,5,155.039,-37.266,58
3.9651,5,144.141,-63.281,-54
4.044,5,113.73,-81.914,-51
4.1088,5,61.348,-84.023,-50
4.1791,5,-40.254,-44.297,-57
4.2669,5,-138.867,-33.047,-58
4.3626,5,-153.281,-26.543,-58
4.4254,5,-143.086,-8.965,59
4.4922,5,-95.449,8.438,59
4.584,5,-14.59,-9.844,59
4.6606,5,83.145,-45.527,57
4.7354,5,140.801,-48.34,56
4.8152,5,158.906,-58.887,32
4.896,5,152.754,-74.707,-52
4.9628,5,135.176,-85.605,-50
5.0307,5,103.535,-89.121,-50
5.0935,5,37.266,-73.125,-52
5.1663,5,-56.074,-24.961,-58
5.2381,5,-122.344,-9.492,-59
5.3159,5,-143.613,2.637,-59
5.3828,5,-131.133,27.246,58
5.4494,5,-93.164,45.527,57
5.5133,5,-21.094,39.375,57
5.624,5,124.629,14.063,59
5.7078,5,156.27,6.504,59
5.8764,5,107.402,-24.961,-59
6.1413,5,-146.953,21.621,-59
6.2112,5,-129.375,56.074,55
6.3767,5,-86.836,62.93,54
6.4435,5,-15.117,44.121,56
6.5283,5,106.348,4.922,59
6.6097,5,147.129,0.703,59
6.6791,5,154.687,-15.117,59
6.7414,5,133.77,-42.363,-57
6.8132,5,74.707,-60.996,-54
6.901,5,-29.18,-31.113,-58
6.9712,5,-99.492,-21.094,-59
7.0361,5,-152.402,-26.719,-58
7.1267,5,-160.312,-19.336,-59
7.1924,5,-148.887,-4.746,59
7.2533,5,-111.27,7.207,59
7.3456,5,-54.844,0.352,59
7.4144,5,60.293,-53.437,49
7.491,5,112.676,-62.227,20
7.5598,5,152.93,-62.051,20
7.6361,5,167.344,-63.984,-54
7.705,5,179.824,-60.645,-54
