t_s,mode,alpha_deg,theta_deg,pwm
0.0,5,0.879,-1.934,59
0.0705,5,9.844,-11.426,59
0.1413,5,18.633,-25.488,59
0.2052,5,10.547,-44.824,-57
0.3123,5,-31.113,-36.563,-58
0.4119,5,-42.715,-33.047,-58
0.4758,5,-24.961,-34.805,58
0.5566,5,25.84,-56.426,38
0.6379,5,47.109,-62.051,20
0.7276,5,18.809,-47.285,-56
0.8054,5,-39.551,-11.426,-59
0.8942,5,-61.523,5.273,-59
0.966,5,-46.23,17.754,59
1.0418,5,4.57,6.504,59
1.1086,5,69.609,-9.844,59
1.1995,5,81.035,-13.535,59
1.2695,5,38.32,-12.832,-59
1.3653,5,-27.422,13.535,-59
1.425,5,-79.277,27.07,-58
1.5118,5,-92.109,32.871,-58
1.5766,5,-71.543,37.09,58
1.6534,5,-2.637,16.348,59
1.7212,5,74.531,-11.777,59
1.7891,5,107.93,-20.215,59
1.8699,5,94.57,-34.98,-58
1.9696,5,2.637,-21.621,-59
2.0603,5,-76.113,1.23,-59
2.1384,5,-119.707,2.988,-59
2.2352,5,-109.512,12.656,59
2.3069,5,-42.363,8.613,59
2.3989,5,71.367,-37.09,58
2.4815,5,120.762,-43.418,57
2.5593,5,132.715,-55.195,41
2.6391,5,108.633,-69.785,-53
2.709,5,41.66,-66.445,-53
2.8446,5,-116.719,-19.687,-59
2.9339,5,-140.449,-15.117,-59
3.0203,5,-128.32,2.813,59
3.0821,5,-86.309,13.887,59
3.1609,5,13.535,-15.996,59
3.2377,5,91.934,-36.914,58
3.3091,5,142.91,-38.672,57
3.3888,5,152.051,-48.34,56
3.4517,5,132.012,-70.137,-53
3.5323,5,96.328,-79.629,-51
3.5951,5,8.438,-57.832,-54
3.6749,5,-84.902,-24.609,-59
3.7474,5,-131.309,-21.621,-59
3.8392,5,-149.414,-8.262,-59
3.9289,5,-120.762,16.875,59
3.9888,5,-70.137,23.906,59
4.0756,5,60.293,-20.566,59
4.1683,5,142.734,-25.488,59
4.2841,5,157.676,-42.715,57
4.3826,4,122.871,-76.289,21
4.4544,4,25.137,-82.09,21
4.5741,4,-103.184,-61.172,22
4.6599,4,-146.25,-79.98,21
4.7554,4,-148.359,-88.066,58
4.8292,4,-122.168,-88.418,58
4.891,4,-66.797,-95.273,57
4.9642,0,33.398,-132.012,0
