t_s,mode,alpha_deg,theta_deg,pwm
0.0,5,10.898,-1.23,49
0.1494,5,18.809,-15.645,49
0.2402,5,9.668,-23.555,-49
0.318,5,-19.863,-18.457,-49
0.3988,5,-31.992,-16.523,-49
0.4636,5,-18.633,-20.918,49
0.5477,5,20.391,-39.902,48
0.6242,5,38.32,-49.043,47
0.689,5,24.082,-48.164,-47
0.7687,5,-16.172,-30.586,-48
0.8382,5,-43.945,-18.809,-49
0.914,5,-44.121,-13.887,49
0.9818,5,-3.516,-26.367,49
1.0576,5,39.375,-43.77,47
1.1204,5,57.129,-49.219,47
1.1871,5,44.824,-48.867,-47
1.2586,5,-0.352,-31.641,-48
1.3246,5,-49.57,-11.25,-49
1.3938,5,-65.039,-5.273,-49
1.4626,5,-51.68,-3.516,49
1.5334,5,4.922,-23.555,49
1.5983,5,58.711,-42.715,47
1.6711,5,74.004,-47.637,47
1.749,5,54.141,-47.637,-47
1.8138,5,3.867,-30.059,-48
1.8786,5,-56.25,-6.855,-49
1.9426,5,-80.859,-0.703,-49
2.0203,5,-71.543,2.109,49
2.083,5,-8.262,-15.293,49
2.1663,5,58.008,-41.309,48
2.2391,5,87.891,-47.285,47
2.3129,5,82.09,-51.152,-46
2.3767,5,46.406,-47.637,-47
2.4401,5,-29.531,-16.523,-49
2.5054,5,-75.059,-4.746,-49
2.5653,5,-95.625,-0.879,-49
2.6375,5,-81.738,3.34,49
2.7056,5,-38.672,-3.164,49
2.7693,5,43.945,-37.969,48
2.8381,5,86.836,-46.582,47
2.9006,5,103.711,-49.746,47
2.9664,5,91.406,-54.668,-46
3.0283,5,51.504,-52.383,-46
3.0951,5,-34.629,-18.457,-49
3.161,5,-88.242,-7.91,-49
3.2297,5,-109.16,-5.449,-49
3.2975,5,-98.789,-0.352,49
3.3763,5,-37.969,-6.504,49
3.4522,5,44.297,-41.309,48
3.5159,5,108.457,-50.801,47
3.6115,5,114.258,-54.668,43
3.6814,5,89.297,-59.414,-45
3.7457,5,31.289,-48.516,-46
3.8121,5,-48.516,-14.063,-49
3.8941,5,-109.336,-5.098,-49
3.9608,5,-119.707,-0.703,-49
4.0293,5,-84.727,8.613,49
4.1313,5,-4.57,-12.656,49
4.2001,5,74.531,-39.902,48
4.2675,5,114.609,-42.012,47
4.3279,5,126.563,-45.703,47
4.3978,5,107.754,-54.316,-46
4.4726,5,55.547,-53.262,-46
4.546,5,-36.563,-16.348,-49
4.6184,5,-108.281,-5.273,-49
4.6954,5,-129.375,-1.406,-49
4.7811,5,-105.469,10.02,49
4.8589,5,-50.801,8.438,49
4.9288,5,36.387,-26.367,49
4.9905,5,102.48,-36.914,48
5.0624,5,136.406,-39.375,48
5.1821,5,113.906,-52.734,-46
5.2509,5,56.25,-53.086,-46
5.3297,5,-44.473,-13.887,-49
5.402,5,-106.172,-5.977,-49
5.4739,5,-135.703,-5.625,-49
5.5458,5,-129.375,4.043,49
5.6183,5,-89.824,12.48,49
5.6952,5,5.098,-14.941,49
5.7779,5,83.32,-39.199,48
5.8428,5,125.332,-40.43,48
5.9076,5,140.977,-45.879,47
5.9892,5,122.871,-58.887,-46
6.0576,5,79.453,-65.039,-45
6.1275,5,-5.801,-38.672,-47
6.1973,5,-84.551,-15.645,-49
6.2671,5,-127.969,-15.82,-49
6.329,5,-141.68,-12.48,-49
6.3987,5,-128.848,-1.758,49
6.4626,5,-89.297,6.504,49
6.5384,5,44.648,-36.387,48
6.6373,5,109.336,-44.648,47
6.7089,5,139.57,-44.121,47
6.7757,5,141.855,-52.207,46
6.8445,5,112.676,-65.918,-45
6.9224,5,58.711,-65.215,-45
6.9921,5,-39.375,-25.84,-49
7.0611,5,-103.359,-15.117,-49
7.129,5,-135.527,-15.469,-49
7.2031,5,-140.801,-7.383,-49
7.2739,5,-117.949,4.922,49
7.3507,5,-43.77,2.813,49
7.4265,5,50.977,-35.859,48
7.4963,5,124.277,-42.012,47
7.5861,5,145.371,-43.945,47
7.6531,5,139.043,-54.316,-46
7.719,5,110.391,-65.918,-45
7.7868,5,52.91,-63.809,-45
7.8507,5,-41.836,-25.312,-48
7.9249,5,-108.281,-15.996,-49
7.9908,5,-139.57,-16.523,-49
8.0596,5,-134.473,-3.34,49
8.1644,5,-97.559,6.152,49
8.2411,5,-19.336,-9.668,49
8.301,5,66.621,-43.77,47
8.3638,5,123.926,-47.285,47
8.4406,5,145.547,-50.625,47
8.5224,5,134.297,-62.402,-45
8.5987,5,90.352,-71.016,-44
8.6721,5,-7.734,-40.605,-47
8.7542,5,-85.957,-16.172,-49
8.822,5,-125.859,-14.766,-49
8.8829,5,-142.559,-11.074,-49
8.9527,5,-122.52,5.098,49
9.0539,5,-72.422,10.195,49
9.1167,5,12.305,-19.512,49
9.1801,5,91.934,-40.43,48
9.2507,5,130.078,-40.254,48
9.3105,5,145.547,-43.594,47
9.3824,5,134.121,-56.953,-46
9.4502,5,99.844,-67.324,-45
9.5102,5,40.43,-60.82,-45
9.5731,5,-49.219,-24.082,-49
9.6419,5,-109.688,-17.402,-49
9.7086,5,-140.801,-18.281,-49
9.7755,5,-139.57,-8.965,49
9.8483,5,-111.973,2.285,49
9.9241,5,-47.461,-1.582,49
9.998,5,51.68,-42.539,47
10.0743,5,113.379,-49.746,47
10.1471,5,143.965,-50.801,47
10.2269,5,138.164,-62.051,-45
10.3003,5,106.523,-72.422,-44
10.3711,5,43.945,-65.742,-45
10.441,5,-63.809,-21.797,-49
10.5104,5,-124.102,-17.051,-49
10.5961,5,-142.91,-11.25,-49
10.6795,5,-125.156,2.637,49
10.7494,5,-85.957,9.492,49
10.8151,5,-6.152,-11.602,49
10.882,5,90.0,-40.957,48
10.9633,5,131.836,-40.605,48
11.0271,5,146.25,-43.418,47
11.0881,5,134.473,-57.305,-46
11.1653,5,93.164,-68.555,-44
11.235,5,29.18,-58.008,-45
11.3046,5,-69.609,-21.27,-49
11.3708,5,-121.992,-19.863,-49
11.4412,5,-143.437,-19.863,-49
11.502,5,-140.273,-11.426,49
11.5765,5,-88.418,1.934,49
11.6692,5,6.152,-26.719,49
11.748,5,94.395,-51.855,46
11.8245,5,130.781,-51.504,46
11.8853,5,146.25,-55.547,40
11.9602,5,134.473,-66.27,-45
12.029,5,101.777,-73.477,-44
12.0917,5,38.145,-63.457,-45
12.1635,5,-65.566,-20.039,-49
12.2369,5,-118.301,-14.766,-49
12.3037,5,-141.504,-11.602,-49
12.3846,5,-130.43,3.34,49
12.4535,5,-95.625,14.063,49
12.5223,5,-24.258,3.516,49
12.5989,5,79.102,-31.113,48
12.6669,5,135.352,-30.059,48
12.7506,5,145.02,-39.375,48
12.8523,5,108.633,-56.777,-46
12.9392,5,16.172,-43.066,-47
13.0259,5,-79.102,-11.074,-49
13.0985,5,-132.539,-12.129,-49
13.1853,5,-145.02,-8.086,-49
13.2641,5,-125.859,4.746,49
13.3301,5,-81.738,10.898,49
13.4009,5,4.57,-16.348,49
13.4847,5,95.625,-41.836,47
13.5547,5,136.406,-41.484,47
13.6149,5,148.184,-46.758,47
13.6832,5,135.352,-59.941,-45
13.7491,5,104.238,-69.258,-44
13.8084,5,40.957,-62.578,-45
13.8884,5,-61.699,-21.797,-49
13.9547,5,-130.781,-18.105,-49
14.0488,5,-144.668,-13.008,-49
14.1266,5,-128.848,-0.352,49
14.1895,5,-87.891,7.559,49
14.2613,5,7.207,-20.215,49
14.3393,5,83.32,-43.066,47
14.4001,5,134.473,-43.418,47
14.4919,5,145.723,-51.328,46
14.5687,5,125.332,-64.863,-45
14.6372,5,78.574,-70.137,-44
14.7105,5,-3.164,-43.418,-47
14.7799,5,-86.836,-17.93,-49
14.8417,5,-128.145,-17.402,-49
14.913,5,-143.789,-12.656,-49
14.9898,5,-128.32,0.352,49
15.0536,5,-89.297,8.965,49
15.1164,5,-10.02,-9.492,49
15.1893,5,74.883,-38.848,48
15.2566,5,126.563,-39.727,48
15.3233,5,146.953,-41.309,47
15.3971,5,138.164,-54.668,-46
15.4789,5,94.922,-67.852,-44
15.5497,5,22.676,-54.668,-46
15.6152,5,-79.453,-18.984,-49
15.695,5,-133.066,-19.512,-49
15.7878,5,-143.789,-12.832,-49
15.8655,5,-124.102,-1.406,49
15.9314,5,-58.535,0.0,49
16.0251,5,38.848,-40.43,48
16.092,5,112.148,-51.855,46
16.1697,5,143.789,-52.559,46
16.2437,5,143.262,-61.172,24
16.3184,5,117.422,-72.949,-44
16.3807,5,38.672,-66.094,-44
16.4831,5,-66.797,-23.027,-49
16.5583,5,-129.727,-18.633,-49
16.6455,5,-143.262,-13.535,-49
16.7134,5,-128.145,-0.176,49
16.7792,5,-91.758,7.91,49
16.8446,5,-5.801,-13.184,49
16.9371,5,88.945,-42.715,47
17.003,5,141.68,-42.891,47
17.0977,5,144.492,-50.977,47
17.1605,5,105.82,-69.258,-44
17.2584,5,46.758,-65.742,-45
17.3232,5,-56.602,-26.016,-49
