alpha_deg,cmd_pwm,i_ma,mode,pwm,setpoint_deg,t_s,theta_deg,v_bus
101.777,50,26.3,1,49,0.0,0.0,7.207,15.024
111.27,50,74.5,1,49,0.0,0.0891,-1.055,14.92
112.5,50,73.7,1,49,0.0,0.1569,-10.898,14.944
112.5,50,73.7,1,49,0.0,0.2297,-19.16,14.944
109.512,50,71.5,1,49,0.0,0.3105,-31.113,14.936
105.996,50,73.9,1,49,0.0,0.3828,-58.535,14.924
111.973,50,72.1,1,49,0.0,0.5155,-84.375,14.932
111.445,50,71.7,0,0,0.0,0.5866,-104.238,14.928
91.406,50,27.3,0,0,0.0,0.6765,-110.215,15.028
86.836,50,27.2,0,0,0.0,0.7729,-111.621,15.028
101.953,50,27.0,0,0,0.0,0.8741,-113.379,15.028
115.137,50,27.4,0,0,0.0,0.9523,-110.215,15.024
110.391,50,26.9,0,0,0.0,1.0471,-82.969,15.024
103.535,50,26.9,0,0,0.0,1.1597,-68.203,15.028
113.555,0,27.7,0,0,0.0,0.0,-48.867,15.024
120.938,0,27.0,0,0,0.0,0.0791,-39.902,15.028
114.961,0,27.3,0,0,0.0,0.1749,-28.125,15.024
105.117,0,27.0,0,0,0.0,0.259,-15.645,15.028
105.293,0,27.1,0,0,0.0,0.3508,-10.371,15.024
115.312,0,27.1,0,0,0.0,0.4186,-9.668,15.024
119.531,0,26.8,0,0,0.0,0.5103,-8.438,15.028
115.137,0,27.1,0,0,0.0,0.5851,-4.043,15.028
107.93,0,27.4,0,0,0.0,0.6602,0.703,15.028
104.766,0,27.4,0,0,0.0,0.7309,2.988,15.028
112.852,-50,27.2,0,0,0.0,0.0,-0.703,15.024
115.312,-50,27.3,0,0,0.0,0.1015,-1.758,15.028
109.688,-50,27.3,0,0,0.0,0.1962,0.527,15.028
106.699,-50,26.4,0,0,0.0,0.283,0.703,15.028
110.391,-50,27.0,0,0,0.0,0.3697,-2.285,15.028
113.203,-50,27.2,0,0,0.0,0.4656,-4.57,15.028
112.148,-50,27.0,0,0,0.0,0.5403,-4.395,15.032
109.16,-50,27.2,0,0,0.0,0.6205,-3.516,15.024
108.281,-50,27.2,0,0,0.0,0.6934,-4.043,15.024
110.215,-50,26.6,0,0,0.0,0.784,-5.098,15.024
111.27,-50,27.5,0,0,0.0,0.8732,-5.273,15.024
110.918,-50,27.5,0,0,0.0,0.9987,-4.746,15.024
110.391,-50,27.4,0,0,0.0,1.0945,-4.746,15.024
110.215,-50,27.2,0,0,0.0,1.1678,-4.746,15.024
110.215,0,27.3,0,0,0.0,0.0,-4.746,15.028
110.566,0,26.7,0,0,0.0,0.0903,-4.746,15.024
110.742,0,26.7,0,0,0.0,0.1908,-4.746,15.024
110.742,0,26.9,0,0,0.0,0.2569,-4.746,15.028
110.566,0,27.1,0,0,0.0,0.3377,-4.746,15.024
110.391,0,27.1,0,0,0.0,0.4151,-4.746,15.024
110.215,0,26.8,0,0,0.0,0.4895,-4.746,15.028
110.215,0,27.3,0,0,0.0,0.5574,-4.746,15.028
110.391,0,27.2,0,0,0.0,0.6353,-4.746,15.028
110.566,0,27.2,0,0,0.0,0.717,-4.746,15.028
110.742,0,26.6,0,0,0.0,0.7946,-4.746,15.024
