alpha_deg,cmd_sp,i_ma,mode,pwm,setpoint_deg,t_s,theta_deg,v_bus
130.254,20.0,26.9,2,-49,20.0,0.0,3.252,15.028
125.859,20.0,63.9,2,-41,20.0,0.0745,5.01,14.952
128.672,20.0,57.6,2,-41,20.0,0.1458,5.713,14.964
137.988,20.0,57.6,2,-35,20.0,0.2147,6.943,14.964
142.559,20.0,50.0,2,-15,20.0,0.3035,11.338,14.98
140.449,20.0,26.6,2,0,20.0,0.3853,19.951,15.028
137.109,20.0,44.1,2,30,20.0,0.488,29.268,14.988
141.855,20.0,48.4,2,21,20.0,0.6117,28.389,14.98
142.031,20.0,47.0,2,29,20.0,0.7065,27.861,14.988
137.285,20.0,49.2,2,29,20.0,0.8091,27.158,14.976
134.648,20.0,30.5,2,6,20.0,0.878,23.643,15.024
136.055,20.0,22.5,2,0,20.0,0.9981,20.303,15.028
137.461,20.0,27.8,2,-9,20.0,1.0658,17.842,15.032
137.461,20.0,46.0,2,-29,20.0,1.1368,16.611,14.988
134.824,20.0,46.0,2,-3,20.0,1.2185,17.842,14.988
136.758,20.0,27.9,2,-29,20.0,1.3113,17.842,15.016
138.867,20.0,25.9,2,0,20.0,1.4293,19.248,15.032
137.637,20.0,27.3,2,4,20.0,1.578,21.006,15.024
136.934,20.0,27.2,2,29,20.0,1.6698,22.061,15.028
138.164,20.0,27.3,2,2,20.0,1.7566,21.357,15.028
137.812,20.0,27.4,2,3,20.0,1.8404,21.533,15.028
137.285,20.0,27.2,2,3,20.0,1.9301,21.709,15.028
136.934,20.0,27.1,2,4,20.0,2.0349,21.709,15.028
137.109,20.0,27.0,2,4,20.0,2.1695,21.709,15.032
137.637,20.0,26.9,2,4,20.0,2.2413,21.709,15.028
137.812,20.0,26.9,2,4,20.0,2.3081,21.709,15.028
137.637,20.0,27.5,2,4,20.0,2.4118,21.709,15.028
137.461,20.0,27.7,2,4,20.0,2.4886,21.709,15.02
136.934,20.0,28.1,2,4,20.0,2.5586,21.709,15.024
137.109,20.0,27.0,2,4,20.0,2.6882,21.709,15.028
137.637,20.0,27.2,2,4,20.0,2.7727,21.709,15.032
137.637,20.0,26.9,2,4,20.0,2.9463,21.709,15.028
137.285,20.0,27.0,2,4,20.0,3.058,21.709,15.028
137.109,20.0,27.2,2,4,20.0,3.1618,21.709,15.028
137.109,20.0,27.2,2,5,20.0,3.2366,21.709,15.028
137.461,20.0,27.1,2,5,20.0,3.3209,21.709,15.024
137.637,20.0,27.2,2,5,20.0,3.4534,21.709,15.028
146.953,-20.0,287.8,2,66,-20.0,0.0,12.393,14.464
160.488,-20.0,29.1,2,11,-20.0,0.1029,-6.24,15.024
143.086,-20.0,30.4,2,29,-20.0,0.17,-13.096,15.008
142.91,-20.0,30.4,2,18,-20.0,0.2599,-12.744,15.008
142.031,-20.0,27.4,2,-9,-20.0,0.3306,-18.545,15.04
154.512,-20.0,59.7,2,-58,-20.0,0.3964,-32.08,14.96
166.289,-20.0,74.7,2,-51,-20.0,0.4796,-36.826,14.928
166.641,-20.0,74.7,2,-10,-20.0,0.5575,-29.268,14.928
164.707,-20.0,44.1,2,28,-20.0,0.6448,-15.732,14.988
169.805,-20.0,44.1,2,35,-20.0,0.7699,-10.107,14.988
175.781,-20.0,53.0,2,35,-20.0,0.8473,-8.701,14.972
174.727,-20.0,54.5,2,39,-20.0,0.9351,-7.471,14.964
166.641,-20.0,57.5,2,31,-20.0,1.0283,-8.525,14.96
