alpha_deg,cmd_action,i_ma,mode,pwm,setpoint_deg,t_s,theta_deg,v_bus
396.211,0.35,123.8,6,69,0.0,0.0,-12.305,14.812
402.715,0.35,123.8,6,68,0.0,0.0912,-26.016,14.812
406.406,0.35,103.6,6,62,0.0,0.2149,-67.852,14.872
396.035,0.35,504.7,0,0,0.0,0.3049,-123.223,14.028
363.516,0.35,26.7,0,0,0.0,0.4436,-130.605,15.028
328.184,0.35,27.0,0,0,0.0,0.5114,-130.254,15.028
328.887,0.35,27.0,0,0,0.0,0.5942,-133.77,15.028
357.012,0.35,27.0,0,0,0.0,0.673,-133.77,15.032
392.871,0.35,26.7,0,0,0.0,0.7387,-132.539,15.032
415.547,0.35,26.6,0,0,0.0,0.8052,-119.18,15.032
412.559,0.35,26.6,0,0,0.0,0.8839,-97.031,15.032
387.949,0.35,26.6,0,0,0.0,0.9528,-63.809,15.032
363.867,0.35,27.1,0,0,0.0,1.0226,-33.398,15.032
356.133,0.35,27.1,0,0,0.0,1.0874,-12.48,15.032
375.117,0.35,26.2,0,0,0.0,1.1662,-0.527,15.028
408.164,0.35,26.9,0,0,0.0,1.2426,5.977,15.032
413.438,0.35,27.0,0,0,0.0,1.3324,16.523,15.028
401.133,0.35,27.0,0,0,0.0,1.3942,33.047,15.028
369.668,0.35,26.9,0,0,0.0,1.457,62.578,15.028
359.297,0.35,26.4,0,0,0.0,1.5408,82.793,15.032
407.109,-0.35,26.9,0,0,0.0,0.0,81.562,15.028
407.461,-0.35,26.0,0,0,0.0,0.0987,89.473,15.032
387.598,-0.35,26.0,0,0,0.0,0.1704,103.887,15.032
362.285,-0.35,26.9,0,0,0.0,0.2492,120.234,15.028
380.742,-0.35,27.1,0,0,0.0,0.3389,112.5,15.032
404.473,-0.35,30.0,0,0,0.0,0.4537,101.074,15.016
390.234,-0.35,26.7,0,0,0.0,0.5785,105.996,15.028
365.625,-0.35,25.8,0,0,0.0,0.6453,111.27,15.008
378.633,-0.35,25.8,0,0,0.0,0.781,100.547,15.008
397.969,-0.35,25.6,0,0,0.0,0.8637,85.957,15.028
374.414,-0.35,27.1,0,0,0.0,0.9566,89.648,15.032
368.086,-0.35,27.3,0,0,0.0,1.1197,88.418,15.032
380.918,-0.35,26.8,0,0,0.0,1.2025,78.926,15.032
394.453,-0.35,27.0,0,0,0.0,1.2892,70.137,15.036
379.336,-0.35,26.2,0,0,0.0,1.382,75.937,15.028
371.25,-0.35,26.8,0,0,0.0,1.5286,78.926,15.028
385.664,0.0,27.3,0,0,0.0,0.0,71.543,15.028
391.641,0.0,26.9,0,0,0.0,0.0877,69.609,15.032
382.852,0.0,27.4,0,0,0.0,0.1545,75.762,15.032
374.941,0.0,27.2,0,0,0.0,0.2662,80.684,15.032
380.391,0.0,27.6,0,0,0.0,0.3489,79.277,15.024
388.125,0.0,27.6,0,0,0.0,0.4436,76.816,15.024
389.004,0.0,27.2,0,0,0.0,0.5185,77.871,15.032
384.082,0.0,27.3,0,0,0.0,0.5883,81.387,15.028
377.93,0.0,26.7,0,0,0.0,0.6551,85.078,15.032
379.863,0.0,26.7,0,0,0.0,0.7558,84.199,15.032
385.137,0.0,27.3,0,0,0.0,0.8197,81.914,15.028
386.719,0.0,26.9,0,0,0.0,0.9026,81.387,15.032
383.027,0.0,26.6,0,0,0.0,0.9704,83.496,15.036
380.391,0.0,26.8,0,0,0.0,1.0711,84.199,15.028
381.27,0.0,26.8,0,0,0.0,1.1488,83.145,15.028
383.379,0.0,27.9,0,0,0.0,1.2271,81.738,15.024
384.082,0.0,22.8,0,0,0.0,1.2979,81.387,15.02
382.852,0.0,26.9,0,0,0.0,1.3709,81.738,15.032
382.148,0.0,26.9,0,0,0.0,1.4816,81.738,15.028
381.797,0.0,26.9,0,0,0.0,1.5534,81.738,15.028
