alpha_deg,i_ma,mode,pwm,setpoint_deg,t_s,theta_deg,v_bus
367.91,26.2,7,59,0.0,0.0,3.779,15.028
373.711,44.0,7,25,0.0,0.0883,-2.725,14.996
371.602,27.1,7,0,0.0,0.1712,-5.01,15.028
362.988,27.1,7,50,0.0,0.2387,-5.713,15.028
363.867,132.1,7,45,0.0,0.3334,-46.494,14.832
350.156,442.7,7,-73,0.0,0.499,-50.186,14.156
350.156,155.6,7,150,0.0,0.5757,-36.475,14.776
367.734,573.5,7,-180,0.0,0.673,-73.037,13.86
347.695,573.5,7,92,0.0,0.7508,-60.557,13.86
346.289,251.4,7,-166,0.0,0.8316,-53.701,14.592
345.937,346.8,7,39,0.0,0.9152,-19.6,14.34
374.062,141.0,7,-198,0.0,1.0027,3.076,14.788
387.949,565.4,7,141,0.0,1.1034,31.025,13.9
413.438,190.2,7,70,0.0,1.1752,49.834,14.688
415.02,159.2,7,81,0.0,1.2645,68.291,14.74
400.605,186.2,7,91,0.0,1.3633,67.236,14.688
384.258,45.9,7,13,0.0,1.4611,37.529,14.988
371.25,45.9,7,59,0.0,1.5695,12.92,14.988
366.68,91.9,7,-78,0.0,1.6453,-13.975,14.884
360.703,36.6,7,58,0.0,1.7231,-29.619,14.976
371.426,175.2,7,-182,0.0,1.7969,-63.545,14.716
352.09,32.0,7,41,0.0,1.8901,-47.549,15.016
354.023,496.9,7,101,0.0,2.0328,-10.459,14.056
381.621,627.8,7,183,0.0,2.1724,26.982,13.716
413.438,627.8,7,-127,0.0,2.2642,42.451,13.716
419.238,164.4,7,131,0.0,2.349,67.764,14.708
417.129,57.2,7,84,0.0,2.4338,79.893,14.96
398.672,224.8,7,90,0.0,2.5176,76.377,14.6
394.453,44.1,7,-25,0.0,2.6073,50.361,14.984
379.336,55.3,7,10,0.0,2.6896,24.873,14.96
372.832,69.3,7,-47,0.0,2.7875,0.439,14.928
368.086,27.5,7,6,0.0,2.8812,-19.951,15.02
376.875,49.1,7,-152,0.0,2.9935,-54.932,14.988
368.965,371.6,7,83,0.0,3.1192,-22.236,14.288
380.391,52.2,7,-18,0.0,3.2309,-20.479,14.964
388.301,165.3,7,-8,0.0,3.3088,-1.67,14.68
402.187,56.9,7,6,0.0,3.4284,23.115,14.944
410.625,90.4,7,12,0.0,3.5202,39.639,14.88
408.867,151.2,7,70,0.0,3.6054,51.768,14.748
403.594,53.8,7,49,0.0,3.7042,54.053,14.964
396.914,44.1,7,27,0.0,3.775,46.846,14.98
389.18,41.3,7,24,0.0,3.8717,34.189,14.984
386.719,41.3,7,6,0.0,3.9704,23.818,14.984
386.191,96.6,7,-29,0.0,4.0488,11.514,14.868
385.488,69.2,7,-37,0.0,4.1525,7.646,14.94
386.719,43.9,7,-39,0.0,4.2362,7.471,14.992
388.301,87.4,7,-23,0.0,4.3271,11.865,14.888
391.465,29.5,7,14,0.0,4.4124,16.436,15.02
396.211,29.5,7,-7,0.0,4.4803,20.83,15.02
396.211,27.2,7,24,0.0,4.571,26.279,15.016
395.332,69.0,7,30,0.0,4.6399,30.498,14.928
394.453,31.4,7,29,0.0,4.7276,32.08,15.012
392.871,30.8,7,11,0.0,4.8573,30.322,15.016
391.992,32.5,7,15,0.0,4.9858,26.104,15.008
391.816,26.8,7,16,0.0,5.1125,23.115,15.02
391.465,28.4,7,13,0.0,5.2063,21.357,15.02
391.113,28.4,7,23,0.0,5.2841,20.127,15.02
391.465,29.2,7,4,0.0,5.3527,18.896,15.02
391.289,27.0,7,11,0.0,5.423,18.721,15.02
391.816,26.8,7,3,0.0,5.4958,18.721,15.024
392.344,26.9,7,3,0.0,5.621,19.072,15.02
392.52,26.9,7,14,0.0,5.6929,19.6,15.02
392.344,28.2,7,7,0.0,5.7747,20.303,15.016
392.52,28.8,7,16,0.0,5.8689,20.83,15.016
392.695,26.7,7,9,0.0,5.9646,20.83,15.024
392.344,29.3,7,13,0.0,6.0364,21.006,15.016
391.992,28.3,7,15,0.0,6.1746,21.006,15.02
391.992,30.1,7,15,0.0,6.2584,21.006,15.012
391.992,29.9,7,15,0.0,6.3401,21.006,15.012
392.344,28.6,7,12,0.0,6.421,21.006,15.016
392.52,28.2,7,11,0.0,6.5087,21.006,15.016
392.52,28.2,7,13,0.0,6.5915,21.006,15.016
392.344,28.9,7,15,0.0,6.6646,21.006,15.02
392.168,30.2,7,15,0.0,6.7374,21.006,15.008
