alpha_deg,cmd_pwm,i_ma,mode,pwm,setpoint_deg,t_s,theta_deg,v_bus
203.73,50,26.8,1,49,0.0,0.0,5.889,15.02
211.641,50,75.7,1,49,0.0,0.0917,-1.846,14.912
218.32,50,73.5,1,49,0.0,0.1565,-11.514,14.92
219.375,50,74.8,1,49,0.0,0.2363,-24.697,14.928
219.375,50,74.8,1,49,0.0,0.3251,-37.002,14.928
219.375,50,74.0,1,49,0.0,0.3934,-50.361,14.932
219.199,50,71.9,1,49,0.0,0.4632,-67.412,14.924
223.945,50,71.6,1,49,0.0,0.533,-90.615,14.92
221.66,50,71.6,0,0,0.0,0.6039,-108.369,14.92
201.621,50,30.8,0,0,0.0,0.6916,-112.764,14.996
210.762,50,27.1,0,0,0.0,0.8358,-113.643,15.02
225.352,50,27.3,0,0,0.0,0.9286,-111.709,14.992
230.801,50,27.3,0,0,0.0,1.0083,-102.393,14.992
225.527,50,26.9,0,0,0.0,1.0797,-86.396,15.02
217.09,50,27.2,0,0,0.0,1.1654,-65.127,15.02
224.648,0,26.5,0,0,0.0,0.0,-51.592,15.02
232.383,0,27.2,0,0,0.0,0.0742,-45.264,15.02
232.207,0,26.9,0,0,0.0,0.1411,-34.717,15.024
224.473,0,26.9,0,0,0.0,0.2336,-23.643,15.024
218.672,0,27.4,0,0,0.0,0.3263,-11.338,15.02
225.527,0,27.4,0,0,0.0,0.4181,-9.229,15.02
232.207,0,27.1,0,0,0.0,0.4989,-8.35,15.02
229.922,0,27.5,0,0,0.0,0.5757,-3.779,15.02
220.43,0,26.8,0,0,0.0,0.6655,2.9,15.02
219.023,0,27.2,0,0,0.0,0.7554,4.307,15.016
228.867,-50,26.6,0,0,0.0,0.0,0.439,15.02
227.461,-50,27.1,0,0,0.0,0.1123,1.67,15.02
222.012,-50,27.0,0,0,0.0,0.1877,3.955,15.02
220.781,-50,27.2,0,0,0.0,0.2691,3.604,15.02
224.473,-50,25.5,0,0,0.0,0.3524,0.967,15.016
226.582,-50,25.5,0,0,0.0,0.4367,-0.615,15.016
225.879,-50,26.7,0,0,0.0,0.5024,-0.439,15.016
223.945,-50,27.1,0,0,0.0,0.5732,0.088,15.02
222.539,-50,27.0,0,0,0.0,0.6387,-0.088,15.02
222.891,-50,27.0,0,0,0.0,0.7254,-0.791,15.02
224.297,-50,25.3,0,0,0.0,0.8133,-1.494,15.02
224.648,-50,26.7,0,0,0.0,0.8822,-1.494,15.024
224.824,-50,26.7,0,0,0.0,0.9459,-1.318,15.024
224.648,-50,27.1,0,0,0.0,1.023,-1.318,15.012
223.945,-50,26.9,0,0,0.0,1.0958,-1.318,15.024
223.594,-50,26.9,0,0,0.0,1.1954,-1.318,15.016
223.945,0,26.5,0,0,0.0,0.0,-1.318,15.02
224.473,0,27.0,0,0,0.0,0.0674,-1.318,15.02
224.648,0,27.2,0,0,0.0,0.1509,-1.318,15.02
224.648,0,27.2,0,0,0.0,0.2503,-1.318,15.02
224.297,0,27.8,0,0,0.0,0.3161,-1.318,15.008
223.77,0,27.1,0,0,0.0,0.4037,-1.318,15.02
223.945,0,27.0,0,0,0.0,0.5404,-1.318,15.02
224.648,0,27.2,0,0,0.0,0.6416,-1.318,15.016
224.473,0,27.2,0,0,0.0,0.7922,-1.143,15.016
