alpha_deg,cmd_sp,i_ma,mode,pwm,setpoint_deg,t_s,theta_deg,v_bus
33.926,20.0,27.3,2,-79,20.0,0.0,-5.801,15.016
27.598,20.0,83.3,2,-30,20.0,0.078,3.867,14.896
35.859,20.0,39.4,2,-22,20.0,0.1838,10.02,14.992
47.637,20.0,32.8,2,-16,20.0,0.258,12.305,15.008
52.031,20.0,32.8,2,7,20.0,0.327,17.93,15.008
45.0,20.0,27.0,2,44,20.0,0.3968,28.652,15.02
40.605,20.0,71.6,2,41,20.0,0.4796,33.047,14.92
42.187,20.0,71.6,2,27,20.0,0.5442,31.113,14.976
43.066,20.0,44.3,2,17,20.0,0.6101,27.246,14.976
38.672,20.0,28.5,2,12,20.0,0.7089,25.312,15.016
36.738,20.0,28.5,2,5,20.0,0.8155,23.379,15.016
37.441,20.0,27.3,2,-1,20.0,0.8901,20.742,15.02
40.254,20.0,26.7,2,-11,20.0,0.9605,17.578,15.02
40.781,20.0,45.4,2,-29,20.0,1.0408,16.523,14.984
38.32,20.0,45.4,2,0,20.0,1.1136,17.93,14.984
37.969,20.0,27.3,2,-2,20.0,1.2029,18.633,15.024
40.254,20.0,27.2,2,-3,20.0,1.2837,18.457,15.016
41.484,20.0,25.4,2,-2,20.0,1.3694,18.633,15.024
41.484,20.0,28.7,2,0,20.0,1.4412,19.512,15.012
40.254,20.0,28.7,2,0,20.0,1.521,20.742,15.012
39.199,20.0,27.4,2,4,20.0,1.5905,21.445,15.02
39.375,20.0,27.5,2,4,20.0,1.6569,21.621,15.02
40.078,20.0,27.5,2,4,20.0,1.7306,21.621,15.02
40.605,20.0,26.7,2,4,20.0,1.8124,21.621,15.02
40.781,20.0,26.7,2,4,20.0,1.8942,21.621,15.02
40.254,20.0,27.4,2,4,20.0,1.9821,21.621,15.02
39.727,20.0,27.3,2,4,20.0,2.0478,21.621,15.02
39.199,20.0,27.3,2,4,20.0,2.1408,21.621,15.02
39.551,20.0,26.8,2,4,20.0,2.2246,21.621,15.02
40.078,20.0,26.9,2,4,20.0,2.3074,21.621,15.024
40.43,20.0,26.8,2,4,20.0,2.3712,21.621,15.028
40.781,20.0,25.8,2,4,20.0,2.447,21.621,15.016
40.43,20.0,25.8,2,5,20.0,2.5288,21.621,15.016
39.727,20.0,27.5,2,5,20.0,2.6102,21.621,15.024
39.375,20.0,27.1,2,5,20.0,2.6899,21.621,15.02
39.375,20.0,27.0,2,5,20.0,2.7632,21.621,15.024
39.902,20.0,26.8,2,5,20.0,2.8538,21.621,15.02
40.43,20.0,26.8,2,5,20.0,2.9461,21.621,15.02
40.605,20.0,28.2,2,5,20.0,3.0209,21.621,15.008
40.43,20.0,26.8,2,5,20.0,3.0908,21.621,15.02
40.078,20.0,27.3,2,5,20.0,3.1637,21.621,15.024
39.551,20.0,25.0,2,5,20.0,3.2479,21.621,15.02
39.551,20.0,26.9,2,5,20.0,3.3321,21.621,15.02
39.902,20.0,26.9,2,5,20.0,3.4226,21.621,15.02
44.824,-20.0,294.8,2,94,-20.0,0.0,17.402,14.44
62.227,-20.0,33.0,2,15,-20.0,0.0826,-2.637,15.004
57.832,-20.0,33.0,2,8,-20.0,0.1611,-12.129,15.004
28.652,-20.0,28.4,2,29,-20.0,0.2279,-11.953,15.02
15.82,-20.0,29.7,2,0,-20.0,0.3169,-20.039,15.016
20.215,-20.0,80.2,2,-35,-20.0,0.4277,-34.98,14.916
20.215,-20.0,26.3,2,-6,-20.0,0.5925,-27.773,15.032
20.215,-20.0,26.3,2,22,-20.0,0.6613,-18.105,15.032
21.445,-20.0,37.1,2,35,-20.0,0.7371,-10.898,15.004
28.652,-20.0,52.6,2,35,-20.0,0.8458,-8.789,14.964
26.895,-20.0,55.5,2,38,-20.0,0.9546,-7.383,14.96
17.93,-20.0,47.0,2,25,-20.0,1.0825,-9.844,14.972
17.227,-20.0,27.2,2,10,-20.0,1.1774,-14.238,15.032
17.227,-20.0,27.3,2,-9,-20.0,1.321,-21.094,15.032
17.227,-20.0,27.3,2,-9,-20.0,1.385,-22.5,15.032
17.227,-20.0,26.2,2,0,-20.0,1.4467,-20.215,15.032
17.227,-20.0,26.2,2,3,-20.0,1.5843,-19.16,15.032
17.227,-20.0,26.8,2,4,-20.0,1.6517,-18.281,15.036
17.227,-20.0,27.2,2,11,-20.0,1.7395,-16.699,15.036
