alpha_deg,i_ma,mode,pwm,setpoint_deg,t_s,theta_deg,v_bus
23.906,26.4,3,0,0.0,0.0,1.934,15.016
24.082,28.0,3,0,0.0,0.1015,2.285,15.012
23.906,26.9,3,0,0.0,0.1852,2.461,15.02
23.906,26.8,3,0,0.0,0.27,2.637,15.024
23.906,26.8,3,0,0.0,0.3468,2.813,15.024
23.906,30.1,3,0,0.0,0.4237,2.813,14.992
23.906,27.4,3,0,0.0,0.5104,2.813,15.02
23.73,27.4,3,0,0.0,0.5942,2.813,15.02
23.73,26.6,3,0,0.0,0.6669,2.813,15.016
23.906,26.6,3,0,0.0,0.7408,2.813,15.016
23.906,27.4,3,0,0.0,0.8195,2.813,15.02
24.082,26.9,3,0,0.0,0.8886,3.516,15.02
24.258,26.9,3,0,0.0,0.9868,4.219,15.024
24.258,27.1,3,0,0.0,1.0631,4.219,15.02
24.082,27.1,3,0,0.0,1.1459,4.395,15.02
23.906,27.4,3,0,0.0,1.229,4.395,15.016
23.906,26.0,3,0,0.0,1.305,4.57,15.016
23.906,27.0,3,0,0.0,1.4008,4.57,15.02
23.73,26.7,3,0,0.0,1.4706,4.57,15.016
23.906,26.7,3,0,0.0,1.5404,4.746,15.016
24.082,26.9,3,0,0.0,1.6162,4.746,15.02
24.609,27.2,3,0,0.0,1.7125,5.098,15.02
24.434,26.7,3,0,0.0,1.8302,5.098,15.016
23.73,27.0,3,0,0.0,1.9135,5.098,15.016
22.852,27.0,3,0,0.0,1.9844,5.098,15.016
22.5,27.0,3,0,0.0,2.0682,4.746,15.016
23.027,27.0,3,0,0.0,2.1351,4.57,15.024
23.906,27.1,3,0,0.0,2.2158,5.098,15.02
24.961,26.8,3,0,0.0,2.293,7.207,15.024
25.312,26.8,3,0,0.0,2.3738,8.613,15.024
24.258,26.8,3,0,0.0,2.4366,8.086,15.016
22.324,27.0,3,0,0.0,2.5064,7.734,15.02
21.094,27.0,3,0,0.0,2.5766,6.855,15.02
21.973,27.0,3,0,0.0,2.6554,5.625,15.02
23.906,26.5,3,0,0.0,2.7248,4.219,15.02
24.434,27.2,3,0,0.0,2.8065,4.043,15.02
23.379,27.2,3,0,0.0,2.8833,3.867,15.02
21.973,27.2,3,0,0.0,2.9522,3.867,15.02
23.379,27.1,3,0,0.0,3.0359,4.219,15.02
25.137,27.3,3,0,0.0,3.1472,4.219,15.024
24.961,27.3,3,0,0.0,3.2241,4.922,15.02
23.379,27.4,3,0,0.0,3.3164,5.449,15.016
