alpha_deg,cmd_action,i_ma,mode,pwm,setpoint_deg,t_s,theta_deg,v_bus
-257.871,0.35,26.6,6,69,0.0,0.0,0.0,15.02
-242.578,0.35,117.2,6,69,0.0,0.0697,-14.59,14.82
-231.152,0.35,117.2,6,68,0.0,0.1431,-33.75,14.82
-238.359,0.35,104.6,6,63,0.0,0.2159,-64.512,14.848
-255.41,0.35,104.6,6,168,0.0,0.3309,-87.715,14.848
-261.035,0.35,29.4,0,0,0.0,0.4042,-131.133,15.008
-307.266,0.35,27.3,0,0,0.0,0.4939,-129.551,15.016
-314.824,0.35,27.0,0,0,0.0,0.5847,-131.836,15.02
-291.445,0.35,26.6,0,0,0.0,0.6694,-134.824,15.02
-252.949,0.35,26.6,0,0,0.0,0.7312,-134.121,15.02
-229.219,0.35,27.3,0,0,0.0,0.8041,-124.453,15.016
-226.934,0.35,27.6,0,0,0.0,0.8699,-101.777,15.02
-246.621,0.35,27.6,0,0,0.0,0.9518,-71.543,15.02
-278.086,0.35,27.0,0,0,0.0,1.0216,-30.234,15.02
-277.734,0.35,26.8,0,0,0.0,1.1205,-4.746,15.02
-250.488,0.35,27.2,0,0,0.0,1.2102,1.934,15.016
-228.691,0.35,27.2,0,0,0.0,1.3053,19.687,15.02
-252.422,0.35,26.7,0,0,0.0,1.4191,46.406,15.02
-280.371,0.35,23.5,0,0,0.0,1.506,82.617,15.016
-245.742,-0.35,27.5,0,0,0.0,0.0,81.387,15.016
-230.449,-0.35,28.7,0,0,0.0,0.0714,84.199,15.012
-240.117,-0.35,28.7,0,0,0.0,0.1557,94.043,15.012
-273.164,-0.35,29.0,0,0,0.0,0.2465,115.137,15.0
-274.746,-0.35,21.9,0,0,0.0,0.3282,116.895,15.02
-256.641,-0.35,28.5,0,0,0.0,0.4082,107.93,14.992
-238.535,-0.35,27.0,0,0,0.0,0.4745,98.613,15.02
-246.621,-0.35,26.8,0,0,0.0,0.5562,100.195,15.02
-270.527,-0.35,27.1,0,0,0.0,0.6511,107.754,15.02
-271.582,-0.35,27.1,0,0,0.0,0.7568,102.832,15.02
-252.949,-0.35,27.3,0,0,0.0,0.8455,88.945,15.02
-242.754,-0.35,27.2,0,0,0.0,0.9114,79.98,15.012
-252.07,-0.35,26.7,0,0,0.0,0.9941,80.508,15.02
-267.012,-0.35,26.8,0,0,0.0,1.0699,84.199,15.02
-271.406,-0.35,26.8,0,0,0.0,1.1487,82.441,15.02
-262.09,-0.35,26.7,0,0,0.0,1.2226,75.234,15.02
-247.852,-0.35,27.0,0,0,0.0,1.2981,66.094,15.016
-252.773,-0.35,27.2,0,0,0.0,1.3757,67.148,15.02
-263.496,-0.35,26.2,0,0,0.0,1.4805,71.719,15.02
-268.594,-0.35,26.2,0,0,0.0,1.5433,73.301,15.02
-259.453,0.0,27.3,0,0,0.0,0.0,68.379,15.02
-249.961,0.0,27.7,0,0,0.0,0.0722,64.512,15.016
-255.234,0.0,26.1,0,0,0.0,0.154,68.906,15.02
-262.969,0.0,27.2,0,0,0.0,0.2588,73.652,15.02
-264.375,0.0,26.9,0,0,0.0,0.3284,75.41,15.016
-258.398,0.0,26.9,0,0,0.0,0.4042,73.301,15.016
-251.719,0.0,27.2,0,0,0.0,0.477,71.719,15.008
-254.004,0.0,26.6,0,0,0.0,0.5598,74.531,15.02
-259.805,0.0,26.9,0,0,0.0,0.6464,78.223,15.02
-261.738,0.0,26.7,0,0,0.0,0.7392,79.629,15.02
-255.937,0.0,27.1,0,0,0.0,0.8065,76.992,15.024
-253.828,0.0,27.1,0,0,0.0,0.9035,76.465,15.024
-255.937,0.0,26.7,0,0,0.0,0.9833,77.695,15.02
-259.277,0.0,27.0,0,0,0.0,1.055,79.102,15.02
-259.805,0.0,26.9,0,0,0.0,1.1351,78.574,15.024
-257.695,0.0,26.9,0,0,0.0,1.2229,76.992,15.024
-256.289,0.0,27.1,0,0,0.0,1.3036,76.113,15.02
-256.992,0.0,27.1,0,0,0.0,1.3705,76.289,15.02
-258.223,0.0,26.8,0,0,0.0,1.4532,76.641,15.02
-258.574,0.0,26.8,0,0,0.0,1.5431,76.641,15.02
