t_s,mode,alpha_deg,theta_deg,pwm,i_ma
0.0,5,-22.852,3.691,59,97.7
0.1113,5,-12.656,-9.316,59,95.1
0.1984,5,-6.152,-29.18,58,93.1
0.2862,5,-17.402,-41.309,-57,85.0
0.369,5,-51.855,-35.684,-58,85.0
0.4478,5,-66.094,-31.992,-58,85.0
0.5235,5,-51.152,-34.277,58,93.7
0.6073,5,6.855,-60.645,27,79.3
0.6941,5,19.687,-64.336,14,28.3
0.7799,5,-9.844,-49.57,-56,28.3
0.869,5,-26.543,-9.492,-59,74.4
0.9657,5,-26.543,12.656,59,100.1
1.1385,5,98.965,-9.668,59,92.0
1.2701,5,79.453,-11.602,-59,88.5
1.3794,5,11.426,14.414,-59,88.5
1.4662,5,-62.578,39.023,-57,81.6
1.5798,5,-56.777,49.57,56,82.3
1.6502,5,3.516,42.715,57,91.4
1.746,5,95.449,12.656,59,88.3
1.8267,5,130.078,7.734,59,96.6
1.9025,5,122.695,-1.23,-59,96.6
1.9958,5,48.516,4.219,-59,92.8
2.0731,5,-36.563,35.859,-58,78.2
2.1419,5,-82.617,40.605,-57,83.9
2.2093,5,-94.922,45.703,-57,82.9
2.291,5,-56.25,58.008,55,90.2
2.3809,5,33.047,32.52,58,90.2
2.4696,5,133.242,10.547,0,28.7
2.5649,5,156.27,9.844,59,26.9
2.6396,5,142.207,-2.109,-59,90.8
2.711,5,88.77,-6.855,-59,88.2
2.7878,5,-2.637,27.598,-59,88.2
2.8629,5,-80.156,43.77,-57,80.2
2.933,5,-113.555,46.23,-57,84.5
3.0068,5,-107.051,65.039,54,49.2
3.0976,5,-67.148,76.992,52,86.0
3.1793,5,33.047,50.449,56,86.0
3.2782,5,132.363,30.234,58,28.9
3.3609,5,166.992,34.98,-58,27.8
3.4279,4,171.562,35.156,0,86.4
3.5014,4,148.711,30.41,0,27.2
3.6045,4,69.785,35.156,0,26.4
3.6933,4,-46.758,77.871,0,26.4
3.7671,4,-102.129,75.762,0,26.7
3.8486,4,-113.73,73.301,-61,27.5
3.9253,4,-85.605,83.672,-59,88.4
4.0039,4,-15.82,85.957,-58,88.6
4.1046,4,104.59,69.609,-62,92.8
4.1929,4,135.879,90.352,-58,92.8
4.2617,0,128.848,110.039,0,79.2
