t_s,theta_deg,alpha_deg,alpha_raw_deg,pwm,mode
0.000000,4.3945,0.1758,0.1758,0,0
0.000527,4.3945,0.1758,0.1758,0,0
0.001488,4.3945,0.1758,0.1758,0,0
0.003450,4.3945,0.1758,0.1758,0,0
0.014112,4.3945,0.1758,0.1758,0,0
0.016206,4.3945,0.1758,0.1758,0,0
0.018128,4.3945,0.1758,0.1758,0,0
0.020172,4.3945,0.1758,0.1758,0,0
0.022131,4.3945,0.1758,0.1758,0,0
0.024130,4.3945,0.1758,0.1758,0,0
0.026158,4.3945,0.1758,0.1758,0,0
0.028214,4.3945,0.1758,0.1758,0,0
0.030118,4.3945,0.1758,0.1758,0,0
0.032113,4.3945,0.1758,0.1758,0,0
0.034203,4.3945,0.1758,0.1758,0,0
0.036204,4.3945,0.1758,0.1758,0,0
0.041846,4.3945,0.1758,0.1758,0,0
0.042464,4.3945,0.1758,0.1758,0,0
0.042763,4.3945,0.1758,0.1758,0,0
0.044184,4.3945,0.1758,0.1758,0,0
0.046134,4.3945,0.1758,0.1758,0,0
0.048193,4.3945,0.1758,0.1758,0,0
0.050201,4.3945,0.1758,0.1758,0,0
0.052143,4.3945,0.1758,0.1758,0,0
0.054146,4.3945,0.1758,0.1758,0,0
0.063064,4.3945,0.1758,0.1758,0,0
0.063545,4.3945,0.1758,0.1758,0,0
0.063779,4.3945,0.1758,0.1758,0,0
0.064011,4.3945,0.1758,0.1758,0,0
0.064257,4.3945,0.1758,0.1758,0,0
0.066160,4.3945,0.1758,0.1758,0,0
0.068186,4.3945,0.1758,0.1758,0,0
0.070183,4.3945,0.1758,0.1758,0,0
0.072180,4.3945,0.1758,0.1758,0,0
0.074173,4.3945,0.1758,0.1758,0,0
0.076170,4.3945,0.1758,0.1758,0,0
0.078166,4.3945,0.1758,0.1758,0,0
0.080163,4.3945,0.1758,0.1758,0,0
0.082119,4.3945,0.1758,0.1758,0,0
0.084164,4.3945,0.1758,0.1758,0,0
0.086565,4.3945,0.1758,0.1758,0,0
0.088135,4.3945,0.1758,0.1758,0,0
0.090130,4.3945,0.1758,0.1758,0,0
0.092179,4.3945,0.1758,0.1758,0,0
0.094173,4.3945,0.1758,0.1758,0,0
0.096170,4.3945,0.1758,0.1758,0,0
0.098166,4.3945,0.1758,0.1758,0,0
0.100172,4.3945,0.1758,0.1758,0,0
0.102193,4.3945,0.1758,0.1758,0,0
0.104187,4.3945,0.1758,0.1758,0,0
0.106154,4.3945,0.1758,0.1758,0,0
0.108150,4.3945,0.1758,0.1758,0,0
0.110145,4.3945,0.1758,0.1758,0,0
0.112140,4.3945,0.1758,0.1758,0,0
0.114139,4.3945,0.1758,0.1758,0,0
0.116135,4.3945,0.1758,0.1758,0,0
0.118131,4.3945,0.1758,0.1758,0,0
0.120130,4.3945,0.1758,0.1758,0,0
0.122130,4.3945,0.1758,0.1758,0,0
0.124130,4.3945,0.1758,0.1758,0,0
0.126130,4.3945,0.1758,0.1758,0,0
0.128130,4.3945,0.1758,0.1758,0,0
0.130130,4.3945,0.1758,0.1758,0,0
0.132130,4.3945,0.1758,0.1758,0,0
0.134130,4.3945,0.1758,0.1758,0,0
0.136130,4.3945,0.1758,0.1758,0,0
0.140395,4.3945,0.1758,0.1758,0,0
0.140748,4.3945,0.1758,0.1758,0,0
0.142181,4.3945,0.1758,0.1758,0,0
0.144180,4.3945,0.1758,0.1758,0,0
0.146173,4.3945,0.1758,0.1758,0,0
0.148186,4.3945,0.1758,0.1758,0,0
0.150210,4.3945,0.1758,0.1758,0,0
0.152183,4.3945,0.1758,0.1758,0,0
0.154180,4.3945,0.1758,0.1758,0,0
0.156173,4.3945,0.1758,0.1758,0,0
0.158170,4.3945,0.1758,0.1758,0,0
0.160166,4.3945,0.1758,0.1758,0,0
0.162180,4.3945,0.1758,0.1758,0,0
0.164173,4.3945,0.1758,0.1758,0,0
0.166190,4.3945,0.1758,0.1758,0,0
0.168184,4.3945,0.1758,0.1758,0,0
0.170180,4.3945,0.1758,0.1758,0,0
0.172173,4.3945,0.1758,0.1758,0,0
0.174170,4.3945,0.1758,0.1758,0,0
0.176166,4.3945,0.1758,0.1758,0,0
0.178163,4.3945,0.1758,0.1758,0,0
0.180159,4.3945,0.1758,0.1758,0,0
0.182153,4.3945,0.1758,0.1758,0,0
0.184151,4.3945,0.1758,0.1758,0,0
0.186145,4.3945,0.1758,0.1758,0,0
0.188185,4.3945,0.1758,0.1758,0,0
0.190208,4.3945,0.1758,0.1758,0,0
0.192114,4.3945,0.1758,0.1758,0,0
0.194199,4.3945,0.1758,0.1758,0,0
0.196145,4.3945,0.1758,0.1758,0,0
0.198179,4.3945,0.1758,0.1758,0,0
0.200118,4.3945,0.1758,0.1758,0,0
0.209709,4.3945,0.1758,0.1758,44,1
0.210318,4.3945,0.1758,0.1758,44,1
0.210555,4.3945,0.1758,0.1758,44,1
0.210790,4.3945,0.1758,0.1758,44,1
0.211033,4.3945,0.1758,0.1758,44,1
0.212126,4.3945,0.1758,0.1758,44,1
0.214168,4.3945,0.1758,0.1758,44,1
0.216173,4.3945,0.1758,0.1758,44,1
0.218453,4.2188,0.3516,0.3516,44,1
0.220205,4.2188,0.3516,0.3516,44,1
0.222123,4.2188,0.3516,0.3516,44,1
0.224173,4.2188,0.3516,0.3516,44,1
0.226189,4.0430,0.5273,0.5273,44,1
0.228180,4.0430,0.5273,0.5273,44,1
0.230174,4.0430,0.5273,0.5273,44,1
0.232201,3.8672,0.7031,0.7031,44,1
0.234137,3.8672,0.7031,0.7031,44,1
0.243288,3.5156,1.2305,1.2305,44,1
0.243699,3.3398,1.2305,1.2305,44,1
0.243866,3.3398,1.2305,1.2305,44,1
0.244036,3.3398,1.2305,1.2305,44,1
0.244202,3.3398,1.2305,1.2305,44,1
0.246173,3.3398,1.2305,1.2305,44,1
0.248149,3.1641,1.4062,1.4062,44,1
0.250178,2.9883,1.5820,1.5820,44,1
0.252151,2.9883,1.7578,1.7578,44,1
0.254122,2.8125,1.7578,1.7578,44,1
0.256177,2.6367,1.9336,1.9336,44,1
0.258186,2.4609,1.9336,1.9336,44,1
0.260114,2.4609,2.1094,2.1094,44,1
0.262131,2.2852,2.2852,2.2852,44,1
0.264155,2.1094,2.4609,2.4609,44,1
0.266165,1.9336,2.6367,2.6367,44,1
0.268143,1.7578,2.6367,2.6367,44,1
0.270151,1.7578,2.8125,2.8125,44,1
0.272125,1.5820,2.9883,2.9883,44,1
0.274185,1.4062,3.1641,3.1641,44,1
0.276159,1.2305,3.3398,3.3398,44,1
0.278134,1.0547,3.5156,3.5156,44,1
0.280123,0.8789,3.5156,3.5156,44,1
0.282127,0.7031,3.8672,3.8672,44,1
0.284115,0.5273,3.8672,3.8672,44,1
0.286172,0.3516,4.0430,4.0430,44,1
0.288150,0.1758,4.2188,4.2188,44,1
0.290125,0.0000,4.3945,4.3945,44,1
0.292182,-0.1758,4.5703,4.5703,44,1
0.294157,-0.3516,4.7461,4.7461,44,1
0.296130,-0.5273,4.7461,4.7461,44,1
0.298187,-0.7031,4.9219,4.9219,44,1
0.300162,-0.8789,5.0977,5.0977,44,1
0.302140,-1.0547,5.2734,5.2734,44,1
0.304114,-1.4062,5.4492,5.4492,44,1
0.306170,-1.4062,5.6250,5.6250,44,1
0.308146,-1.7578,5.8008,5.8008,44,1
0.310125,-1.9336,5.9766,5.9766,44,1
0.312185,-2.1094,6.1523,6.1523,44,1
0.314159,-2.2852,6.1523,6.1523,44,1
0.316134,-2.4609,6.3281,6.3281,44,1
0.318189,-2.8125,6.5039,6.5039,44,1
0.320163,-2.9883,6.6797,6.6797,44,1
0.322140,-3.1641,6.8555,6.8555,44,1
0.324114,-3.3398,7.0312,7.0312,44,1
0.326170,-3.5156,7.0312,7.0312,44,1
0.328146,-3.8672,7.2070,7.2070,44,1
0.330203,-4.0430,7.3828,7.3828,44,1
0.332196,-4.2188,7.5586,7.5586,44,1
0.334140,-4.3945,7.5586,7.5586,44,1
0.336138,-4.7461,7.7344,7.7344,44,1
0.351229,-6.1523,8.4375,8.4375,-44,1
0.353322,-6.3281,8.4375,8.4375,-44,1
0.355276,-6.3281,8.4375,8.4375,-44,1
0.357273,-6.5039,8.4375,8.4375,-44,1
0.359316,-6.6797,8.4375,8.4375,-44,1
0.361245,-6.8555,8.4375,8.4375,-44,1
0.363561,-6.8555,8.4375,8.4375,-44,1
0.365310,-7.0312,8.4375,8.4375,-44,1
0.367234,-7.0312,8.2617,8.2617,-44,1
0.369289,-7.0312,8.2617,8.2617,-44,1
0.371261,-7.2070,8.0859,8.0859,-44,1
0.373276,-7.2070,8.0859,8.0859,-44,1
0.375269,-7.2070,7.9102,7.9102,-44,1
0.377268,-7.3828,7.7344,7.7344,-44,1
0.379265,-7.3828,7.5586,7.5586,-44,1
0.381265,-7.3828,7.5586,7.5586,-44,1
0.383265,-7.3828,7.3828,7.3828,-44,1
0.385265,-7.3828,7.0312,7.0312,-44,1
0.387265,-7.3828,6.8555,6.8555,-44,1
0.389265,-7.3828,6.6797,6.6797,-44,1
0.391265,-7.3828,6.3281,6.3281,-44,1
0.393265,-7.3828,6.1523,6.1523,-44,1
0.395265,-7.3828,5.9766,5.9766,-44,1
0.397265,-7.2070,5.6250,5.6250,-44,1
0.399265,-7.2070,5.4492,5.4492,-44,1
0.401265,-7.0312,5.0977,5.0977,-44,1
0.403265,-7.0312,4.7461,4.7461,-44,1
0.405265,-7.0312,4.5703,4.5703,-44,1
0.407265,-6.8555,4.2188,4.2188,-44,1
0.409265,-6.8555,3.8672,3.8672,-44,1
0.411265,-6.6797,3.5156,3.5156,-44,1
0.413265,-6.5039,3.1641,3.1641,-44,1
0.415265,-6.5039,2.8125,2.8125,-44,1
0.417266,-6.3281,2.4609,2.4609,-44,1
0.419265,-6.1523,2.1094,2.1094,-44,1
0.421265,-6.1523,1.7578,1.7578,-44,1
0.423265,-5.9766,1.4062,1.4062,-44,1
0.425265,-5.8008,1.0547,1.0547,-44,1
0.427265,-5.6250,0.7031,0.7031,-44,1
0.429265,-5.4492,0.3516,0.3516,-44,1
0.431265,-5.2734,-0.1758,-0.1758,-44,1
0.433265,-5.0977,-0.5273,-0.5273,-44,1
0.435265,-4.9219,-0.8789,-0.8789,-44,1
0.437265,-4.7461,-1.4062,-1.4062,-44,1
0.441083,-4.3945,-2.1094,-2.1094,-44,1
0.441371,-4.3945,-2.2852,-2.2852,-44,1
0.443276,-4.2188,-2.6367,-2.6367,-44,1
0.445269,-4.0430,-2.9883,-2.9883,-44,1
0.447268,-3.8672,-3.5156,-3.5156,-44,1
0.449265,-3.6914,-3.8672,-3.8672,-44,1
0.451265,-3.5156,-4.3945,-4.3945,-44,1
0.453265,-3.3398,-4.7461,-4.7461,-44,1
0.455317,-3.1641,-5.2734,-5.2734,-44,1
0.457234,-2.8125,-5.6250,-5.6250,-44,1
0.459234,-2.6367,-5.9766,-5.9766,-44,1
0.461276,-2.4609,-6.5039,-6.5039,-44,1
0.463275,-2.2852,-6.8555,-6.8555,-44,1
0.465269,-2.1094,-7.3828,-7.3828,-44,1
0.467279,-1.9336,-7.7344,-7.7344,-44,1
0.469258,-1.5820,-8.0859,-8.0859,-44,1
0.471261,-1.4062,-8.6133,-8.6133,-44,1
0.473234,-1.2305,-8.9648,-8.9648,-44,1
0.475234,-1.0547,-9.3164,-9.3164,-44,1
0.477234,-0.7031,-9.8438,-9.8438,-44,1
0.479234,-0.5273,-10.1953,-10.1953,-44,1
0.481234,-0.3516,-10.5469,-10.5469,-44,1
0.483281,-0.1758,-10.8984,-10.8984,-44,1
0.485289,0.0000,-11.2500,-11.2500,-44,1
0.487297,0.1758,-11.6016,-11.6016,-44,1
0.489261,0.3516,-12.1289,-12.1289,-44,1
0.491281,0.7031,-12.3047,-12.3047,-44,1
0.493242,0.8789,-12.8320,-12.8320,-44,1
0.495258,1.0547,-13.0078,-13.0078,-44,1
0.497258,1.2305,-13.3594,-13.3594,-44,1
0.499258,1.4062,-13.7109,-13.7109,-44,1
0.501258,1.5820,-14.0625,-14.0625,-44,1
0.503294,1.7578,-14.2383,-14.2383,-44,1
