t_s,theta_deg,alpha_deg,alpha_raw_deg,pwm,mode
0.000000,79.4531,-66.0938,-66.0938,0,0
0.000564,79.4531,-66.0938,-66.0938,0,0
0.001186,79.4531,-66.0938,-66.0938,0,0
0.003107,79.4531,-66.0938,-66.0938,0,0
0.005133,79.4531,-66.0938,-66.0938,0,0
0.007182,79.4531,-66.0938,-66.0938,0,0
0.009348,79.4531,-66.0938,-66.0938,0,0
0.011197,79.4531,-66.0938,-66.0938,0,0
0.013114,79.4531,-66.0938,-66.0938,0,0
0.015160,79.4531,-66.0938,-66.0938,0,0
0.017147,79.4531,-66.0938,-66.0938,0,0
0.019144,79.4531,-66.0938,-66.0938,0,0
0.021130,79.4531,-66.0938,-66.0938,0,0
0.023109,79.4531,-66.0938,-66.0938,0,0
0.025193,79.4531,-66.0938,-66.0938,0,0
0.027174,79.4531,-66.0938,-66.0938,0,0
0.029153,79.4531,-66.0938,-66.0938,0,0
0.031128,79.4531,-66.0938,-66.0938,0,0
0.039523,79.4531,-66.0938,-66.0938,0,0
0.040055,79.4531,-66.0938,-66.0938,0,0
0.040289,79.4531,-66.0938,-66.0938,0,0
0.040539,79.4531,-66.0938,-66.0938,0,0
0.041199,79.4531,-66.0938,-66.0938,0,0
0.043145,79.4531,-66.0938,-66.0938,0,0
0.045118,79.4531,-66.0938,-66.0938,0,0
0.047118,79.4531,-66.0938,-66.0938,0,0
0.049149,79.4531,-66.0938,-66.0938,0,0
0.051108,79.4531,-66.0938,-66.0938,0,0
0.053178,79.4531,-66.0938,-66.0938,0,0
0.055110,79.4531,-66.0938,-66.0938,0,0
0.057146,79.4531,-66.0938,-66.0938,0,0
0.059132,79.4531,-66.0938,-66.0938,0,0
0.061206,79.4531,-66.0938,-66.0938,0,0
0.063116,79.4531,-66.0938,-66.0938,0,0
0.065113,79.4531,-66.0938,-66.0938,0,0
0.067119,79.4531,-66.0938,-66.0938,0,0
0.069201,79.4531,-66.0938,-66.0938,0,0
0.083551,79.4531,-66.0938,-66.0938,0,2
