t_s,theta_deg,alpha_deg,alpha_raw_deg,pwm,mode
0.000000,19.5117,-148.1836,211.8164,0,0
0.000886,19.5117,-148.1836,211.8164,0,0
0.001180,19.5117,-148.1836,211.8164,0,0
0.001698,19.5117,-148.1836,211.8164,0,0
0.003666,19.5117,-148.1836,211.8164,0,0
0.005682,19.5117,-148.1836,211.8164,0,0
0.007736,19.5117,-148.1836,211.8164,0,0
0.017728,19.5117,-148.1836,211.8164,0,0
0.020037,19.5117,-148.1836,211.8164,0,0
0.021756,19.5117,-148.1836,211.8164,0,0
0.023749,19.5117,-148.1836,211.8164,0,0
0.025751,19.5117,-148.1836,211.8164,0,0
0.027743,19.5117,-148.1836,211.8164,0,0
0.029802,19.5117,-148.1836,211.8164,0,0
0.031821,19.5117,-148.1836,211.8164,0,0
0.033735,19.5117,-148.1836,211.8164,0,0
0.035804,19.5117,-148.1836,211.8164,0,0
0.037756,19.5117,-148.1836,211.8164,0,0
0.039826,19.5117,-148.1836,211.8164,0,0
0.041813,19.5117,-148.1836,211.8164,0,0
0.043784,19.5117,-148.1836,211.8164,0,0
0.045823,19.5117,-148.1836,211.8164,0,0
0.047755,19.5117,-148.1836,211.8164,0,0
0.049780,19.5117,-148.1836,211.8164,0,0
0.051822,19.5117,-148.1836,211.8164,0,0
0.053741,19.5117,-148.1836,211.8164,0,0
0.055752,19.5117,-148.1836,211.8164,0,0
0.057825,19.5117,-148.1836,211.8164,0,0
0.059789,19.5117,-148.1836,211.8164,0,0
0.061799,19.5117,-148.1836,211.8164,0,0
0.071630,19.5117,-148.1836,211.8164,0,5
0.074244,19.5117,-148.1836,-148.1836,118,5
0.079969,19.3359,-148.0078,-148.0078,118,5
0.080376,19.3359,-148.0078,-148.0078,118,5
0.080588,19.3359,-148.0078,-148.0078,118,5
0.082324,19.1602,-147.8320,-147.8320,118,5
0.084270,18.9844,-147.6562,-147.6562,118,5
0.086330,18.9844,-147.4805,-147.4805,118,5
0.088658,18.6328,-147.3047,-147.3047,118,5
0.090334,18.4570,-146.9531,-146.9531,118,5
0.092274,18.2812,-146.7773,-146.7773,118,5
0.094290,17.9297,-146.4258,-146.4258,119,5
0.096266,17.5781,-146.0742,-146.0742,119,5
0.098286,17.2266,-145.7227,-145.7227,119,5
0.100280,16.6992,-145.1953,-145.1953,119,5
0.109698,14.4141,-142.9102,-142.9102,119,5
0.110464,14.2383,-142.7344,-142.7344,119,5
0.110728,14.0625,-142.5586,-142.5586,119,5
0.111014,14.0625,-142.5586,-142.5586,119,5
0.111288,14.0625,-142.3828,-142.3828,119,5
0.112801,13.5352,-142.0312,-142.0312,119,5
0.114294,13.0078,-141.5039,-141.5039,119,5
0.116272,12.4805,-140.8008,-140.8008,119,5
0.118323,11.7773,-140.0977,-140.0977,119,5
0.120288,11.0742,-139.3945,-139.3945,119,5
0.122257,10.3711,-138.8672,-138.8672,119,5
0.124276,9.6680,-137.9883,-137.9883,119,5
0.126297,8.7891,-137.2852,-137.2852,119,5
0.128317,8.0859,-136.5820,-136.5820,119,5
