t_s,theta_deg,alpha_deg,alpha_raw_deg,pwm,mode
0.000000,59.5898,-51.8555,-51.8555,0,0
0.000506,59.5898,-51.8555,-51.8555,0,0
0.000761,59.5898,-51.8555,-51.8555,0,0
0.002712,59.5898,-51.8555,-51.8555,0,0
0.004692,59.5898,-51.8555,-51.8555,0,0
0.010831,59.5898,-51.8555,-51.8555,0,0
0.011180,59.5898,-51.8555,-51.8555,0,0
0.011374,59.5898,-51.8555,-51.8555,0,0
0.012708,59.5898,-51.8555,-51.8555,0,0
0.014674,59.5898,-51.8555,-51.8555,0,0
0.016645,59.5898,-51.8555,-51.8555,0,0
0.018719,59.5898,-51.8555,-51.8555,0,0
0.020626,59.5898,-51.8555,-51.8555,0,0
0.022686,59.5898,-51.8555,-51.8555,0,0
0.024662,59.5898,-51.8555,-51.8555,0,0
0.026641,59.5898,-51.8555,-51.8555,0,0
0.028633,59.5898,-51.8555,-51.8555,0,0
0.030687,59.5898,-51.8555,-51.8555,0,0
0.032655,59.5898,-51.8555,-51.8555,0,0
0.034721,59.5898,-51.8555,-51.8555,0,0
0.036656,59.5898,-51.8555,-51.8555,0,0
0.038715,59.5898,-51.8555,-51.8555,0,0
0.040709,59.5898,-51.8555,-51.8555,0,0
0.049366,59.5898,-51.8555,-51.8555,0,0
0.049895,59.5898,-51.8555,-51.8555,0,0
0.050133,59.5898,-51.8555,-51.8555,0,0
0.050357,59.5898,-51.8555,-51.8555,0,0
0.050694,59.5898,-51.8555,-51.8555,0,0
0.052718,59.5898,-51.8555,-51.8555,0,0
0.054675,59.5898,-51.8555,-51.8555,0,0
0.056666,59.5898,-51.8555,-51.8555,0,0
0.058661,59.5898,-51.8555,-51.8555,0,0
0.060657,59.5898,-51.8555,-51.8555,0,0
0.062668,59.5898,-51.8555,-51.8555,0,0
0.064665,59.5898,-51.8555,-51.8555,0,0
0.066661,59.5898,-51.8555,-51.8555,0,0
0.068655,59.5898,-51.8555,-51.8555,0,0
0.070652,59.5898,-51.8555,-51.8555,0,0
0.072647,59.5898,-51.8555,-51.8555,0,0
0.074644,59.5898,-51.8555,-51.8555,0,0
0.076641,59.5898,-51.8555,-51.8555,0,0
0.078641,59.5898,-51.8555,-51.8555,0,0
0.080679,59.5898,-51.8555,-51.8555,0,0
0.082672,59.5898,-51.8555,-51.8555,0,0
0.084668,59.5898,-51.8555,-51.8555,0,0
0.086654,59.5898,-51.8555,-51.8555,0,0
0.088720,59.5898,-51.8555,-51.8555,0,0
0.090681,59.5898,-51.8555,-51.8555,0,0
0.092700,59.5898,-51.8555,-51.8555,0,0
0.094670,59.5898,-51.8555,-51.8555,0,0
0.096718,59.5898,-51.8555,-51.8555,0,0
0.098632,59.5898,-51.8555,-51.8555,0,0
0.100674,59.5898,-51.8555,-51.8555,0,0
0.102656,59.5898,-51.8555,-51.8555,0,0
0.104676,59.5898,-51.8555,-51.8555,0,0
0.117131,59.5898,-51.8555,-51.8555,0,5
0.120060,59.5898,-51.8555,-51.8555,55,5
0.121208,59.5898,-51.6797,-51.6797,55,5
0.123180,59.5898,-51.6797,-51.6797,55,5
0.125166,59.5898,-51.6797,-51.6797,55,5
0.127225,59.4141,-51.6797,-51.6797,55,5
0.129184,59.4141,-51.6797,-51.6797,55,5
0.131133,59.4141,-51.6797,-51.6797,55,5
0.133175,59.2383,-51.5039,-51.5039,55,5
0.135204,59.2383,-51.5039,-51.5039,55,5
0.137214,59.2383,-51.3281,-51.3281,55,5
0.139206,59.0625,-51.3281,-51.3281,55,5
0.141138,59.0625,-51.3281,-51.3281,55,5
0.143145,58.8867,-51.1523,-51.1523,55,5
0.145211,58.7109,-50.9766,-50.9766,55,5
0.147182,58.7109,-50.8008,-50.8008,55,5
0.149160,58.5352,-50.8008,-50.8008,55,5
0.151166,58.3594,-50.6250,-50.6250,55,5
0.153225,58.1836,-50.4492,-50.4492,55,5
0.155198,58.0078,-50.2734,-50.2734,55,5
0.157166,57.8320,-50.0977,-50.0977,55,5
0.159137,57.6562,-49.9219,-49.9219,55,5
0.161225,57.6562,-49.7461,-49.7461,55,5
0.163200,57.3047,-49.5703,-49.5703,55,5
0.165169,57.1289,-49.3945,-49.3945,55,5
0.167139,56.9531,-49.2188,-49.2188,55,5
0.169200,56.7773,-48.8672,-48.8672,55,5
0.171172,56.6016,-48.6914,-48.6914,55,5
0.173138,56.2500,-48.5156,-48.5156,55,5
0.175207,56.0742,-48.3398,-48.3398,55,5
0.177172,55.8984,-47.9883,-47.9883,55,5
0.179142,55.5469,-47.8125,-47.8125,55,5
0.181136,55.3711,-47.4609,-47.4609,55,5
0.183200,55.0195,-47.2852,-47.2852,55,5
0.185199,54.8438,-47.1094,-47.1094,55,5
0.187172,54.4922,-46.7578,-46.7578,55,5
0.189138,54.3164,-46.5820,-46.5820,55,5
0.191207,53.9648,-46.2305,-46.2305,55,5
0.193172,53.6133,-46.0547,-46.0547,55,5
0.195142,53.4375,-45.7031,-45.7031,55,5
0.197208,53.0859,-45.3516,-45.3516,56,5
0.199179,52.7344,-45.1758,-45.1758,56,5
0.201172,52.3828,-45.0000,-45.0000,56,5
0.203144,52.2070,-44.6484,-44.6484,56,5
0.205136,51.8555,-44.2969,-44.2969,56,5
0.208097,51.3281,-43.9453,-43.9453,56,5
0.209172,51.1523,-43.7695,-43.7695,56,5
0.211143,50.8008,-43.5938,-43.5938,56,5
0.213208,50.4492,-43.2422,-43.2422,56,5
0.215179,50.0977,-42.8906,-42.8906,56,5
0.217146,49.9219,-42.5391,-42.5391,56,5
0.219143,49.3945,-42.3633,-42.3633,56,5
0.221207,49.0430,-42.1875,-42.1875,56,5
0.223186,48.6914,-41.8359,-41.8359,56,5
0.225210,48.3398,-41.4844,-41.4844,56,5
0.227156,47.9883,-41.1328,-41.1328,56,5
0.229136,47.6367,-40.9570,-40.9570,56,5
0.231163,47.2852,-40.7812,-40.7812,56,5
0.236152,46.4062,-40.0781,-40.0781,56,5
0.237184,46.2305,-39.9023,-39.9023,56,5
0.237596,46.0547,-39.7266,-39.7266,56,5
0.239213,45.8789,-39.5508,-39.5508,56,5
0.241182,45.5273,-39.3750,-39.3750,57,5
0.243185,45.0000,-39.0234,-39.0234,57,5
0.245193,44.6484,-38.8477,-38.8477,57,5
0.247207,44.2969,-38.6719,-38.6719,57,5
0.249181,43.9453,-38.3203,-38.3203,57,5
0.251147,43.5938,-38.1445,-38.1445,57,5
0.253208,43.2422,-37.9688,-37.9688,57,5
0.255186,42.8906,-37.6172,-37.6172,57,5
0.257519,42.3633,-37.4414,-37.4414,57,5
0.259162,42.0117,-37.2656,-37.2656,57,5
0.267506,40.4297,-36.3867,-36.3867,57,5
0.268543,40.2539,-36.2109,-36.2109,57,5
0.268971,40.0781,-36.2109,-36.2109,57,5
0.269350,40.0781,-36.2109,-36.2109,57,5
0.269740,40.0781,-36.2109,-36.2109,57,5
