t_s,theta_deg,alpha_deg,alpha_raw_deg,pwm,mode
0.000000,77.6953,-87.0117,-447.0117,0,0
0.000754,77.6953,-87.0117,-447.0117,0,0
0.001227,77.6953,-87.0117,-447.0117,0,0
0.003274,77.6953,-87.0117,-447.0117,0,0
0.005223,77.6953,-87.0117,-447.0117,0,0
0.007270,77.6953,-86.8359,-446.8359,0,0
0.009207,77.6953,-86.8359,-446.8359,0,0
0.011256,77.6953,-86.8359,-446.8359,0,0
0.013181,77.6953,-86.8359,-446.8359,0,0
0.015214,77.6953,-86.8359,-446.8359,0,0
0.017209,77.6953,-86.8359,-446.8359,0,0
0.019270,77.6953,-86.8359,-446.8359,0,0
0.021227,77.6953,-86.8359,-446.8359,0,0
0.023223,77.6953,-86.8359,-446.8359,0,0
0.025205,77.6953,-86.8359,-446.8359,0,0
0.027210,77.6953,-86.8359,-446.8359,0,0
0.029243,77.6953,-86.8359,-446.8359,0,0
0.031255,77.6953,-86.8359,-446.8359,0,0
0.039085,77.6953,-86.8359,-446.8359,0,0
0.039701,77.6953,-86.8359,-446.8359,0,0
0.039917,77.6953,-86.8359,-446.8359,0,0
0.040159,77.6953,-86.8359,-446.8359,0,0
0.041254,77.6953,-86.8359,-446.8359,0,0
0.043544,77.6953,-86.8359,-446.8359,0,0
0.045220,77.6953,-86.8359,-446.8359,0,0
0.047193,77.6953,-86.8359,-446.8359,0,0
0.049421,77.6953,-86.8359,-446.8359,0,0
0.051226,77.6953,-86.8359,-446.8359,0,0
0.053241,77.6953,-86.8359,-446.8359,0,0
0.055187,77.6953,-86.8359,-446.8359,0,0
0.057183,77.6953,-86.8359,-446.8359,0,0
0.059209,77.6953,-86.8359,-446.8359,0,0
0.061179,77.6953,-86.8359,-446.8359,0,0
0.070982,77.6953,-86.8359,-446.8359,0,5
0.073567,77.6953,-86.8359,-86.8359,104,5
0.075641,77.5195,-86.8359,-86.8359,104,5
0.077619,77.5195,-86.6602,-86.6602,104,5
0.079612,77.5195,-86.6602,-86.6602,104,5
0.081644,77.3438,-86.4844,-86.4844,104,5
0.083629,77.1680,-86.3086,-86.3086,104,5
0.085599,76.9922,-86.1328,-86.1328,104,5
0.087590,76.8164,-85.9570,-85.9570,104,5
0.089583,76.6406,-85.7812,-85.7812,104,5
0.092132,76.2891,-85.4297,-85.4297,104,5
0.099222,75.2344,-84.1992,-84.1992,104,5
0.100279,75.0586,-84.0234,-84.0234,105,5
