t_s,theta_deg,alpha_deg,alpha_raw_deg,pwm,mode,t_pc_block_s,t_now_us
0.000000,-6.7676,83.4961,83.4961,0,0,0.230338,3441632753
0.000738,-6.7676,83.4961,83.4961,0,0,0.230338,3441632753
0.000988,-6.7676,83.4961,83.4961,0,0,0.230338,3441632753
0.002184,-6.7676,83.4961,83.4961,0,0,0.230338,3441632753
0.004177,-6.7676,83.4961,83.4961,0,0,0.230338,3441632753
0.006177,-6.7676,83.4961,83.4961,0,0,0.230338,3441632753
0.008181,-6.7676,83.4961,83.4961,0,0,0.230338,3441632753
0.010095,-6.7676,83.4961,83.4961,0,0,0.230338,3441632753
0.012089,-6.7676,83.4961,83.4961,0,0,0.230338,3441632753
0.014152,-6.7676,83.4961,83.4961,0,0,0.230338,3441632753
0.016150,-6.7676,83.4961,83.4961,0,0,0.230338,3441632753
0.018149,-6.7676,83.4961,83.4961,0,0,0.230338,3441632753
0.020142,-6.7676,83.4961,83.4961,0,0,0.230338,3441632753
0.022138,-6.7676,83.4961,83.4961,0,0,0.230338,3441632753
0.024136,-6.7676,83.4961,83.4961,0,0,0.230338,3441632753
0.026131,-6.7676,83.4961,83.4961,0,0,0.230338,3441632753
0.028127,-6.7676,83.4961,83.4961,0,0,0.230338,3441632753
0.030124,-6.7676,83.4961,83.4961,0,0,0.230338,3441632753
0.034483,-6.7676,83.4961,83.4961,0,0,0.230338,3441632753
0.034828,-6.7676,83.4961,83.4961,0,0,0.230338,3441632753
0.036154,-6.7676,83.4961,83.4961,0,0,0.230338,3441632753
0.038149,-6.7676,83.4961,83.4961,0,0,0.230338,3441632753
0.040142,-6.7676,83.4961,83.4961,0,0,0.230338,3441632753
0.042138,-6.7676,83.4961,83.4961,0,0,0.230338,3441632753
0.044136,-6.7676,83.4961,83.4961,0,0,0.230338,3441632753
0.046131,-6.7676,83.4961,83.4961,0,0,0.230338,3441632753
0.048127,-6.7676,83.4961,83.4961,0,0,0.230338,3441632753
0.050124,-6.7676,83.4961,83.4961,0,0,0.230338,3441632753
0.052117,-6.7676,83.4961,83.4961,0,0,0.230338,3441632753
0.054113,-6.7676,83.4961,83.4961,0,0,0.230338,3441632753
0.056110,-6.7676,83.4961,83.4961,0,0,0.230338,3441632753
0.058107,-6.7676,83.4961,83.4961,0,0,0.230338,3441632753
0.060103,-6.7676,83.4961,83.4961,0,0,0.230338,3441632753
0.062098,-6.7676,83.4961,83.4961,0,0,0.230338,3441632753
0.064094,-6.7676,83.4961,83.4961,0,0,0.230338,3441632753
0.066088,-6.7676,83.4961,83.4961,0,0,0.230338,3441632753
0.068180,-6.7676,83.4961,83.4961,0,0,0.230338,3441632753
0.070177,-6.7676,83.4961,83.4961,0,0,0.230338,3441632753
0.072173,-6.7676,83.4961,83.4961,0,0,0.230338,3441632753
0.074169,-6.7676,83.4961,83.4961,0,0,0.230338,3441632753
0.076169,-6.7676,83.4961,83.4961,0,0,0.230338,3441632753
0.078169,-6.7676,83.4961,83.4961,0,0,0.230338,3441632753
0.080169,-6.7676,83.4961,83.4961,0,0,0.230338,3441632753
0.082169,-6.7676,83.4961,83.4961,0,0,0.230338,3441632753
0.084169,-6.7676,83.4961,83.4961,0,0,0.230338,3441632753
0.086169,-6.7676,83.4961,83.4961,0,0,0.230338,3441632753
0.088169,-6.7676,83.4961,83.4961,0,0,0.230338,3441632753
0.090169,-6.7676,83.4961,83.4961,0,0,0.230338,3441632753
0.092169,-6.7676,83.4961,83.4961,0,0,0.230338,3441632753
0.094169,-6.7676,83.4961,83.4961,0,0,0.230338,3441632753
0.096169,-6.7676,83.4961,83.4961,0,0,0.230338,3441632753
0.098169,-6.7676,83.4961,83.4961,0,0,0.230338,3441632753
0.100129,-6.7676,83.4961,83.4961,0,0,0.230338,3441632753
0.102141,-6.7676,83.4961,83.4961,0,0,0.230338,3441632753
0.104088,-6.7676,83.4961,83.4961,0,0,0.230338,3441632753
0.106094,-6.7676,83.4961,83.4961,0,0,0.230338,3441632753
0.108088,-6.7676,83.4961,83.4961,0,0,0.230338,3441632753
0.110180,-6.7676,83.4961,83.4961,0,0,0.230338,3441632753
0.112177,-6.7676,83.4961,83.4961,0,0,0.230338,3441632753
0.114173,-6.7676,83.4961,83.4961,0,0,0.230338,3441632753
0.116169,-6.7676,83.4961,83.4961,0,0,0.230338,3441632753
0.118169,-6.7676,83.4961,83.4961,0,0,0.230338,3441632753
0.120169,-6.7676,83.4961,83.4961,0,0,0.230338,3441632753
0.122169,-6.7676,83.4961,83.4961,0,0,0.230338,3441632753
0.124169,-6.7676,83.4961,83.4961,0,0,0.230338,3441632753
0.126169,-6.7676,83.4961,83.4961,0,0,0.230338,3441632753
0.128169,-6.7676,83.4961,83.4961,0,0,0.230338,3441632753
0.130169,-6.7676,83.4961,83.4961,0,0,0.230338,3441632753
0.133851,-6.7676,83.4961,83.4961,0,0,0.230338,3441632753
0.134140,-6.7676,83.4961,83.4961,0,0,0.230338,3441632753
0.136141,-6.7676,83.4961,83.4961,0,0,0.230338,3441632753
0.138136,-6.7676,83.4961,83.4961,0,0,0.230338,3441632753
0.140130,-6.7676,83.4961,83.4961,0,0,0.230338,3441632753
