t_s,theta_deg,alpha_deg,alpha_raw_deg,pwm,mode,t_pc_block_s,t_now_us
0.000000,-0.7910,10.8984,10.8984,0,0,0.275183,2825475944
0.000621,-0.7910,10.8984,10.8984,0,0,0.275183,2825475944
0.001896,-0.7910,10.8984,10.8984,0,0,0.275183,2825475944
0.003921,-0.7910,10.8984,10.8984,0,0,0.275183,2825475944
0.005846,-0.7910,10.8984,10.8984,0,0,0.275183,2825475944
0.007840,-0.7910,10.8984,10.8984,0,0,0.275183,2825475944
0.009921,-0.7910,10.8984,10.8984,0,0,0.275183,2825475944
0.011915,-0.7910,10.8984,10.8984,0,0,0.275183,2825475944
0.013924,-0.7910,10.8984,10.8984,0,0,0.275183,2825475944
0.015873,-0.7910,10.8984,10.8984,0,0,0.275183,2825475944
0.017872,-0.7910,10.8984,10.8984,0,0,0.275183,2825475944
0.020100,-0.7910,10.8984,10.8984,0,0,0.275183,2825475944
0.021849,-0.7910,10.8984,10.8984,0,0,0.275183,2825475944
0.023890,-0.7910,10.8984,10.8984,0,0,0.275183,2825475944
0.025847,-0.7910,10.8984,10.8984,0,0,0.275183,2825475944
0.027849,-0.7910,10.8984,10.8984,0,0,0.275183,2825475944
0.029885,-0.7910,10.8984,10.8984,0,0,0.275183,2825475944
0.031876,-0.7910,10.8984,10.8984,0,0,0.275183,2825475944
0.033868,-0.7910,11.0742,11.0742,0,0,0.275183,2825475944
0.038553,-0.7910,11.0742,11.0742,0,0,0.275183,2825475944
0.038847,-0.7910,11.0742,11.0742,0,0,0.275183,2825475944
0.039849,-0.7910,11.0742,11.0742,0,0,0.275183,2825475944
0.041843,-0.7910,11.0742,11.0742,0,0,0.275183,2825475944
0.043840,-0.7910,11.0742,11.0742,0,0,0.275183,2825475944
0.045921,-0.7910,11.0742,11.0742,0,0,0.275183,2825475944
0.047920,-0.7910,11.0742,11.0742,0,0,0.275183,2825475944
0.049915,-0.7910,11.0742,11.0742,0,0,0.275183,2825475944
0.051909,-0.7910,11.0742,11.0742,0,0,0.275183,2825475944
0.053906,-0.7910,11.0742,11.0742,0,0,0.275183,2825475944
0.055899,-0.7910,11.0742,11.0742,0,0,0.275183,2825475944
0.057893,-0.7910,11.0742,11.0742,0,0,0.275183,2825475944
0.059889,-0.7910,11.0742,11.0742,0,0,0.275183,2825475944
0.061885,-0.7910,11.0742,11.0742,0,0,0.275183,2825475944
0.063845,-0.7910,11.0742,11.0742,0,0,0.275183,2825475944
0.065840,-0.7910,11.0742,11.0742,0,0,0.275183,2825475944
0.067838,-0.7910,11.0742,11.0742,0,0,0.275183,2825475944
0.069853,-0.7910,11.0742,11.0742,0,0,0.275183,2825475944
0.071846,-0.7910,11.0742,11.0742,0,0,0.275183,2825475944
0.073840,-0.7910,11.0742,11.0742,0,0,0.275183,2825475944
0.075921,-0.7910,11.0742,11.0742,0,0,0.275183,2825475944
0.077915,-0.7910,11.0742,11.0742,0,0,0.275183,2825475944
0.079909,-0.7910,11.0742,11.0742,0,0,0.275183,2825475944
0.081906,-0.7910,11.0742,11.0742,0,0,0.275183,2825475944
0.083899,-0.7910,11.0742,11.0742,0,0,0.275183,2825475944
0.085893,-0.7910,11.0742,11.0742,0,0,0.275183,2825475944
0.087889,-0.7910,11.0742,11.0742,0,0,0.275183,2825475944
0.089885,-0.7910,11.0742,11.0742,0,0,0.275183,2825475944
0.091876,-0.7910,11.0742,11.0742,0,0,0.275183,2825475944
0.093868,-0.7910,11.0742,11.0742,0,0,0.275183,2825475944
0.095861,-0.6152,11.0742,11.0742,0,0,0.275183,2825475944
0.097854,-0.6152,11.0742,11.0742,0,0,0.275183,2825475944
0.099846,-0.6152,11.0742,11.0742,0,0,0.275183,2825475944
0.101840,-0.6152,11.0742,11.0742,0,0,0.275183,2825475944
0.103921,-0.6152,11.0742,11.0742,0,0,0.275183,2825475944
0.105915,-0.6152,10.8984,10.8984,0,0,0.275183,2825475944
0.107909,-0.6152,10.8984,10.8984,0,0,0.275183,2825475944
0.109906,-0.6152,10.8984,10.8984,0,0,0.275183,2825475944
0.111899,-0.6152,10.8984,10.8984,0,0,0.275183,2825475944
0.113893,-0.6152,10.8984,10.8984,0,0,0.275183,2825475944
0.115889,-0.6152,10.8984,10.8984,0,0,0.275183,2825475944
0.117885,-0.6152,10.8984,10.8984,0,0,0.275183,2825475944
0.119876,-0.6152,10.8984,10.8984,0,0,0.275183,2825475944
0.121885,-0.6152,10.8984,10.8984,0,0,0.275183,2825475944
0.123877,-0.6152,10.8984,10.8984,0,0,0.275183,2825475944
0.125870,-0.6152,10.8984,10.8984,0,0,0.275183,2825475944
0.127862,-0.6152,10.8984,10.8984,0,0,0.275183,2825475944
0.129855,-0.6152,10.8984,10.8984,0,0,0.275183,2825475944
0.131847,-0.6152,10.8984,10.8984,0,0,0.275183,2825475944
0.133840,-0.6152,10.8984,10.8984,0,0,0.275183,2825475944
0.137582,-0.6152,10.8984,10.8984,0,0,0.275183,2825475944
0.137895,-0.6152,10.8984,10.8984,0,0,0.275183,2825475944
0.139902,-0.6152,10.8984,10.8984,0,0,0.275183,2825475944
0.141897,-0.6152,10.8984,10.8984,0,0,0.275183,2825475944
0.143892,-0.6152,10.8984,10.8984,0,0,0.275183,2825475944
0.145890,-0.6152,10.8984,10.8984,0,0,0.275183,2825475944
0.147885,-0.6152,10.8984,10.8984,0,0,0.275183,2825475944
0.149876,-0.6152,10.8984,10.8984,0,0,0.275183,2825475944
0.151868,-0.6152,10.8984,10.8984,0,0,0.275183,2825475944
0.153861,-0.6152,10.8984,10.8984,0,0,0.275183,2825475944
0.155854,-0.6152,10.8984,10.8984,0,0,0.275183,2825475944
0.157846,-0.6152,10.8984,10.8984,0,0,0.275183,2825475944
0.159840,-0.6152,10.8984,10.8984,0,0,0.275183,2825475944
0.161921,-0.6152,10.8984,10.8984,0,0,0.275183,2825475944
0.163889,-0.6152,10.8984,10.8984,0,0,0.275183,2825475944
0.165877,-0.6152,10.8984,10.8984,0,0,0.275183,2825475944
0.167886,-0.6152,10.8984,10.8984,0,0,0.275183,2825475944
0.169895,-0.6152,10.8984,10.8984,0,0,0.275183,2825475944
0.171860,-0.6152,10.8984,10.8984,0,0,0.275183,2825475944
0.173868,-0.6152,10.8984,10.8984,0,0,0.275183,2825475944
0.175877,-0.6152,10.8984,10.8984,0,0,0.275183,2825475944
0.177886,-0.6152,10.8984,10.8984,0,0,0.275183,2825475944
0.179895,-0.6152,10.8984,10.8984,0,0,0.275183,2825475944
0.181840,-0.6152,10.8984,10.8984,0,0,0.275183,2825475944
0.183852,-0.6152,10.8984,10.8984,0,0,0.275183,2825475944
0.185860,-0.6152,10.8984,10.8984,0,0,0.275183,2825475944
0.187868,-0.6152,10.8984,10.8984,0,0,0.275183,2825475944
0.189875,-0.6152,10.8984,10.8984,0,0,0.275183,2825475944
0.191886,-0.6152,10.8984,10.8984,0,0,0.275183,2825475944
0.193895,-0.6152,10.8984,10.8984,0,0,0.275183,2825475944
0.195839,-0.6152,10.8984,10.8984,0,0,0.275183,2825475944
0.197852,-0.6152,10.8984,10.8984,0,0,0.275183,2825475944
0.199860,-0.6152,10.8984,10.8984,0,0,0.275183,2825475944
0.201868,-0.6152,10.8984,10.8984,0,0,0.275183,2825475944
0.203877,-0.6152,10.8984,10.8984,0,0,0.275183,2825475944
0.205886,-0.6152,10.7227,10.7227,0,0,0.275183,2825475944
0.207895,-0.6152,10.7227,10.7227,0,0,0.275183,2825475944
0.209840,-0.6152,10.7227,10.7227,0,0,0.275183,2825475944
0.211852,-0.6152,10.7227,10.7227,0,0,0.275183,2825475944
0.213860,-0.6152,10.7227,10.7227,0,0,0.275183,2825475944
0.215868,-0.6152,10.7227,10.7227,0,0,0.275183,2825475944
0.217875,-0.6152,10.7227,10.7227,0,0,0.275183,2825475944
0.219886,-0.6152,10.7227,10.7227,0,0,0.275183,2825475944
0.221843,-0.4395,10.7227,10.7227,0,0,0.275183,2825475944
