t_s,theta_deg,alpha_deg,alpha_raw_deg,pwm,mode,t_pc_block_s,t_now_us
0.000000,-13.0957,90.5273,90.5273,0,0,0.251592,3824642051
0.000536,-13.0957,90.5273,90.5273,0,0,0.251592,3824642051
0.001515,-13.0957,90.5273,90.5273,0,0,0.251592,3824642051
0.003567,-13.0957,90.5273,90.5273,0,0,0.251592,3824642051
0.005514,-13.0957,90.5273,90.5273,0,0,0.251592,3824642051
0.007523,-13.0957,90.5273,90.5273,0,0,0.251592,3824642051
0.009547,-13.0957,90.5273,90.5273,0,0,0.251592,3824642051
0.011493,-13.0957,90.5273,90.5273,0,0,0.251592,3824642051
0.013539,-13.0957,90.5273,90.5273,0,0,0.251592,3824642051
0.015506,-13.0957,90.5273,90.5273,0,0,0.251592,3824642051
0.017525,-13.0957,90.5273,90.5273,0,0,0.251592,3824642051
0.019520,-13.0957,90.5273,90.5273,0,0,0.251592,3824642051
0.021529,-13.0957,90.5273,90.5273,0,0,0.251592,3824642051
0.023524,-13.0957,90.5273,90.5273,0,0,0.251592,3824642051
0.025520,-13.0957,90.5273,90.5273,0,0,0.251592,3824642051
0.030562,-13.0957,90.5273,90.5273,0,0,0.251592,3824642051
0.030915,-13.0957,90.5273,90.5273,0,0,0.251592,3824642051
0.031574,-13.0957,90.5273,90.5273,0,0,0.251592,3824642051
0.033562,-13.0957,90.5273,90.5273,0,0,0.251592,3824642051
0.035551,-13.0957,90.5273,90.5273,0,0,0.251592,3824642051
0.037546,-13.0957,90.5273,90.5273,0,0,0.251592,3824642051
0.039541,-13.0957,90.5273,90.5273,0,0,0.251592,3824642051
0.041536,-13.0957,90.5273,90.5273,0,0,0.251592,3824642051
0.043533,-13.0957,90.5273,90.5273,0,0,0.251592,3824642051
0.045533,-13.0957,90.5273,90.5273,0,0,0.251592,3824642051
0.047524,-13.0957,90.5273,90.5273,0,0,0.251592,3824642051
0.049515,-13.0957,90.5273,90.5273,0,0,0.251592,3824642051
0.051508,-13.0957,90.5273,90.5273,0,0,0.251592,3824642051
0.053503,-13.0957,90.5273,90.5273,0,0,0.251592,3824642051
