t_s,theta_deg,alpha_deg,alpha_raw_deg,pwm,mode,t_pc_block_s,t_now_us
0.000000,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.000771,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.001418,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.003427,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.005435,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.007487,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.009795,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.011441,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.013465,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.015480,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.017471,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.019447,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.021421,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.023477,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.025480,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.027475,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.029454,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.031430,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.033484,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.035462,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.037435,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.039491,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.041464,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.043457,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.045429,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.047484,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.049462,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.051434,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.053492,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.055465,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.057436,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.059475,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.061454,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.063462,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.065435,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.067491,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.069456,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.071429,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.077064,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.077410,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.077581,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.079465,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.081440,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.083494,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.085467,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.087440,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.089494,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.091467,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.093440,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.095494,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.097467,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.099440,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.101494,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.103467,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.105440,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.107494,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.109467,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.111440,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.113494,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.115467,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.117445,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.119450,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.121427,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.123482,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.125457,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.127429,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.129484,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.131462,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.133434,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.135492,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.137465,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.139436,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.141491,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.143471,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.145447,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.147421,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.149477,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.151454,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.153430,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.155485,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.157462,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.159435,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.161426,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.163484,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.165462,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.167434,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.169435,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.171491,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.176517,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.176798,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.177427,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.179482,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.181457,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.183429,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.185484,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.187462,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.189434,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.191492,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.193465,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.195436,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.197492,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.199465,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.201436,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.203491,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.205464,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.207436,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.209492,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.211465,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.213468,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.215441,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.217486,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.219494,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.221474,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.223450,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.225464,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.227435,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.229491,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.231490,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.233407,-9.0527,89.1211,89.1211,0,0,0.247315,3502311868
0.237441,-9.0527,89.1211,89.1211,0,0,0.484057,3502548597
0.237939,-9.0527,89.1211,89.1211,0,0,0.484057,3502548597
0.239469,-9.0527,89.1211,89.1211,0,0,0.484057,3502548597
0.241468,-9.0527,89.1211,89.1211,0,0,0.484057,3502548597
0.243427,-9.0527,89.1211,89.1211,0,0,0.484057,3502548597
0.245500,-9.0527,89.1211,89.1211,0,0,0.484057,3502548597
0.247451,-9.0527,89.1211,89.1211,0,0,0.484057,3502548597
0.249480,-9.0527,89.1211,89.1211,0,0,0.484057,3502548597
0.251465,-9.0527,89.1211,89.1211,0,0,0.484057,3502548597
0.253482,-9.0527,89.1211,89.1211,0,0,0.484057,3502548597
0.255439,-9.0527,89.1211,89.1211,0,0,0.484057,3502548597
0.257443,-9.0527,89.1211,89.1211,0,0,0.484057,3502548597
0.259417,-9.0527,89.1211,89.1211,0,0,0.484057,3502548597
0.261414,-9.0527,89.1211,89.1211,0,0,0.484057,3502548597
0.263506,-9.0527,89.1211,89.1211,0,0,0.484057,3502548597
0.265412,-9.0527,89.1211,89.1211,0,0,0.484057,3502548597
0.267506,-9.0527,89.1211,89.1211,0,0,0.484057,3502548597
0.269493,-9.0527,89.1211,89.1211,0,0,0.484057,3502548597
0.271486,-9.0527,89.1211,89.1211,0,0,0.484057,3502548597
0.276993,-9.0527,89.1211,89.1211,0,0,0.484057,3502548597
0.277349,-9.0527,89.1211,89.1211,0,0,0.484057,3502548597
0.277529,-9.0527,89.1211,89.1211,0,0,0.484057,3502548597
0.279431,-9.0527,89.1211,89.1211,0,0,0.484057,3502548597
0.281427,-9.0527,89.1211,89.1211,0,0,0.484057,3502548597
0.283427,-9.0527,89.1211,89.1211,0,0,0.484057,3502548597
0.285427,-9.0527,89.1211,89.1211,0,0,0.484057,3502548597
0.287427,-9.0527,89.1211,89.1211,0,0,0.484057,3502548597
0.289427,-9.0527,89.1211,89.1211,0,0,0.484057,3502548597
0.291427,-9.0527,89.1211,89.1211,0,0,0.484057,3502548597
0.293427,-9.0527,89.1211,89.1211,0,0,0.484057,3502548597
0.295427,-9.0527,89.1211,89.1211,0,0,0.484057,3502548597
0.297427,-9.0527,89.1211,89.1211,0,0,0.484057,3502548597
0.299427,-9.0527,89.1211,89.1211,0,0,0.484057,3502548597
0.301427,-9.0527,89.1211,89.1211,0,0,0.484057,3502548597
0.303427,-9.0527,89.1211,89.1211,0,0,0.484057,3502548597
0.305427,-9.0527,89.1211,89.1211,0,0,0.484057,3502548597
0.307427,-9.0527,89.1211,89.1211,0,0,0.484057,3502548597
0.309427,-9.0527,89.1211,89.1211,0,0,0.484057,3502548597
0.311427,-9.0527,89.1211,89.1211,0,0,0.484057,3502548597
0.313427,-9.0527,89.1211,89.1211,0,0,0.484057,3502548597
0.315427,-9.0527,89.1211,89.1211,0,0,0.484057,3502548597
0.317427,-9.0527,89.1211,89.1211,0,0,0.484057,3502548597
0.319427,-9.0527,89.1211,89.1211,0,0,0.484057,3502548597
0.321427,-9.0527,89.1211,89.1211,0,0,0.484057,3502548597
0.323427,-9.0527,89.1211,89.1211,0,0,0.484057,3502548597
0.325427,-9.0527,89.1211,89.1211,0,0,0.484057,3502548597
0.327427,-9.0527,89.1211,89.1211,0,0,0.484057,3502548597
0.329427,-9.0527,89.1211,89.1211,0,0,0.484057,3502548597
0.331427,-9.0527,89.1211,89.1211,0,0,0.484057,3502548597
0.333427,-9.0527,89.1211,89.1211,0,0,0.484057,3502548597
0.335427,-9.0527,89.1211,89.1211,0,0,0.484057,3502548597
0.337427,-9.0527,89.1211,89.1211,0,0,0.484057,3502548597
0.339427,-9.0527,89.1211,89.1211,0,0,0.484057,3502548597
0.341427,-9.0527,89.1211,89.1211,0,0,0.484057,3502548597
0.343438,-9.0527,89.1211,89.1211,0,0,0.484057,3502548597
0.345432,-9.0527,89.1211,89.1211,0,0,0.484057,3502548597
0.347430,-9.0527,89.1211,89.1211,0,0,0.484057,3502548597
0.349427,-9.0527,89.1211,89.1211,0,0,0.484057,3502548597
