t_s,theta_deg,alpha_deg,alpha_raw_deg,pwm,mode,t_pc_block_s,t_now_us
0.000000,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.000640,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.001336,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.003297,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.005343,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.007279,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.009399,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.011316,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.013309,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.015348,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.017324,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.019264,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.021278,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.023285,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.025293,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.027304,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.029312,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.031321,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.033259,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.035280,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.037317,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.039325,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.041263,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.043278,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.045285,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.047293,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.049304,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.051312,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.055986,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.056236,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.057295,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.059303,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.061312,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.063321,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.065259,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.067266,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.069278,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.071285,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.073303,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.075312,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.077317,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.079326,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.081263,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.083278,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.085285,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.087293,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.089304,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.091312,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.093321,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.095259,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.097266,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.099278,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.101285,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.103293,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.105304,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.107312,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.109321,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.111258,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.113266,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.115278,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.117285,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.119293,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.121304,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.123312,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.125321,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.127259,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.129266,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.131278,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.133285,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.135305,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.137285,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.139295,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.141328,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.143278,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.145285,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.147295,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.149304,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.151313,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.155483,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.155685,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.157320,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.159258,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.161266,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.163278,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.165285,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.167293,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.169304,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.171312,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.173258,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.175266,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.177278,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.179285,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.181293,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.183304,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.185312,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.187321,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.189259,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.191266,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.193278,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.195285,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.197293,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.199281,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.201289,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.203300,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.205307,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.207313,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
0.209321,87.2754,10.7227,10.7227,0,0,0.224961,2681266323
