t,theta,alpha,theta_dot,alpha_dot
0.10414958000183105,-0.0031,-2.4298,0.0,0.0004
0.19630861282348633,-0.0031,-2.439,0.0,-0.2175
0.272139310836792,-0.0031,-2.4421,0.0,-0.0673
0.4455687999725342,-0.0031,-2.482,0.0,-0.4743
0.49514031410217285,-0.0031,-2.4452,0.097,1.8172
0.5737981796264648,-0.0031,-2.0739,0.0048,11.1049
0.6462900638580322,-0.0031,-1.2026,-0.1457,17.5016
0.7257225513458252,-0.0031,-0.4817,-0.0027,11.6864
0.7955789566040039,-0.0061,-0.3405,-0.0566,2.1688
0.8577837944030762,-0.0123,-0.6075,-0.2126,-8.4717
0.9264466762542725,-0.0552,-1.2118,-1.1071,-16.5841
0.9850814342498779,-0.0675,-1.6506,-0.3756,-16.8109
1.065828800201416,-0.0552,-2.2488,0.2801,-9.1451
1.1154570579528809,-0.0522,-2.2642,0.1673,0.9612
1.1671333312988281,-0.0522,-2.0463,0.0226,8.6942
1.2275745868682861,-0.0522,-1.5064,0.0011,15.175
1.2965476512908936,-0.0552,-0.9081,-0.0564,15.2591
1.365361213684082,-0.0522,-0.4234,0.0066,6.3857
1.4731132984161377,-0.0614,-0.6105,-0.1817,-6.7748
1.5631515979766846,-0.0552,-1.5309,0.155,-15.859
1.6603081226348877,-0.0522,-2.2427,0.0087,-7.9178
1.729827642440796,-0.0522,-2.2273,0.0004,2.0001
1.783426284790039,-0.0522,-2.0095,0.0001,8.156
1.8486015796661377,-0.0522,-1.4757,0.0,14.4179
1.9159691333770752,-0.0552,-0.7087,-0.0208,14.1042
1.9953508377075195,-0.0583,-0.4387,-0.0218,5.6501
2.0938806533813477,-0.0583,-0.8161,-0.0001,-10.4426
2.2183611392974854,-0.0583,-1.807,-0.0,-15.3695
2.3149540424346924,-0.0552,-2.2642,0.0028,-2.6233
2.41678786277771,-0.0552,-1.7641,0.0,11.3565
2.57100772857666,-0.0583,-0.543,-0.0028,10.1101
2.676182746887207,-0.0614,-0.5308,-0.0208,-3.033
2.7552011013031006,-0.0614,-1.3192,-0.0001,-14.5026
2.8558950424194336,-0.0583,-2.0525,0.0076,-12.133
2.9577884674072266,-0.0583,-2.1783,0.0001,2.4219
3.0337631702423096,-0.0583,-1.58,0.0,13.9777
3.1349620819091797,-0.0583,-0.6811,0.0,12.717
3.231567144393921,-0.0583,-0.4786,0.0,1.1026
3.307955503463745,-0.0614,-0.9327,-0.0564,-11.6451
3.366123914718628,-0.0583,-1.4941,0.1506,-14.9211
3.447948932647705,-0.0583,-2.0064,0.0075,-12.7323
3.528351068496704,-0.0583,-2.2212,0.0001,-1.156
3.6063144207000732,-0.0552,-1.9359,0.0208,8.7181
3.6565053462982178,-0.0552,-1.3806,0.001,14.3259
3.7161731719970703,-0.0583,-0.8314,-0.0564,13.8903
3.765413522720337,-0.0583,-0.5768,-0.0076,9.9575
3.824838876724243,-0.0583,-0.5031,-0.0004,0.5805
3.8677172660827637,-0.0614,-0.6535,-0.0565,-5.5956
3.925170421600342,-0.0614,-1.1259,-0.0028,-12.8297
3.9870805740356445,-0.0583,-1.5064,0.153,-15.0367
4.045058727264404,-0.0583,-2.0954,0.0028,-9.7353
4.109821081161499,-0.0583,-2.2028,0.0001,-1.3384
4.177766561508179,-0.0583,-1.9482,0.0,8.0577
4.246156692504883,-0.0583,-1.4511,0.0,13.7202
4.325558185577393,-0.0614,-0.7547,-0.1534,12.3074
4.437828063964844,-0.0614,-0.543,-0.001,-1.1692
4.527330636978149,-0.0614,-1.0523,-0.0,-12.4872
4.630626440048218,-0.0583,-1.9482,0.0208,-12.5259
4.727171182632446,-0.0583,-2.1936,0.0004,-1.8291
4.79668927192688,-0.0583,-1.8193,0.0,9.7498
4.8664870262146,-0.0583,-1.2916,0.0,14.3487
4.924962043762207,-0.0583,-0.8038,0.0,12.2725
4.994995355606079,-0.0614,-0.5277,-0.0564,5.7431
5.0798890590667725,-0.0614,-0.7148,-0.001,-6.2297
5.211352109909058,-0.0583,-1.761,0.0208,-14.1257
5.306932687759399,-0.0583,-2.1813,0.0001,-2.3218
5.385933876037598,-0.0583,-1.9758,0.0,6.7994
5.474291563034058,-0.0583,-1.2855,0.0,14.8936
