t_s,theta_deg,alpha_deg,alpha_raw_deg,pwm,mode,t_pc_block_s,t_now_us
0.000000,12.1289,67.5000,67.5000,0,0,0.224031,1093379584
0.000444,12.1289,67.5000,67.5000,0,0,0.224031,1093379584
0.000694,12.3047,67.3242,67.3242,0,0,0.224031,1093379584
0.002640,12.3047,67.3242,67.3242,0,0,0.224031,1093379584
0.004298,12.3047,67.3242,67.3242,0,0,0.224031,1093379584
0.006358,12.4805,67.3242,67.3242,0,0,0.224031,1093379584
0.008306,12.4805,67.1484,67.1484,0,0,0.224031,1093379584
0.010362,12.4805,67.1484,67.1484,0,0,0.224031,1093379584
0.012359,12.4805,67.1484,67.1484,0,0,0.224031,1093379584
0.014386,12.6562,66.9727,66.9727,0,0,0.224031,1093379584
0.016622,12.6562,66.9727,66.9727,0,0,0.224031,1093379584
0.018285,12.6562,66.7969,66.7969,0,0,0.224031,1093379584
0.020277,12.6562,66.7969,66.7969,0,0,0.224031,1093379584
0.022326,12.8320,66.7969,66.7969,0,0,0.224031,1093379584
0.024294,12.8320,66.6211,66.6211,0,0,0.224031,1093379584
0.026345,12.8320,66.6211,66.6211,0,0,0.224031,1093379584
0.028348,13.0078,66.6211,66.6211,0,0,0.224031,1093379584
0.030295,13.0078,66.4453,66.4453,0,0,0.224031,1093379584
0.032351,13.0078,66.4453,66.4453,0,0,0.224031,1093379584
0.034300,13.1836,66.4453,66.4453,0,0,0.224031,1093379584
0.036356,13.1836,66.2695,66.2695,0,0,0.224031,1093379584
0.038304,13.1836,66.2695,66.2695,0,0,0.224031,1093379584
0.040358,13.1836,66.0938,66.0938,0,0,0.224031,1093379584
0.042304,13.3594,66.0938,66.0938,0,0,0.224031,1093379584
0.044319,13.3594,66.0938,66.0938,0,0,0.224031,1093379584
0.046269,13.3594,65.9180,65.9180,0,0,0.224031,1093379584
0.048327,13.5352,65.9180,65.9180,0,0,0.224031,1093379584
0.050275,13.5352,65.9180,65.9180,0,0,0.224031,1093379584
0.052336,13.5352,65.7422,65.7422,0,0,0.224031,1093379584
0.054284,13.7109,65.7422,65.7422,0,0,0.224031,1093379584
0.056341,13.7109,65.7422,65.7422,0,0,0.224031,1093379584
0.060624,13.8867,65.5664,65.5664,0,0,0.224031,1093379584
0.060944,13.8867,65.5664,65.5664,0,0,0.224031,1093379584
0.062348,13.8867,65.3906,65.3906,0,0,0.224031,1093379584
0.064296,13.8867,65.3906,65.3906,0,0,0.224031,1093379584
0.066356,13.8867,65.3906,65.3906,0,0,0.224031,1093379584
0.068303,13.8867,65.2148,65.2148,0,0,0.224031,1093379584
0.070356,14.0625,65.2148,65.2148,0,0,0.224031,1093379584
0.072304,14.0625,65.2148,65.2148,0,0,0.224031,1093379584
0.074269,14.0625,65.2148,65.2148,0,0,0.224031,1093379584
0.076327,14.2383,65.0391,65.0391,0,0,0.224031,1093379584
0.078275,14.2383,65.0391,65.0391,0,0,0.224031,1093379584
0.080336,14.2383,65.0391,65.0391,0,0,0.224031,1093379584
0.082284,14.2383,64.8633,64.8633,0,0,0.224031,1093379584
0.084341,14.4141,64.8633,64.8633,0,0,0.224031,1093379584
0.086289,14.4141,64.8633,64.8633,0,0,0.224031,1093379584
0.088348,14.4141,64.6875,64.6875,0,0,0.224031,1093379584
0.090295,14.4141,64.6875,64.6875,0,0,0.224031,1093379584
0.092351,14.5898,64.6875,64.6875,0,0,0.224031,1093379584
0.094299,14.5898,64.6875,64.6875,0,0,0.224031,1093379584
0.096351,14.5898,64.5117,64.5117,0,0,0.224031,1093379584
0.098300,14.5898,64.5117,64.5117,0,0,0.224031,1093379584
0.100358,14.5898,64.5117,64.5117,0,0,0.224031,1093379584
0.102304,14.5898,64.5117,64.5117,0,0,0.224031,1093379584
0.104358,14.7656,64.3359,64.3359,0,0,0.224031,1093379584
0.106304,14.7656,64.3359,64.3359,0,0,0.224031,1093379584
0.108358,14.7656,64.3359,64.3359,0,0,0.224031,1093379584
0.110304,14.7656,64.3359,64.3359,0,0,0.224031,1093379584
0.112358,14.7656,64.3359,64.3359,0,0,0.224031,1093379584
0.114304,14.9414,64.3359,64.3359,0,0,0.224031,1093379584
0.116358,14.9414,64.1602,64.1602,0,0,0.224031,1093379584
0.118304,14.9414,64.1602,64.1602,0,0,0.224031,1093379584
0.120358,14.9414,64.1602,64.1602,0,0,0.224031,1093379584
0.122304,14.9414,64.1602,64.1602,0,0,0.224031,1093379584
0.124358,14.9414,64.1602,64.1602,0,0,0.224031,1093379584
0.126327,14.9414,64.1602,64.1602,0,0,0.224031,1093379584
0.128314,14.9414,64.1602,64.1602,0,0,0.224031,1093379584
0.130264,15.1172,63.9844,63.9844,0,0,0.224031,1093379584
0.132314,15.1172,63.9844,63.9844,0,0,0.224031,1093379584
0.134264,15.1172,63.9844,63.9844,0,0,0.224031,1093379584
0.136314,15.1172,63.9844,63.9844,0,0,0.224031,1093379584
0.138264,15.1172,63.9844,63.9844,0,0,0.224031,1093379584
0.140314,15.1172,63.9844,63.9844,0,0,0.224031,1093379584
0.142264,15.1172,63.9844,63.9844,0,0,0.224031,1093379584
0.144314,15.1172,63.9844,63.9844,0,0,0.224031,1093379584
0.146264,15.1172,63.9844,63.9844,0,0,0.224031,1093379584
0.148314,15.1172,63.9844,63.9844,0,0,0.224031,1093379584
0.150264,15.1172,63.9844,63.9844,0,0,0.224031,1093379584
0.152314,15.1172,63.9844,63.9844,0,0,0.224031,1093379584
0.154264,15.1172,63.9844,63.9844,0,0,0.224031,1093379584
0.156314,15.1172,63.9844,63.9844,0,0,0.224031,1093379584
0.160066,15.1172,64.1602,64.1602,0,0,0.224031,1093379584
0.160333,15.1172,64.1602,64.1602,0,0,0.224031,1093379584
0.162294,15.1172,64.1602,64.1602,0,0,0.224031,1093379584
0.164351,15.1172,64.1602,64.1602,0,0,0.224031,1093379584
0.166299,15.1172,64.1602,64.1602,0,0,0.224031,1093379584
