t_s,theta_deg,alpha_deg,alpha_raw_deg,pwm,mode,t_pc_block_s,t_now_us
0.000000,12.2168,-6.8555,-6.8555,0,0,0.243706,35725314
0.000786,12.2168,-6.8555,-6.8555,0,0,0.243706,35725314
0.001028,12.2168,-6.8555,-6.8555,0,0,0.243706,35725314
0.001947,12.2168,-6.8555,-6.8555,0,0,0.243706,35725314
0.004011,12.2168,-6.6797,-6.6797,0,0,0.243706,35725314
0.006014,12.2168,-6.6797,-6.6797,0,0,0.243706,35725314
0.008003,12.2168,-6.6797,-6.6797,0,0,0.243706,35725314
0.010017,12.2168,-6.5039,-6.5039,0,0,0.243706,35725314
0.011938,12.2168,-6.3281,-6.3281,0,0,0.243706,35725314
0.014096,12.0410,-6.3281,-6.3281,0,0,0.243706,35725314
0.016022,12.0410,-6.1523,-6.1523,0,0,0.243706,35725314
0.017980,12.0410,-6.1523,-6.1523,0,0,0.243706,35725314
0.019942,12.0410,-5.9766,-5.9766,0,0,0.243706,35725314
0.022013,12.0410,-5.9766,-5.9766,0,0,0.243706,35725314
0.023999,12.0410,-5.8008,-5.8008,0,0,0.243706,35725314
0.025984,12.0410,-5.6250,-5.6250,0,0,0.243706,35725314
0.027969,12.0410,-5.6250,-5.6250,0,0,0.243706,35725314
0.029954,12.0410,-5.4492,-5.4492,0,0,0.243706,35725314
0.031938,12.0410,-5.4492,-5.4492,0,0,0.243706,35725314
0.034009,12.0410,-5.2734,-5.2734,0,0,0.243706,35725314
0.035993,12.0410,-5.2734,-5.2734,0,0,0.243706,35725314
0.037976,12.0410,-5.0977,-5.0977,0,0,0.243706,35725314
0.039960,12.0410,-5.0977,-5.0977,0,0,0.243706,35725314
0.041945,12.0410,-4.9219,-4.9219,0,0,0.243706,35725314
0.044022,12.0410,-4.9219,-4.9219,0,0,0.243706,35725314
0.046006,12.0410,-4.7461,-4.7461,0,0,0.243706,35725314
0.047991,11.8652,-4.7461,-4.7461,0,0,0.243706,35725314
0.049976,11.8652,-4.5703,-4.5703,0,0,0.243706,35725314
0.051959,11.8652,-4.5703,-4.5703,0,0,0.243706,35725314
0.053945,11.8652,-4.3945,-4.3945,0,0,0.243706,35725314
0.056014,11.8652,-4.3945,-4.3945,0,0,0.243706,35725314
0.057999,11.8652,-4.2188,-4.2188,0,0,0.243706,35725314
0.059984,11.8652,-4.2188,-4.2188,0,0,0.243706,35725314
0.061969,11.8652,-4.0430,-4.0430,0,0,0.243706,35725314
0.063954,11.8652,-4.0430,-4.0430,0,0,0.243706,35725314
