t_s,theta_deg,alpha_deg,alpha_raw_deg,pwm,mode,t_pc_block_s,t_now_us
0.000000,17.4902,97.3828,97.3828,0,0,0.258548,1698950906
0.000461,17.4902,97.3828,97.3828,0,0,0.258548,1698950906
0.000708,17.4902,97.3828,97.3828,0,0,0.258548,1698950906
0.002747,17.4902,97.3828,97.3828,0,0,0.258548,1698950906
0.004692,17.4902,97.3828,97.3828,0,0,0.258548,1698950906
0.006687,17.4902,97.3828,97.3828,0,0,0.258548,1698950906
0.008661,17.4902,97.3828,97.3828,0,0,0.258548,1698950906
0.010696,17.4902,97.3828,97.3828,0,0,0.258548,1698950906
0.012743,17.4902,97.3828,97.3828,0,0,0.258548,1698950906
0.014684,17.4902,97.3828,97.3828,0,0,0.258548,1698950906
0.016659,17.4902,97.3828,97.3828,0,0,0.258548,1698950906
0.018759,17.4902,97.3828,97.3828,0,0,0.258548,1698950906
0.020692,17.4902,97.3828,97.3828,0,0,0.258548,1698950906
0.022750,17.4902,97.3828,97.3828,0,0,0.258548,1698950906
0.024700,17.4902,97.3828,97.3828,0,0,0.258548,1698950906
0.026649,17.4902,97.3828,97.3828,0,0,0.258548,1698950906
0.028702,17.4902,97.3828,97.3828,0,0,0.258548,1698950906
0.030650,17.4902,97.3828,97.3828,0,0,0.258548,1698950906
0.032708,17.4902,97.3828,97.3828,0,0,0.258548,1698950906
0.034657,17.4902,97.3828,97.3828,0,0,0.258548,1698950906
0.036717,17.4902,97.3828,97.3828,0,0,0.258548,1698950906
0.038665,17.4902,97.3828,97.3828,0,0,0.258548,1698950906
0.040717,17.4902,97.3828,97.3828,0,0,0.258548,1698950906
0.042691,17.4902,97.3828,97.3828,0,0,0.258548,1698950906
0.044727,17.4902,97.3828,97.3828,0,0,0.258548,1698950906
0.046746,17.4902,97.3828,97.3828,0,0,0.258548,1698950906
0.048697,17.4902,97.3828,97.3828,0,0,0.258548,1698950906
0.050645,17.4902,97.3828,97.3828,0,0,0.258548,1698950906
0.052702,17.4902,97.3828,97.3828,0,0,0.258548,1698950906
0.054650,17.4902,97.3828,97.3828,0,0,0.258548,1698950906
0.056708,17.4902,97.3828,97.3828,0,0,0.258548,1698950906
0.058657,17.4902,97.3828,97.3828,0,0,0.258548,1698950906
0.060717,17.4902,97.3828,97.3828,0,0,0.258548,1698950906
0.062664,17.4902,97.3828,97.3828,0,0,0.258548,1698950906
0.064717,17.4902,97.3828,97.3828,0,0,0.258548,1698950906
0.066665,17.4902,97.3828,97.3828,0,0,0.258548,1698950906
0.068717,17.4902,97.3828,97.3828,0,0,0.258548,1698950906
0.070665,17.4902,97.3828,97.3828,0,0,0.258548,1698950906
0.072717,17.4902,97.3828,97.3828,0,0,0.258548,1698950906
0.074665,17.4902,97.3828,97.3828,0,0,0.258548,1698950906
0.076717,17.4902,97.3828,97.3828,0,0,0.258548,1698950906
